영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
헬터 스켈터,2013-05-09,14380000,14380000,1925,1925,19,229,일본,팝엔터테인먼트,청소년관람불가,드라마,니나가와 미카,"사와지리 에리카,오모리 나오,테라지마 시노부"
스네이크 앤 이어링,2011-12-01,30000,30000,10,10,1,1,일본,,청소년 관람불가 ,드라마,니나가와 유키오,"요시타카 유리코,코라 켄고,이우라 아라타"
샤나-늑대의 음악,,1835000,1835000,349,349,1,3,캐나다,,,,니노 자쿠소,
익스트랙티드,2014-06-19,84000,84000,13,13,1,8,미국,어뮤즈,15세이상관람가,드라마,니르 패니리,"사샤 로이즈,제니 몰렌,도미닉 보가트"
아메리칸 울트라,2015-08-27,1301387295,1301387295,161382,161382,341,8634,미국,(주)씨제이이엔엠,청소년관람불가,액션,니마 누리자데,"제시 아이젠버그,크리스틴 스튜어트,코니 브리튼,토퍼 그레이스,월튼 고긴스,존 레귀자모"
씨 피버,2020-05-13,77214460,77214460,8915,8915,278,2414,아일랜드,(주)팝엔터테인먼트,15세이상관람가,SF,니사 하디만,"헤르미온느 코필드,코니 닐슨,아르달란 에스마일리,잭 히키"
나의 첫 번째 슈퍼스타,2020-06-10,474367360,474367360,53748,53748,462,8832,미국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,코미디,니샤 가나트라,"다코타 존슨,트레이스 엘리스 로스"
그녀 앞의 세상,,88000,88000,22,22,1,1,캐나다,,,다큐멘터리,니샤 파후자,
해결사,2013-01-24,3287000,3287000,1551,1551,1,8,인도,(주)소나무픽쳐스,청소년관람불가,액션,니쉬칸트 카마트,존 에이브러햄
동경밀회-불륜의 정사,2016-06-08,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),니시 야스노리,"카즈키 안나,하토리 사야카"
아이돌 마스터 무비 : 빛의 저편으로!,2015-11-19,212428000,212428000,29287,29287,55,990,일본,(주)머스트씨무비릴리징컴퍼니,[국내] 전체 관람가,애니메이션,니시고리 아츠시,"나카무라 에리코,하세가와 아키코,이마이 아사미"
"오 브라더, 오 시스터!",2015-03-21,469000,469000,75,75,1,5,일본,(주)엔케이컨텐츠,12세이상관람가,코미디,니시다 마사후미,"무카이 오사무,카타기리 하이리"
