■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-07-23,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2011-01-01~2012-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
10,완득이,2011-10-20,"38,533,069,000",1.40%,"38,533,069,000","5,311,232","5,311,232",629,"117,843",한국,한국,"(주)유비유필름,어나더픽쳐스(주)",(주)씨제이이엔엠,12세이상관람가,드라마,이한,"김윤석,유아인,김효숙,조병찬,조세현,정한진,강별,박효주,박종현,박진아,서대현,서왕석,김광섭,차선영,천영암,최명경,윤경호,전승엽,임정환,오희준,김신우,이경숙,이유나,이태영,김영재,조덕제,조상건,안길강,김상호,리우진,성유빈,박수영,김도영,김동영,신유람,김윤태"
11,쿵푸팬더 2,2011-05-26,"44,298,708,500",1.60%,"44,298,708,500","5,062,720","5,062,720",948,"101,338",미국,미국,,(주)씨제이이엔엠,전체관람가,"애니메이션,액션,어드벤처,코미디,가족",여인영,"더스틴 호프만,잭 블랙,안젤리나 졸리,성룡"
12,바람과 함께 사라지다,2012-08-08,"34,614,661,161",1.30%,"34,614,661,161","4,909,937","4,909,937",694,"78,591",한국,한국,"(주)두타연,(주)에이디사공육",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,사극",김주호,"차태현,오지호,민효린,성동일,신정근,고창석,송종호,이채영,김길동,천보근,김향기,최대호,정종열,임창훈,임혜인,최태환,이아람,이예은,이주현,문영동,김강일,오나라,진용욱,오희준,이언수,최광덕,이상협"
13,어메이징 스파이더맨,2012-06-28,"41,163,951,235",1.50%,"41,163,951,235","4,853,123","4,853,123","1,118","92,755",미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,마크 웹,"앤드류 가필드,엠마 스톤,마틴 쉰,샐리 필드"
14,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,"35,841,769,500",1.30%,"35,841,769,500","4,786,259","4,786,259",634,"84,189",한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"코미디,액션",김석윤,"김명민,김호연,한지민,오달수,김영훈,백성기,지승현,류현상,김경화,김탁호,김윤섭,최무성,남성진,우현,이재용,예수정,원현준,김태훈,정인기"
15,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,538,823,500",1.40%,"36,538,823,500","4,719,872","4,719,872",713,"91,889",한국,한국,"(주)팔레트픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"범죄,드라마",윤종빈,"최민식,하정우,조진웅,마동석,곽도원,김성균,박성광,이철민,임자연,임헌호,권종현,박재현,박태호,신수정,이강곤,이낙준,권율,송영창,박병은,김홍파,이희준,유재명,장준녕,김종수,오만석,정재헌,고규필,이세랑,박인수,권태원,강신철,한성천,이유준,김응수,안민영,노태엽,김종구,이윤희,김재영,손병욱,이승민,김영선"
16,도가니,2011-09-22,"35,566,892,800",1.30%,"35,566,892,800","4,662,829","4,662,829",756,"88,339",한국,한국,"(주)삼거리픽쳐스,(주)판타지오",(주)씨제이이엔엠,청소년관람불가,드라마,황동혁,"정유미,공유,허재호,송은정,임현성,최진호,박진우,이금용,배정민,김봉화,최보람,박사현,전영미,박선희,최영수,이순남,박승원,오하나,이예나,이차주,김현수,장소연,장광,전국환,엄효섭,남명렬,이장유,박혜진,김민상"
17,내 아내의 모든 것,2012-05-17,"34,223,620,500",1.30%,"34,223,620,500","4,598,821","4,598,821",563,"91,773",한국,한국,"(주)수필름,영화사 집",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,멜로/로맨스",민규동,"임수정,이선균,류승룡,이달형,이진희,김도균,김선일,최차원,신경철,옥광희,박희본,김지영,정대용,남명렬,김도영,한이진,박현우"
18,연가시,2012-07-05,"32,175,400,664",1.20%,"32,175,400,664","4,515,833","4,515,833",759,"71,928",한국,한국,(주)오죤필름,(주)씨제이이엔엠,15세이상관람가,"공포(호러),SF",박정우,"김명민,강지원,문정희,김동완,이하늬,강신일,최일화,이행춘,장형원,정경임,최동헌,김상오,최정수,박유정,황경호,이민수,이은채,박종원,박진영,서병덕,송광주,신상열,안용우,이나연,이동하,이주원,송영창,조덕현,최정우,전국환,주석태,김승훈,정인기,김태훈"
19,해리포터와 죽음의 성물2,2011-07-13,"34,507,600,000",1.30%,"34,507,600,000","4,400,270","4,400,270",757,"70,380",미국,미국,,워너브러더스 코리아(주),전체관람가,"판타지,미스터리",데이빗 예이츠,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트"
20,건축학개론,2012-03-22,"30,222,696,000",1.10%,"30,222,696,000","4,111,068","4,111,068",593,"106,067",한국,한국,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"멜로/로맨스,드라마",이용주,"엄태웅,한가인,이제훈,배수지,고준희,조정석,신민영,신예진,유연석,조현철,박진우,김의성,이승호,박수영,박지은"
21,댄싱퀸,2012-01-18,"30,130,775,500",1.10%,"30,130,775,500","4,058,225","4,058,225",544,"80,987",한국,한국,"(주)제이케이필름,(주)씨제이이엔엠",(주)씨제이이엔엠,12세이상관람가,"코미디,드라마",이석훈,"황정민,엄정화,정성화,오나라,박정민,박사랑,임호걸,정원영,이정건,안은정,라미란,송원석,이대연,이한위,최우리,천보근,권병길,조달환,서동원,정아미,어성욱"
22,리얼 스틸,2011-10-12,"26,566,677,000",1.00%,"26,566,677,000","3,579,666","3,579,666",603,"87,650",미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,드라마,SF",숀 레비,휴 잭맨
23,부러진 화살,2012-01-18,"25,937,273,000",1.00%,"25,937,273,000","3,459,864","3,459,864",530,"71,593",한국,한국,(주)아우라픽처스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,정지영,"안성기,박원상,나영희,김지호,이승훈,이춘연,이홍표,임태연,장길수,장현남,전윤희,조세래,조완기,조유미,최린,최필선,한현근,허웅,이미화,김지연,이익태,이제희,이지석,배연태,백성기,신종훈,오대환,정원중,조동인,김준배,조덕제,박길수,한기중,이제희,김응수,한사명,이정민"
24,맨 인 블랙 3,2012-05-24,"27,301,520,070",1.00%,"27,301,520,070","3,379,762","3,379,762",770,"69,538",미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,코미디,SF",배리 소넨필드,"윌 스미스,켄 아놀드,토미 리 존스,조슈 브롤린,제메인 클레멘트,빌 헤이더,알렉 볼드윈"
25,레미제라블,2012-12-19,"23,428,605,500",0.90%,"23,428,605,500","3,210,107","3,210,107",696,"33,153",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,톰 후퍼,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터"
26,캐리비안의 해적: 낯선 조류,2011-05-19,"27,279,967,500",1.00%,"27,279,967,500","3,130,046","3,130,046",960,"67,036",미국,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,판타지",롭 마샬,"이안 맥쉐인,페넬로페 크루즈,조니 뎁"
27,퀵,2011-07-20,"22,960,890,000",0.90%,"22,960,890,000","3,125,069","3,125,069",514,"60,714",한국,한국,"(주)제이케이필름,(주)씨제이이엔엠",(주)씨제이이엔엠,15세이상관람가,"코미디,액션",조범구,"이새별,고창석,강예원,이민기,김인권,김원영,홍승록,박은영,조용진,김은옥,이건우,안상훈,배승리,권영빈,주승환,주영민,변상윤,김가을,김결,서태원,박다솜,이지호,최민서,윤소연,윤승현,임혜원,박상현,윤지민,최연주,정수인,김병철,이해인,김재화,이희준,오정세,전국환,유승목,윤제문,김소진,조경현,박지연,한사명"
28,오싹한 연애,2011-12-01,"22,010,977,000",0.80%,"22,010,977,000","3,009,356","3,009,356",544,"62,074",한국,한국,상상필름(주),(주)씨제이이엔엠,12세이상관람가,"공포(호러),멜로/로맨스,코미디",황인호,"손예진,이민기,신동훈,김혜숙,조아라,박재우,태리,최우진,이현진,이미도,송지인,황승언,김현숙"
29,고지전,2011-07-20,"21,968,680,600",0.80%,"21,968,680,600","2,945,151","2,945,151",585,"53,739",한국,한국,(주)티피에스컴퍼니,(주)쇼박스,15세이상관람가,"드라마,전쟁",장훈,"신하균,고수,이제훈,류승수,고창석,이다윗,류승룡,김옥빈,조진웅,정인기,강구현,강내균,송현석,조민철,조민호,홍서백,박영서,박재철,박종환,박주용,하성철,조형우,서수석,김경일,김상수,최민,윤민수,임재현,김준영,김지수,이주승,최정우,전국환,김강일,서현우,한이진"
30,26년,2012-11-29,"21,111,878,145",0.80%,"21,111,878,145","2,940,475","2,940,475",611,"50,044",한국,한국,영화사청어람(주),"(주)인벤트스톤,영화사청어람(주)",15세이상관람가,"액션,드라마",조근현,"진구,한혜진,임슬옹,배수빈,이경영,장광,천우희,이현걸,전종석,정광재,지성용,김병오,이상훈,이경영,정현진,이미도,조덕제,김의성,김도윤,김태준,김기천,이상훈,정희태,한사명,박서연"
31,혹성탈출: 진화의 시작,2011-08-17,"20,629,757,000",0.80%,"20,629,757,000","2,773,794","2,773,794",514,"61,229",미국,미국,,이십세기폭스코리아(주),12세이상관람가,"액션,SF,드라마",루퍼트 와이어트,"브라이언 콕스,제임스 프랭코,프리다 핀토"
32,내가 살인범이다,2012-11-08,"20,392,266,000",0.80%,"20,392,266,000","2,729,798","2,729,798",547,"58,409",한국,한국,"(주)다세포클럽,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,스릴러",정병길,"정재영,박시후,최원영,김영애,정건영,장규미,장금단,권귀덕,정용견,정진근,금경배,김경석,최신호,최은애,강봉성,이상문,박윤호,이용희,박규범,백동현,서강호,오병호,유희원,윤봉철,배성우,손종학,한제인,최희진,장광,조은지,이봉련,백현주,류제승,김종구,차청화,한사명,남정희,김민상,김자금"
33,브레이킹 던 part2,2012-11-15,"18,909,583,065",0.70%,"18,909,583,065","2,654,817","2,654,817",665,"56,995",미국,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,판타지,멜로/로맨스",빌 콘돈,"크리스틴 스튜어트,로버트 패틴슨,테일러 로트너,다코타 패닝"
34,후궁 : 제왕의 첩,2012-06-06,"19,330,302,500",0.70%,"19,330,302,500","2,636,320","2,636,320",624,"69,104",한국,한국,(주)황기성 사단,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"사극,멜로/로맨스",김대승,"조여정,김동욱,김민준,조은지,박지영,이경영,박철민,장지민,전주병,정일원,홍수지,신민철,안석환,오지혜,이용녀,박충선,최정현"
35,호빗: 뜻밖의 여정,2012-12-13,"21,724,069,066",0.80%,"21,724,069,066","2,605,124","2,605,124","1,028","44,977",미국,"미국,뉴질랜드",,워너브러더스 코리아(주),12세이상관람가,"어드벤처,판타지",피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,크리스토퍼 리,일라이저 우드,앤디 서키스,휴고 위빙,베네딕트 컴버배치"
36,위험한 상견례,2011-03-31,"19,174,920,500",0.70%,"19,174,920,500","2,595,625","2,595,625",524,"75,068",한국,한국,(주)전망좋은 영화사,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"코미디,멜로/로맨스",김진영,"송새벽,이시영,백윤식,김수미,박철민,강동호,손대구,임종혁,김효원,김원석,정웅인,이연주,박정민,박주희,정성화,서용주,김선영,박민우,정승혜,이진규,이진성,오상훈,양민석,김준영,이명숙,이한위,길해연,박효주,김정난,김응수,정민성,이상협"
37,엑스맨: 퍼스트 클래스,2011-06-02,"19,080,988,000",0.70%,"19,080,988,000","2,534,977","2,534,977",587,"56,840",미국,미국,,이십세기폭스코리아(주),12세이상관람가,액션,매튜 본,"로즈 번,재뉴어리 존스,마이클 패스벤더,케빈 베이컨,제임스 맥어보이"
38,화차,2012-03-08,"18,459,428,000",0.70%,"18,459,428,000","2,436,438","2,436,438",548,"62,643",한국,한국,(주)영화제작소보임,필라멘트픽쳐스,15세이상관람가,미스터리,변영주,"이선균,김민희,조성하,김별,차수연,임남숙,임순옥,장대윤,황남희,박지혜,송성원,오기민,최덕문,이희준,진선규,최일화,김성태,민성욱,김수진,박해준,박지은"
39,이웃사람,2012-08-22,"18,088,462,369",0.70%,"18,088,462,369","2,434,269","2,434,269",600,"56,752",한국,한국,"영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,스릴러,김휘,"김윤진,마동석,천호진,김성균,김새론,임하룡,장영남,도지한,차현우,김동현,한재훈,박인규,유재현,한성천,김미경,정인기,김기천,이장유,이언수"
40,의뢰인,2011-09-29,"17,797,131,500",0.70%,"17,797,131,500","2,393,103","2,393,103",522,"58,416",한국,한국,청년필름(주),(주)쇼박스,15세이상관람가,스릴러,손영성,"박희순,장혁,하정우,유다인,박원재,손인용,허재호,조동연,김원우,김유선,최종원,최준혁,유하준,박혁권,최진욱,황병국,나수윤,이근우,백선희,권원진,이두훈,변봉현,강승훈,김보미,장윤정,이상원,이선희,임승빈,양정은,이창훈,김영훈,배성우,이지훈,정원중,최희진,예수정,이화룡,박성연,박성근,김윤태"
41,007 스카이폴,2012-10-26,"17,487,213,000",0.60%,"17,487,213,000","2,376,145","2,376,145",748,"51,357",미국,"미국,영국",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,액션,샘 멘데스,"다니엘 크레이그,하비에르 바르뎀,주디 덴치,랄프 파인즈,나오미 해리스,베레니스 말로에"
42,가문의 영광4 - 가문의 수난,2011-09-07,"17,792,219,500",0.70%,"17,792,219,500","2,368,267","2,368,267",537,"48,432",한국,한국,(주)태원엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,코미디,정태원,"김수미,신현준,임형준,정준하,탁재훈,현영,허필봉,정웅인,박정호,박정환,한용환,모상범,임정빈,여기한,오석규,이창세,김지우,김성주,정만식,김화섭"
43,블라인드,2011-08-10,"18,390,012,500",0.70%,"18,390,012,500","2,367,942","2,367,942",404,"49,358",한국,한국,(주)문와쳐,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,스릴러,안상훈,"김하늘,유승호,조희봉,양영조,최지호,조은서,박주혜,조하나,김기준,임채경,민소연,이보미,박영,최은석,이은이,박보검,오대환,이한솔,박충선,성유빈,백익남,김사희"
44,테이큰 2,2012-09-27,"17,581,098,553",0.70%,"17,581,098,553","2,308,596","2,308,596",682,"51,344",프랑스,프랑스,,이십세기폭스코리아(주),청소년관람불가,"액션,범죄,드라마",올리비에 메가턴,"리암 니슨,매기 그레이스,팜키 얀센,라드 세르베드지야"
45,7광구,2011-08-04,"19,391,653,500",0.70%,"19,391,653,500","2,242,510","2,242,510",812,"47,346",한국,한국,"(주)제이케이필름,(주)씨제이이엔엠",(주)씨제이이엔엠,15세이상관람가,"SF,액션,스릴러",김지훈,"하지원,박철민,김성태,차예련,이한위,오지호,송새벽,안성기,박원희,김형석,박정학,배명호,장동원,정상용,박영수,오민석,정인기"
46,배틀쉽,2012-04-11,"16,545,921,500",0.60%,"16,545,921,500","2,241,687","2,241,687",736,"53,109",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"SF,액션",피터 버그,"리암 니슨,테일러 키치,알렉산더 스카르가드,브룩클린 데커,리한나"
47,셜록홈즈 : 그림자 게임,2011-12-21,"16,670,913,500",0.60%,"16,670,913,500","2,239,156","2,239,156",370,"45,652",미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,미스터리",가이 리치,"로버트 다우니 주니어,주드 로"
48,마당을 나온 암탉,2011-07-28,"14,671,607,000",0.50%,"14,671,607,000","2,202,087","2,202,087",363,"39,291",한국,한국,"(주)오돌또기 ,(주)명필름",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,"오성윤,민성아","문소리,박철민,최민식,유승호,홍윤정,김한솔,김상현"
49,마이 웨이,2011-12-21,"15,995,187,000",0.60%,"15,995,187,000","2,142,670","2,142,670",645,"52,027",한국,"한국,일본,중국",(주)디렉터스,"에스케이플래닛(주),(주)씨제이이엔엠",15세이상관람가,"전쟁,액션,드라마",강제규,"장동건,오다기리 조,판빙빙,강남현,조동혁,김효연,김홍근,신승훈,홍서백,김희원,최지우,도지한,이건우,최태정,박태성,이광기,한경석,한정욱,서종철,김대현,이문호,유미진,이호연,이상협,이확광,곽진석,곽호선,권문철,이홍섭,최우수,오태경,양진석,이창욱,이학렬,이현희,최상준,한승현,이동훈,김시후,김인우,성유빈,정종열,이동진"
50,장화신은 고양이,2012-01-12,"17,602,643,500",0.70%,"17,602,643,500","2,080,445","2,080,445",593,"45,453",미국,미국,,(주)씨제이이엔엠,전체관람가,"애니메이션,어드벤처,코미디,판타지",크리스 밀러,"안토니오 반데라스,셀마 헤이엑,자크 갈리피아나키스"
51,타워,2012-12-25,"14,658,256,500",0.50%,"14,658,256,500","2,014,589","2,014,589",617,"22,278",한국,한국,"(주)씨제이이엔엠,(주)더타워픽쳐스",(주)씨제이이엔엠,12세이상관람가,드라마,김지훈,"설경구,손예진,김상경,김인권,도지한,안성기,이한위,김성오,송재호,차인표,박철민,조민아,권현상,박정학,임경만,장혜리,조윤경,배진호,안용우,전배수,이창용,박영수,이주실,김수진,권태원,김응수,전국향,정인기"
52,라스트 갓파더,2010-12-29,"14,558,299,500",0.50%,"18,511,991,000","1,998,059","2,541,603",547,"38,175",한국,"한국,미국",㈜영구아트,CJ ENM,12세이상관람가,코미디,심형래,"심형래,마이클 리스폴리,하비 케이틀,제이슨 미웨스,조셀린 도나휴,안소희,우혜림"
53,글러브,2011-01-20,"13,756,104,000",0.50%,"13,756,104,000","1,887,731","1,887,731",605,"44,725",한국,한국,(주)시네마서비스,CJ ENM,전체관람가,드라마,강우석,"강신일,김미경,김혜성,유선,정재영,조진웅,장기범,이현우,김경호,조찬형,안창현,한만진,서혜진,김선우,최성필,정진규,김정우,최은성,이창수,이해영,전국환,리우진,오희준,김동영,권은수,김경룡"
54,코리아,2012-05-03,"13,448,848,500",0.50%,"13,448,848,500","1,872,681","1,872,681",537,"49,679",한국,한국,"(주)더타워픽쳐스,(주)씨제이이엔엠,(주)웰메이드스타엠",(주)씨제이이엔엠,12세이상관람가,드라마,문현성,"하지원,배두나,한예리,최윤영,박철민,김응수,오정세,이종석,박영서,박정학,허승,홍혜림,박지연,유영기,천우희,주영호,김재화,김원해,이한위,김인우,장리우,이주실,권태원,박지연,권은수,차청화,한사명,이정민,이언수"
55,아이들...,2011-02-17,"13,579,712,500",0.50%,"13,579,712,500","1,867,849","1,867,849",504,"41,515",한국,한국,"(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,스릴러",이규만,"박용우,류승룡,성동일,성지루,김여진,박병은,주진모,조덕제,서영화,이의수,손광익,임태환,이상훈,박현수,이보라,최동훈,유지은,이훈직,정민,정계순,신현종,장준녕,이봉규,전국환,서주희,라미란,오동주,박미현,이재우,양지웅,이장유,조영규,김서연"
56,나의 PS 파트너,2012-12-06,"13,548,606,616",0.50%,"13,548,606,616","1,786,831","1,786,831",552,"37,625",한국,한국,나의PS파트너 문화산업전문회사,(주)씨제이이엔엠,청소년관람불가,"멜로/로맨스,코미디",변성현,"지성,김아중,신소율,강경준,김성오,정수영,문지윤,김보미,지은,최은두,박준기,신해철,이미소,김보연,정종열,최교식,설창희"
57,걸리버 여행기,2011-01-27,"16,441,365,500",0.60%,"16,441,365,500","1,762,071","1,762,071",527,"41,181",미국,미국,,이십세기폭스코리아(주),전체관람가,"코미디,어드벤처",롭 레터맨,잭 블랙
58,반창꼬,2012-12-19,"12,459,852,719",0.50%,"12,459,852,719","1,730,535","1,730,535",466,"26,039",한국,한국,(주)영화사오름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,멜로/로맨스,정기훈,"고수,한효주,마동석,김성오,쥬니,진서연,장원종,전범희,전성환,전효선,조은비,조현우,김영웅,하정희,한제인,홍지원,박병렬,박이슬,송용운,정진영,조성현,조민기,안지혜"
59,러브픽션,2012-02-29,"13,200,412,500",0.50%,"13,200,412,500","1,726,202","1,726,202",617,"44,130",한국,한국,"(주)삼거리픽쳐스,(주)판타지오",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"멜로/로맨스,코미디",전계수,"하정우,공효진,이병준,지진희,유인나,최유화,전수지,장동찬,정동철,최재용,최준용,이원함,박재한,이규원,이규희,김재화,차은재,조용준,박준면,조희봉,박영수,서현우,조희봉,강신철,이윤희,김남순,설창희,최정현,이은채,손병욱"
60,언터처블: 1%의 우정,2012-03-22,"12,735,040,000",0.50%,"12,735,040,000","1,720,472","1,720,472",454,"48,976",프랑스,프랑스,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마","올리비에르 나카체,에릭 토레다노","프랑수아 클뤼제,오마 사이"
61,평양성,2011-01-27,"12,684,530,500",0.50%,"12,684,530,500","1,717,566","1,717,566",483,"41,860",한국,한국,"(주)영화사아침,(주)타이거픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"전쟁,코미디,드라마",이준익,"정진영,이문식,류승룡,윤제문,선우선,이광수,신정근,류승수,강하늘,정석용,한동학,박장호,김민상,김현찬,박종범,황인범,조철현,한재덕,이영수,김도한,최대성,김태훈,최민수,이석원,장무준,오승현,이광일,김지환,이현구,고은총,이대연,유하복,김강일,이원종,전원주,박용우,류승완,류담,김병만,황정민,원현준,이상훈,류성현"
62,토르: 천둥의 신,2011-04-28,"15,985,737,000",0.60%,"15,985,737,000","1,694,562","1,694,562",496,"45,188",미국,미국,,(주)씨제이이엔엠,12세이상관람가,"액션,어드벤처,판타지",케네스 브래너,"스텔란 스카스가드,스튜어트 타운젠드,나탈리 포트만,크리스 헴스워스,안소니 홉킨스"
63,헬로우 고스트,2010-12-22,"12,261,593,000",0.50%,"22,057,866,500","1,663,730","3,019,960",418,"34,714",한국,한국,(주)워터앤트리,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",김영탁,"차태현,강예원,이문수,고창석,장영남,천보근,신성일,이창수,라미란,이한위,조덕제,박길수,안길강,정혜원,하성광,이장유,이동진"
