■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-07-23,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2011-01-01~2012-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,도둑들,2012-07-25,"93,664,808,500",3.50%,"93,664,808,500","12,983,178","12,983,178","1,091","155,392",한국,"한국,홍콩",(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,범죄",최동훈,"김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이심결,증국상,서영주,장동,장현문,정윤헌,조상원,한규석,홍원기,김영민,최덕문,최진호,장준녕,예수정,김영웅,이은채,손병욱,이동진"
2,"광해, 왕이 된 남자",2012-09-13,"88,899,448,769",3.30%,"88,899,448,769","12,319,390","12,319,390","1,001","203,400",한국,한국,"리얼라이즈픽쳐스(주),(주)씨제이이엔엠",(주)씨제이이엔엠,15세이상관람가,"사극,드라마",추창민,"이병헌,류승룡,한효주,장광,김인권,심은경,김명곤,서진원,장재현,정창국,조혜정,김남준,이수용,박윤호,김지수,박민규,박지아,송미정,양준모,원동연,김종구,주영호,이엘,전배수,이란희,최욱,이봉련,허성태,이양희,전국향,김승훈,권은수,승의열,김비비,한이진,이은정"
3,트랜스포머 3,2011-06-29,"74,840,681,500",2.80%,"74,840,681,500","7,784,743","7,784,743","1,409","124,450",미국,미국,,(주)씨제이이엔엠,12세이상관람가,"액션,어드벤처",마이클 베이,"조쉬 더하멜,존 말코비치,로지 헌팅턴-휘틀리,샤이아 라보프,패트릭 뎀시"
4,미션임파서블:고스트프로토콜,2011-12-15,"57,301,924,000",2.10%,"57,301,924,000","7,508,896","7,508,896","1,024","114,765",미국,미국,파라마운트 픽쳐스,(주)씨제이이엔엠,15세이상관람가,액션,브래드 버드,"톰 크루즈,제레미 레너"
5,최종병기 활,2011-08-10,"55,827,861,500",2.10%,"55,827,861,500","7,470,633","7,470,633",615,"130,054",한국,한국,"(주)디씨지플러스,(주)다세포클럽",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,액션",김한민,"박해일,류승룡,김무열,문채원,이한위,김구택,이경영,박기웅,이승준,이재구,박노식,이다윗,전민서,오타니 료헤이,강규영,김홍수,김길동,최선미,조우진,이미소,최태환,박진주,한성민,김남수,강은규,김기덕,이상도,장재욱,임미주,박상희,최유라,이유비,이항주,이동훈,문영동,박명신,강신철,강신하"
6,써니,2011-05-04,"54,035,900,100",2.00%,"54,035,900,100","7,362,723","7,362,723",546,"149,142",한국,한국,"(주)알로하픽쳐스,(주)토일렛픽쳐스",(주)씨제이이엔엠,15세이상관람가,"드라마,코미디",강형철,"유호정,심은경,강소라,고수희,홍진희,강지원,김민영,김선경,진희경,김보미,이연경,박진주,남보라,민효린,윤미라,조민수,박윤정,신윤정,박영서,김예원,천우희,박중훈,최형태,심소희,최혜선,전선희,박혜성,진승환,김보름,김도엽,고은별,이상은,윤수진,최선아,박보영,윤정,임은채,최아름,류혜린,최영호,정은지,이승훈,이다슬,한승현,김새벽,성지루,정원중,정석용,김원해,최명길,이상아,김영옥,김보연,선주아,김시후,김혜옥,고준,박순천,권은수,양주호,박혁민"
7,어벤져스,2012-04-26,"59,557,853,478",2.20%,"59,557,853,478","7,074,867","7,074,867",967,"109,697",미국,미국,,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",12세이상관람가,"액션,SF",조스 웨던,"로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스,크리스 에반스,제레미 레너"
8,늑대소년,2012-10-31,"46,590,107,000",1.70%,"46,590,107,000","6,654,390","6,654,390",854,"109,069",한국,한국,(주)영화사비단길,(주)씨제이이엔엠,15세이상관람가,"멜로/로맨스,드라마,판타지",조성희,"송중기,박보영,장영남,유연석,김향기,장서이,한민혁,이승주,최광락,오영석,차종호,이영란,유승목,서동수,김승훈,구교환,이민웅,남정희,정인겸"
9,다크 나이트 라이즈,2012-07-19,"47,644,838,000",1.80%,"47,644,838,000","6,396,528","6,396,528","1,210","81,254",미국,"미국,영국",,워너브러더스 코리아(주),15세이상관람가,"액션,범죄,스릴러",크리스토퍼 놀란,"크리스찬 베일,게리 올드만,앤 해서웨이,톰 하디,조셉 고든 레빗"
