영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,2017-09-27,1581375300,1581375300,215203,215203,486,6240,일본,(주)씨제이이엔엠,전체관람가,애니메이션,"우시로 신지,요코이 타케시","박경혜,홍범기,김현지,김가령,정유정,방연지,정혜옥,김율,강호철,신용우,이호산,김새해,임윤선,김정훈,정선혜,여윤미,김보영,김채하,한신,현경수,이미자,이수진,김신우,손수호,김지율"
너의 췌장을 먹고 싶어,2018-11-15,2840900,413144505,495,52850,12,107,일본,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,애니메이션,우시지마 신이치로,"타카스기 마히로,린,후지이 유키요,후쿠시마 준,우치다 유우마"
신검전설,2013-07-24,7000000,7000000,1400,1400,8,28,중국,(주)수키픽쳐스,15세이상관람가,액션,우얼샨,"안도 마사노부,장우기,여위국"
화피 2,2014-01-29,5970000,5970000,6980,6980,6,54,중국,(주)팝엔터테인먼트,15세이상관람가,액션,우얼샨,"천쿤,주신,조미"
엄마의 연인은 내남친,2016-12-15,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),우에노 타카히로,사사키 코코네
여자는 이걸로 만족하지 않아,2015-07-08,270000,270000,54,54,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),우에노 타카히로,"야베 미호,오가와 나나"
형수님의 나른한 오후,,10000,10000,2,2,1,1,일본,,청소년관람불가,성인물(에로),우에노 토시야,"하즈키 호타루,사사키 유메카"
백의의 유부녀-굶주린 형수님,2012-03-21,16000,16000,2,2,1,1,일본,(주)인디플러그,청소년관람불가,성인물(에로),우에노 토시야,"에바타 히데히사,혼다 키쿠지로"
빨간 욕정-꿈의 정사,2012-03-21,16000,16000,2,2,1,1,일본,(주)인디플러그,청소년관람불가,성인물(에로),우에노 토시야,"아카츠 마키코,카와나 마이"
신 하고 싶은 형수,,55000,55000,11,11,1,1,일본,,청소년관람불가,성인물(에로),우에노 토시야,"미야가와 히로미,에바타 히데히사"
주식회사 스페셜액터스,2020-08-06,32430440,32430440,3813,3813,43,614,일본,찬란,전체관람가,코미디,우에다 신이치로,"오오사와 카즈토,코노 히로키,후지 타쿠야"
카메라를 멈추면 안 돼!,2018-08-23,13386500,186049266,1151,20913,4,43,일본,"(주)디오시네마,(주)영화사 그램",15세이상관람가,공포(호러),우에다 신이치로,"하마츠 타카유키,아키야마 유즈키,나가야 카즈아키,슈하마 하루미,마오"
산의 톰씨,2018-02-09,33000,33000,11,11,1,1,일본,(주)엔케이컨텐츠,전체관람가,드라마,우에다 오토,"코바야시 사토미,이치카와 미카코"
