,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
0,태극기 휘날리며,2004-02-05,15687180500.0,15687180500.0,2544911.0,2544911.0,115.0,22375.0,한국,"(주)다자인소프트,(주)쇼박스",15세관람가,"전쟁,드라마",강제규,"장동건,원빈,이은주,공형진,조원희,이장욱,이영란,정희준,박유신,김효열,김효준,최재혁,이건우,박태원,배상철,김범주,한선랑,이동혁,한재민,지중현,김대영,민지혁,이호천,임동빈,김재중,박성희,임성택,정승진,이정훈,오명준,이기수,김용현,이주원,이환희,장민호,정호빈,박길수,박동빈,안길강,김해곤,권태원,최교식,조운,전승재"
1,트로이,2004-05-21,12777346000.0,12777346000.0,2001293.0,2001293.0,177.0,21245.0,미국,워너브러더스 코리아(주),15세관람가,사극,볼프강 페터젠,"다이앤 크루거,올랜도 블룸,에릭 바나"
2,내 머리 속의 지우개,2004-11-05,11919939500.0,11919939500.0,1885827.0,1885827.0,206.0,29532.0,한국,CJ ENM,12세관람가,멜로/로맨스,이재한,"정우성,손예진,데이비드 맥기니스,김부선,정광재,최기호,박경진,장재용,전은희,이영필,박윤희,이정인,신현탁,김중기,권병길,진용욱,정민성,최교식"
3,귀신이 산다,2004-09-17,11898748500.0,11898748500.0,1875936.0,1875936.0,174.0,27936.0,한국,(주)시네마서비스,12세관람가,"코미디,공포(호러),판타지",김상진,"김응수,장서희,차승원,김서현,최기웅,유대현,김성미,태인호,임상란,장승현,김정우,김양진,이종화,박성웅,장항선,윤문식,오정세,황석정,윤제문,이도겸,이미은"
4,투모로우,2004-06-03,11658584500.0,11658584500.0,1830767.0,1830767.0,164.0,22881.0,미국,이십세기폭스필름코퍼레이션,12세관람가,SF,롤랜드 에머리히,"데니스 퀘이드,제이크 질렌할,이안 홈"
5,우리 형,2004-10-08,11090682500.0,11090682500.0,1778607.0,1778607.0,211.0,29282.0,한국,CJ ENM,15세관람가,드라마,안권태,"원빈,조성제,신하균,김해숙,김석,김정태,이보영,박인혜,김범기,이상직,조진웅,정호빈,김광규"
6,해리포터와 아즈카반의 죄수,2004-07-16,10926127000.0,10926127000.0,1775031.0,1775031.0,228.0,18247.0,미국,워너브러더스 코리아(주),전체관람가,드라마,알폰소 쿠아론,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트"
7,실미도,2003-12-24,10923920500.0,10923920500.0,1719165.0,1719165.0,51.0,14332.0,한국,(주)시네마서비스,15세관람가,전쟁,강우석,"설경구,안성기,허준호,정재영,임원희,강성진,강신일,이도겸,엄태웅,김강우,이효정,석재승,김문희,신성호,최진,심정운,박진수,주경탁,백성기,김봉식,최명규,전병윤,유상섭,이성원,임경호,김진휘,윤효석,이경근,조민준,류제승"
8,슈렉2,2004-06-18,10798690500.0,10798690500.0,1661916.0,1661916.0,174.0,22853.0,미국,CJ ENM,전체관람가,애니메이션,"캘리 애스버리,앤드류 아담슨,콘래드 베논","마이크 마이어스,카메론 디아즈,에디 머피"
9,스파이더맨 2,2004-06-30,9632422500.0,9632422500.0,1506199.0,1506199.0,198.0,18165.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세관람가,SF,샘 레이미,"토비 맥과이어,커스틴 던스트"
10,바람의 파이터,2004-08-12,9158945500.0,9158945500.0,1442299.0,1442299.0,110.0,15895.0,한국,영화사청어람(주),12세관람가,액션,양윤호,"양동근,히라야마 아야,허명행,정두홍,송혁재,주경탁,김대우,김규현,이호식,김순재,김영주,양길영,이경원,정태우,이한솔,염혜란,한이진"
11,오페라의 유령,2004-12-08,8691600500.0,8691600500.0,1368508.0,1368508.0,221.0,17699.0,미국,"(주)팝엔터테인먼트,(주)드림팩트엔터테인먼트,CJ ENM","12세이상관람가,12세관람가","뮤지컬,드라마",조엘 슈마허,"제라드 버틀러,에미 로섬,패트릭 윌슨,미란다 리차드슨"
12,내 여자친구를 소개합니다,2004-06-03,8329341500.0,8329341500.0,1298666.0,1298666.0,185.0,19289.0,한국,"CJ ENM,아이러브시네마",15세관람가,"멜로/로맨스,드라마",곽재용,"전지현,장혁,김정태,정호빈,오정세,김창완,김광규,최주현,정한철,안수라,배재일,권영빈,백경찬,한지빈,원태운,장원식,윤선희,임종식,이호경,송윤희,김희영,안호완,박윤희,박윤희,이기우,정보름,우기홍,서동원"
13,늑대의 유혹,2004-07-22,8025959500.0,8025959500.0,1297296.0,1297296.0,123.0,12777.0,한국,(주)쇼박스,12세관람가,드라마,김태균,"강동원,이청아,조한선,이명수,정혜영,김현진,박용두,조인형,박진희,정다혜,김보연,김응수,남정희"
14,가족,2004-09-03,8051239500.0,8051239500.0,1270581.0,1270581.0,104.0,25473.0,한국,(주)튜브엔터테인먼트,15세관람가,드라마,이정철,"수애,주현,박지빈,박희순,박상영,정욱,박상우,오현수,전국환"
15,시실리 2km,2004-08-13,8049487000.0,8049487000.0,1263196.0,1263196.0,86.0,16919.0,한국,(주)쇼박스,15세관람가,코미디,신정원,"권오중,김윤석,임은경,임창정,주진모,최원석,정소연,이재민,변희봉,우현,신이,박명신,최원영"
16,"아이, 로봇",2004-07-30,7097789000.0,7097789000.0,1108063.0,1108063.0,117.0,12827.0,미국,이십세기폭스필름코퍼레이션,12세관람가,SF,알렉스 프로야스,"윌 스미스,브리짓 모나핸"
17,S 다이어리,2004-10-22,7024070500.0,7024070500.0,1098583.0,1098583.0,169.0,20150.0,한국,"CJ ENM,아이러브시네마",15세관람가,코미디,권종관,"공유,김광일,홍윤희,최우혁,이현우,이하나,김수로,김선화,김선아,김미경,최철수,안현주,서상우,임재연,오주은,이찬호,이철호,이충신,이찬호"
18,알포인트,2004-08-20,6792339000.0,6792339000.0,1068087.0,1068087.0,100.0,15833.0,한국,(주)시네마서비스,15세관람가,전쟁,공수창,"감우성,손병호,박원상,오태경,이선균,손진호,문영동,정경호,김병철,기주봉,신진우,최차남,황성진,조현수,이동운,한종훈,곽성훈,이호용,정용훈,이수성,양희선,이은혜,김완식,오현수,안내상"
19,주홍글씨,2004-10-29,6648786000.0,6648786000.0,1030259.0,1030259.0,190.0,18777.0,한국,(주)쇼박스,18세관람가,"스릴러,멜로/로맨스",변혁,"성현아,한석규,이은주,변혁,엄지원,김중기,정인기"
20,연인,2004-09-10,6644463500.0,6644463500.0,1027354.0,1027354.0,157.0,16630.0,중국,쇼이스트(주),12세관람가,"멜로/로맨스,액션",장예모,"금성무,유덕화,장쯔이"
21,브리짓 존스의 일기2 : 열정과 애정,2004-12-08,6622706500.0,6622706500.0,1022262.0,1022262.0,132.0,16082.0,영국,UIP코리아,15세관람가,"멜로/로맨스,드라마",비번 키드론,"르네 젤위거,휴 그랜트,린 콜린스"
22,어린 신부,2004-04-02,6240174500.0,6240174500.0,991674.0,991674.0,70.0,12895.0,한국,코리아픽쳐스(주),12세관람가,코미디,김호준,"김래원,김보경,안선영,문근영,진경,김혜옥,김인문,한진희,송기윤,선우은숙,신세경,최장헌,박준석,박진우,유순일,임관우,장미희,김용환,류덕환,전원주,윤서현"
23,터미널,2004-08-27,6377300000.0,6377300000.0,986903.0,986903.0,127.0,13929.0,미국,CJ ENM,전체관람가,드라마,스티븐 스필버그,"톰 행크스,캐서린 제타-존스"
24,하울의 움직이는 성,2004-12-23,6019224000.0,6019224000.0,965797.0,965797.0,176.0,8749.0,일본,"(주)이수C&E,(주)시네마서비스",전체관람가,애니메이션,미야자키 하야오,"바이쇼 치에코,기무라 다쿠야"
25,나비효과,2004-11-12,6259548500.0,6259548500.0,957116.0,957116.0,108.0,16973.0,미국,(주)쇼박스,18세관람가,드라마,"에릭 브레스,J. 마키에 그러버","에이미 스마트,애쉬튼 커처,에릭 스톨츠,윌리엄 리 스콧,엘든 헨슨"
26,역도산,2004-12-15,6050131500.0,6050131500.0,951646.0,951646.0,223.0,14789.0,한국,CJ ENM,12세관람가,드라마,송해성,"설경구,이명수,유병훈"
27,범죄의 재구성,2004-04-15,6132904000.0,6132904000.0,942198.0,942198.0,73.0,11397.0,한국,(주)쇼박스,18세관람가,스릴러,최동훈,"김윤석,박신양,주진모,염정아,이기철,백윤식,이문식,천호진,박원상,김상호,성소원,송현정,한지선,서종해,김선태,이호원,박세환,오형진,이경헌,이인성,이현정,임하룡,정석원,윤다경,조희봉,김기천,손병욱"
28,반 헬싱,2004-07-30,5586373000.0,5586373000.0,872828.0,872828.0,98.0,9790.0,미국,(주)스튜디오이쩜영,15세관람가,액션,스티븐 소머즈,"케이트 베킨세일,휴 잭맨,리차드 록스버그"
29,이프 온리,2004-10-29,5518745500.0,5518745500.0,859051.0,859051.0,82.0,17831.0,미국,"유니코리아문예투자(주),CJ ENM",15세관람가,"코미디,드라마,판타지,멜로/로맨스",길 정거,"제니퍼 러브 휴잇,폴 니콜스"
30,여선생 VS 여제자,2004-11-17,5261476506.0,5261476506.0,846020.0,846020.0,182.0,20893.0,한국,CJ ENM,15세관람가,코미디,장규성,"김응수,이지영,이지훈,이세영,염정아,정형민,김혜경,황경애,최란,오은석,최윤정,이정헌,이원종,변희봉,신현종,김정영,전국향,최정인"
31,패션 오브 크라이스트,2004-04-02,5338827500.0,5338827500.0,841006.0,841006.0,66.0,9902.0,미국,"(주)이수C&E,이십세기폭스필름코퍼레이션",15세관람가,드라마,멜 깁슨,"제임스 카비젤,모니카 벨루치,마이아 모겐스턴"
32,아라한 장풍대작전,2004-04-30,5207905000.0,5207905000.0,810406.0,810406.0,82.0,12593.0,한국,(주)시네마서비스,12세관람가,"액션,드라마",류승완,"류승범,윤소이,안성기,김수현,김지영,허명행,김효선,심재원,도영훈,이무룡,윤도현,장혁진,정두홍,권승구,이춘영,임하룡,유순철,이대연,안길강,윤주상,권범택"
