■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-08-06,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2003-01-01~2004-12-31   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,태극기 휘날리며,2004-02-05,"15,687,180,500",3.5%,"15,687,180,500","2,544,911","2,544,911",115,"22,375",한국,한국,강제규필름,"(주)다자인소프트,(주)쇼박스",15세관람가,"전쟁,드라마",강제규,"장동건,원빈,이은주,공형진,조원희,이장욱,이영란,정희준,박유신,김효열,김효준,최재혁,이건우,박태원,배상철,김범주,한선랑,이동혁,한재민,지중현,김대영,민지혁,이호천,임동빈,김재중,박성희,임성택,정승진,이정훈,오명준,이기수,김용현,이주원,이환희,장민호,정호빈,박길수,박동빈,안길강,김해곤,권태원,최교식,조운,전승재"
2,트로이,2004-05-21,"12,777,346,000",2.8%,"12,777,346,000","2,001,293","2,001,293",177,"21,245",미국,미국,"플랜 비 엔터테인먼트,워너 브러더스 픽쳐스",워너브러더스 코리아(주),15세관람가,사극,볼프강 페터젠,"다이앤 크루거,올랜도 블룸,에릭 바나"
3,내 머리 속의 지우개,2004-11-05,"11,919,939,500",2.6%,"11,919,939,500","1,885,827","1,885,827",206,"29,532",한국,한국,(주)싸이더스,CJ ENM,12세관람가,멜로/로맨스,이재한,"정우성,손예진,데이비드 맥기니스,김부선,정광재,최기호,박경진,장재용,전은희,이영필,박윤희,이정인,신현탁,김중기,권병길,진용욱,정민성,최교식"
4,귀신이 산다,2004-09-17,"11,898,748,500",2.6%,"11,898,748,500","1,875,936","1,875,936",174,"27,936",한국,한국,(주)시네마서비스,(주)시네마서비스,12세관람가,"코미디,공포(호러),판타지",김상진,"김응수,장서희,차승원,김서현,최기웅,유대현,김성미,태인호,임상란,장승현,김정우,김양진,이종화,박성웅,장항선,윤문식,오정세,황석정,윤제문,이도겸,이미은"
5,투모로우,2004-06-03,"11,658,584,500",2.6%,"11,658,584,500","1,830,767","1,830,767",164,"22,881",미국,미국,"센트로폴리스 엔터테인먼트,더 마크 고든 컴퍼니",이십세기폭스필름코퍼레이션,12세관람가,SF,롤랜드 에머리히,"데니스 퀘이드,제이크 질렌할,이안 홈"
6,우리 형,2004-10-08,"11,090,682,500",2.4%,"11,090,682,500","1,778,607","1,778,607",211,"29,282",한국,한국,(주)진인사필름,CJ ENM,15세관람가,드라마,안권태,"원빈,조성제,신하균,김해숙,김석,김정태,이보영,박인혜,김범기,이상직,조진웅,정호빈,김광규"
7,해리포터와 아즈카반의 죄수,2004-07-16,"10,926,127,000",2.4%,"10,926,127,000","1,775,031","1,775,031",228,"18,247",미국,미국,워너브러더스사㈜,워너브러더스 코리아(주),전체관람가,드라마,알폰소 쿠아론,"다니엘 래드클리프,엠마 왓슨,루퍼트 그린트"
8,실미도,2003-12-24,"10,923,920,500",2.4%,"10,923,920,500","1,719,165","1,719,165",51,"14,332",한국,한국,(주)시네마서비스,(주)시네마서비스,15세관람가,전쟁,강우석,"설경구,안성기,허준호,정재영,임원희,강성진,강신일,이도겸,엄태웅,김강우,이효정,석재승,김문희,신성호,최진,심정운,박진수,주경탁,백성기,김봉식,최명규,전병윤,유상섭,이성원,임경호,김진휘,윤효석,이경근,조민준,류제승"
9,슈렉2,2004-06-18,"10,798,690,500",2.4%,"10,798,690,500","1,661,916","1,661,916",174,"22,853",미국,미국,드림웍스픽쳐스,CJ ENM,전체관람가,애니메이션,"캘리 애스버리,앤드류 아담슨,콘래드 베논","마이크 마이어스,카메론 디아즈,에디 머피"
