■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2021-08-06,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2009-01-01~2010-12-31   영화구분: 일반영화   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,,,,,,,,,,,,,
1,해운대,2009-07-22,"81,025,004,000",4.1%,"81,025,004,000","11,324,433","11,324,433",764,"154,277",한국,한국,(주)제이케이필름,CJ ENM,12세이상관람가,"액션,드라마,어드벤처",윤제균,"설경구,하지원,박중훈,엄정화,이민기,강대규,김원영,김유빈,신정원,성유경,박재홍,황인준,나승현,김인호,근휘,김재경,장원준,임동우,김정곤,정종원,이지애,이태영,최재섭,장명갑,지대한,천보근,박영수,염동헌,주민하,강예원,손희순,변상윤"
2,국가대표,2009-07-29,"57,570,773,000",2.9%,"57,570,773,000","8,035,181","8,035,181",570,"131,671",한국,한국,케이엠컬쳐㈜,(주)쇼박스,12세이상관람가,"드라마,액션,코미디",김용화,"하정우,성동일,김지석,김동욱,최재환,이재응,이은성,이한위,이혜숙,김지영,쥬니,황하나,조재윤,심영,천주영,도승휘,전성빈,오광록,김수로,조진웅,김용건,김성주,이금희,박정수,손범수,이세랑,정민성,정종열"
3,트랜스포머: 패자의 역습,2009-06-24,"50,697,608,000",2.6%,"50,697,608,000","7,392,990","7,392,990","1,154","115,137",미국,미국,"드림웍스 SKG,파라마운트 픽쳐스",CJ ENM,12세이상관람가,"SF,액션,어드벤처",마이클 베이,"샤이아 라보프,메간 폭스"
4,아저씨,2010-08-04,"47,101,332,000",2.4%,"47,101,332,000","6,178,248","6,178,248",501,"109,853",한국,한국,오퍼스픽쳐스(유),CJ ENM,청소년관람불가,"액션,드라마",이정범,"원빈,김새론,김희원,김성오,김호연,김성훈,김효민,김효서,신동민,홍석준,조영아,홍의정,이재원,조용현,박준우,최현아,황재순,박혜리,박호진,홍소희,노승우,임효우,이건문,백현익,서정주,김도형,민소연,이상하,박병렬,장민주,장준호,박성택,오정식,정도원,김창민,양종현,서민경,김지민,남경읍,송영창,이종필,조재윤,장준녕,김영아,김태훈,정민성,한사명,이정민,박성택"
5,전우치,2009-12-23,"44,092,715,000",2.2%,"44,092,715,000","6,065,355","6,065,355",612,"102,354",한국,한국,영화사 집,CJ ENM,12세이상관람가,"액션,코미디,판타지",최동훈,"강동원,임수정,김윤석,유해진,염정아,김시권,주진모,김효진,강동균,정혜란,손선영,송진영,김혜지,신수현,박용범,박민규,조운,박지희,안성진,노남석,한연호,김고은,김규연,고준영,박남희,윤대원,이석원,이성두,정영훈,정우철,박연수,오준석,정지인,이우희,이대로,이철희,송영창,이미도,김서현,최진호,조상건,장준녕,최우리,김상호,이용녀,선우선,공정환,박성훈,박수영,권태원,정인기,김기범,최교식,김기천,조운,김현식"
6,인셉션,2010-07-21,"43,394,990,000",2.2%,"43,394,990,000","5,827,444","5,827,444",531,"81,891",미국,미국,"워너 브러더스 픽쳐스,레젼데리 픽쳐스","(주)디스테이션,워너브러더스 코리아(주)",12세이상관람가,"드라마,미스터리",크리스토퍼 놀란,"레오나르도 디카프리오,엘렌 페이지,마리온 꼬띨라르"
7,의형제,2010-02-04,"40,153,729,000",2.0%,"40,153,729,000","5,416,812","5,416,812",569,"118,243",한국,한국,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",(주)쇼박스,15세이상관람가,"드라마,액션",장훈,"송강호,강동원,전국환,박혁권,윤희석,최정우,정인기,설진욱,강명희,홍서백,박용진,김의용,황순욱,황인준,박현수,김남희,김태환,박민우,임세환,최윤서,김진용,주부진,이현지,백승익,차엽,박진우,김광규,고창석,배용근,유하복,박수영,박성연,김영웅,이정민,권범택"
8,2012,2009-11-12,"38,933,825,000",2.0%,"38,933,825,000","5,396,890","5,396,890",856,"89,119",미국,미국,센트로폴리스 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"SF,액션,어드벤처",롤랜드 에머리히,"존 쿠삭,아만다 피트,올리버 플랫,탠디 뉴튼,치웨텔 에지오포"
9,터미네이터 : 미래전쟁의 시작,2009-05-21,"29,690,943,500",1.5%,"29,690,943,500","4,499,776","4,499,776",702,"93,745",미국,미국,더 할사이온 컴퍼니,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"SF,액션",맥지,"크리스찬 베일,샘 워싱턴,문 블러드굿,안톤 옐친"
