,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
2957,후지코의 이중생활,2013-03-14,30000,30000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타지리 유지,마루 준코
2958,내 남친은 사이보그2,2012-08-16,50000,50000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타지리 유지,미사토 마이
2959,내 남친은 사이보그,2012-07-19,57000,57000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타지리 유지,쿠리바야시 리리
2960,야한 동거 체험 - 키스 5초 전,2015-07-22,270000,270000,54,54,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,타지리 유지,"하마다 쇼코,카사하라 히데유키"
2961,오피스 걸의 불륜,2012-05-04,350050,350050,75,75,1,1,일본,(유)조이앤컨텐츠그룹,청소년관람불가,성인물(에로),타지리 유지,"니시노 쇼,나츠메 쿄코"
2962,아사코의 이룰 수 없는 사랑,2012-08-16,400000,400000,75,75,1,1,일본,(유)조이앤컨텐츠그룹,청소년관람불가,성인물(에로),타지리 유지,시지미
2963,"불륜, 와이프의 여동생",2012-04-23,357050,357050,76,76,1,1,일본,(유)조이앤컨텐츠그룹,청소년관람불가,멜로/로맨스,타지리 유지,"니시노 쇼,혼죠 카즈키"
2964,맛있는 섹스 그리고 환상의 여인,2013-12-19,275000,275000,127,127,1,4,일본,(주)영화사폴,청소년관람불가,드라마,타지리 유지,"나카쿠라 켄타로,아오이 소라"
2965,맛있는 섹스의 기술,2014-02-20,465000,465000,153,153,1,4,일본,(주)영화사폴,청소년관람불가,드라마,타지리 유지,"호리코시 노리,나가토 히로유키"
2966,경련,,21000,1225000,6,248,1,1,일본,,,일본,타지리 유지,"사사키 유메카,사나다 미키야,하야시다 미키"
2967,OL 러브 쥬스,,10500,1429500,3,287,1,1,일본,,,,타지리 유지,
2968,불륜의 맛,2013-11-21,306000,306000,303,303,1,4,일본,(주)영화사폴,청소년관람불가,멜로/로맨스,타지리 유지,후지코
2969,야한 병동 24시,2016-04-11,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,타지마 하루노부,오사와 메구미
2970,닷핵퀀텀 : 숨겨진 몬스터의 비밀,2011-08-18,6960000,6960000,1067,1067,35,284,일본,팝엔터테인먼트,전체관람가,애니메이션,타치바나 마사키,후지무라 아유미
2971,명탐정 코난 : 제로의 집행인,2018-08-08,194464777,-1085582158,23768,419998,31,1042,일본,(주)씨제이이엔엠,12세이상관람가,애니메이션,타치카와 유즈루,"타카야마 미나미,야마자키 와카나,코야마 리키야,푸루야 토루"
2972,"저를 보내지 마세요, 제발",,315000,315000,63,63,1,2,일본,,,다큐멘터리,타치카와 카즈야,
2973,밝히는 여상사:신입 교육,2020-11-07,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,타카기,쿠로사와 나치
2974,남편 후배-해달라는 그녀,2019-09-26,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카드 신지,
2975,야한 새엄마:만족 시켜줘,2019-09-10,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,타카드 신지,시노다 아유미
2976,이자카야의 친척누나,2019-04-08,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카사카 미쿠치,
2977,즉석 미팅후 모텔,2017-07-20,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타카사카 미키야,
