,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
23703,어퓨굿맨,1992-12-18,71000,71000,23,23,1,1,미국,,중학생이상관람가,범죄,롭 라이너,"톰 크루즈,잭 니콜슨,데미 무어"
31465,대통령의 연인,1995-12-23,81000,522000,27,177,1,1,미국,,고등학생이상관람가,멜로/로맨스,롭 라이너,"마이클 J. 폭스,아네트 베닝,마틴 쉰"
29006,산타모니카 인 러브,2018-05-31,536000,9513600,268,1427,1,8,미국,(주)더블앤조이픽쳐스,12세이상관람가,멜로/로맨스,롭 라이너,"마이클 더글라스,다이안 키튼,스털링 제린스,프란시스 스턴하겐"
27914,미저리,1991-03-01,12184000,12484000,1554,1654,14,144,미국,,고등학생이상관람가,스릴러,롭 라이너,"제임스 칸,캐시 베이츠"
19414,충격과 공포,2018-09-06,12907200,12907200,1661,1661,78,566,미국,(주)박수엔터테인먼트,12세이상관람가,드라마,롭 라이너,"밀라 요보비치,제시카 비엘,제임스 마스던,우디 해럴슨,토미 리 존스"
27548,스탠 바이 미,,34830500,35464500,4358,4481,19,261,미국,,,드라마,롭 라이너,"윌 휘튼,리버 피닉스,코리 펠드만,제리 오코넬"
27649,해리가 샐리를 만났을 때,1989-11-18,30381500,184516700,2986,22613,22,404,미국,"(주)키다리이엔티,콜럼비아 픽쳐스 코포레이션","연소자관람불가,15세이상관람가",코미디,롭 라이너,"빌리 크리스탈,맥 라이언"
18747,버킷 리스트:죽기전에 꼭 하고싶은것들,2008-04-09,107527500,1965849000,15493,295214,60,1381,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",12세이상관람가,코미디,롭 라이너,"잭 니콜슨,모건 프리먼"
32201,플립,2017-07-12,140000,-1464996396,14,355781,1,1,미국,(주)팝엔터테인먼트,12세이상관람가,드라마,롭 라이너,"매들린 캐롤,캘런 맥오리피"
11471,구스범스,2016-01-14,-2022389584,-2022389584,305134,305134,515,13523,미국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,액션,롭 레터맨,"잭 블랙,딜런 미네트,오데야 러쉬,할스톤 세이지"
26849,명탐정 피카츄,2019-05-09,1435821250,1435821250,686809,686809,817,25776,미국,워너브러더스 코리아(주),전체관람가,액션,롭 레터맨,"라이언 레이놀즈,저스티스 스미스,캐서린 뉴튼,수키 워터하우스,빌 나이,와타나베 켄"
56,걸리버 여행기,2011-01-27,-738503684,-738503684,1762071,1762071,527,41181,미국,이십세기폭스코리아(주),전체관람가,코미디,롭 레터맨,잭 블랙
19478,시카고,2003-03-28,11770500,158621100,1481,20748,10,51,미국,"(주)키다리이엔티,코리아픽쳐스(주)","15세관람가,15세이상관람가",뮤지컬,롭 마샬,"르네 젤위거,캐서린 제타-존스,리차드 기어"
26905,메리 포핀스 리턴즈,2019-02-14,1816281960,1816281960,224160,224160,573,11128,미국,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,판타지,롭 마샬,"에밀리 블런트,린-마누엘 미란다,벤 위쇼,에밀리 모티머,줄리 월터스,콜린 퍼스,메릴 스트립,딕 반 다이크,데이빗 워너,안젤라 랜스베리"
11766,숲속으로,2014-12-24,186970400,-1698434008,24476,341882,116,950,미국,월트디즈니컴퍼니코리아(주),전체관람가,뮤지컬,롭 마샬,"메릴 스트립,조니 뎁,에밀리 블런트,제임스 코든,안나 켄드릭,크리스 파인"
9460,나인,2009-12-31,185000,-565514796,27,491162,1,3,미국,(주)시너지하우스 (시너지),15세이상관람가,멜로/로맨스,롭 마샬,"다니엘 데이 루이스,마리온 꼬띨라르,페넬로페 크루즈,니콜 키드먼"
23585,게이샤의 추억,2006-02-02,78000,1042870704,26,849277,1,1,미국,소니픽쳐스릴리징코리아,15세관람가,드라마,롭 마샬,"공리,장쯔이,양자경"
25,캐리비안의 해적: 낯선 조류,2011-05-19,1510163724,1510163724,3130046,3130046,960,67036,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,롭 마샬,"이안 맥쉐인,페넬로페 크루즈,조니 뎁"
9097,플라이페이퍼,2013-03-20,600000,600000,40,40,1,4,미국,(유)조이앤컨텐츠그룹,청소년관람불가,범죄,롭 민코프,패트릭 뎀시
5174,천재 강아지 미스터 피바디,2014-04-24,-1435175896,-1435175896,385552,385552,533,10520,미국,(주)씨제이이엔엠,전체관람가,애니메이션,롭 민코프,"티 버렐,맥스 찰스,에리얼 윈터,레슬리 만,스탠리 투치,스티븐 토보로스키,앨리슨 제니"
16657,포비든 킹덤: 전설의 마스터를 찾아서,2008-04-24,32000,-717171092,8,1211890,2,8,미국,(주)시네마서비스,12세이상관람가,액션,롭 민코프,"이연걸,성룡,마이클 안가라노,유역비"
22421,닌자 어쌔신 리벤지,2017-06-29,140000,140000,62,62,5,62,호주,(주)케이알씨지,15세이상관람가,액션,"롭 바드,존 발라즈","롭 바드,로저 니브"
2167,포틀랜디아 - 제로 래츠,,20293,20293,91,91,1,2,미국,,,애니메이션,롭 쇼우,
5514,토마스와 친구들: 잃어버린 왕관,2014-11-13,110482700,110482700,15202,15202,110,805,영국,(주)씨제이이엔엠,전체관람가,애니메이션,롭 실베스트리,
32469,토마스와 친구들: 용감한 기관차와 괴물소동,2016-10-13,21500,192464900,7,27352,1,1,영국,와이드 릴리즈(주),전체관람가,애니메이션,롭 실베스트리,
5465,러브레이스,2013-10-17,139215138,139215138,19933,19933,154,2506,미국,씨너스엔터테인먼트(주),청소년관람불가,드라마,"롭 엡스타인,제프리 프리드먼","아만다 사이프리드,샤론 스톤,제임스 프랭코,피터 사스가드,아담 브로디,주노 템플"
30961,데이라잇,1996-12-21,92000,269000,46,105,1,1,미국,,중학생이상관람가,액션,롭 코헨,"실베스터 스탤론,에이미 브렌너먼,댄 헤다야,제이 O. 샌더스"
5446,알렉스 크로스,2013-03-14,164165000,164165000,22978,22978,162,3168,미국,(주)인벤트스톤,청소년관람불가,액션,롭 코헨,"매튜 폭스,타일러 페리,에드워드 번즈,레이첼 니콜스,장 르노"
18385,허리케인 하이스트,2018-03-14,1730262848,1730262848,214949,214949,544,16363,미국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,액션,롭 코헨,"토비 켑벨,매기 그레이스"
25719,에이리언 컨버전스,2018-11-29,1000,1000,1,1,1,1,미국,(주)케이알씨지,15세이상관람가,액션,롭 팔라티나,
32872,나치 오버로드,2020-02-06,1000,1000,1,1,1,1,미국,(유)조이앤시네마,15세이상관람가,액션,롭 팔라티나,"톰 시즈모어,도미니크 스웨인"
33005,논스톱 투 헬,2019-02-28,1000,1000,1,1,1,1,미국,(유)조이앤시네마,15세이상관람가,공포(호러),롭 팔라티나,
32642,에일리언 인베이젼,,2000,2000,2,2,2,2,영국,,,액션,롭 팔라티나,
22812,파이트 밸리,2017-06-13,250000,250000,50,50,1,1,미국,(주)티에스앤컴퍼니,15세이상관람가,액션,롭 호크,
8992,외줄 타는 의사,,414000,414000,45,45,2,3,중국,,,드라마,뢰헌화,
24686,24시간 달리는 쾌락 버스,2017-05-20,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,료 카미이,요시자와 아키호
30581,상사의 아내2,2020-08-14,300000,300000,60,60,1,1,일본,(주)라온컴퍼니플러스,청소년관람불가,드라마,료타,
4052,우리 할머니는 점쟁이,,33500,33500,10,10,1,2,대만,,전체관람가,드라마,루 룰루,
10657,두 미 러브,2013-03-06,20000,20000,3,3,1,1,프랑스,(주)케이앤엔터테인먼트,청소년관람불가,드라마,"루 비질,재키 카투","리지에 브로체레,크리스틴 아망거,패트릭 조코,발레리 마에스"
19114,걸스 나잇,2018-03-09,7751000,7751000,3334,3334,2,14,미국,(주)영화사 안다미로,청소년관람불가,액션,루 사이먼,
27949,큐리오사,2020-08-06,12969800,12969800,1480,1480,19,318,프랑스,(주)트리플픽쳐스,청소년관람불가,드라마,루 주네,"노에미 메를랑,니엘스 슈나이더,벤자민 라베른헤"
24596,구층요탑: 전설의 부활,2017-05-10,14000,14000,2,2,2,2,중국,(주)누리픽쳐스,12세이상관람가,판타지,루 추안,"조우정,야오천"
5610,초한지: 영웅의 부활,2013-03-28,60679500,60679500,8722,8722,75,1130,중국,(주)인벤트스톤,15세이상관람가,액션,루 추안,"오언조,장첸,진람,유엽"
13083,바그다드의 도둑,,1123000,1123000,498,498,1,15,영국,,전체관람가,어드벤처,"루&#; 베르거,마이클 파웰","콘라드 바이트,사부"
9319,볼케이노: 삶의 전환점에 선 남자,2012-11-22,224000,19982500,32,3103,1,7,아이슬란드,프리비젼엔터테인먼트,15세이상관람가,드라마,루나 루나슨,"테오도로 줄리어슨,마그렛 헬가 요한스도티어"
2196,부드러운 위협,,22200,22200,89,89,1,2,프랑스,,,애니메이션,"루도비치 하바스,미카엘 크렙스,플로랑 루소,요안 센더,마고 바셀레르",
29879,제2의 찬스,,224000,224000,112,112,1,4,미국,,,드라마,루돌프 마테,"로버트 미첨,린다 다넬,잭 팰런스"
6886,비내리는 밤의 기적,,780000,780000,390,390,1,9,미국,,,드라마,루돌프 마테,"제인 와이먼,반 존슨,페기 캐슬"
