,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
11147,원 나잇 스탠드,2010-05-04,2000,14586800,1,2124,1,1,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),청소년관람불가,드라마,"민용근,이유림,장훈","이주승,장리우,민세연,최희진,정만식,백정림,박주형,이수현,이지연,이상현,손영성,오주은,유하복,권해효,오동주"
11148,새로운 엄마친구-무삭제판,2018-11-20,1178000,1178000,243,243,18,19,한국,,,,민이,
11149,세 번째 엄마 무삭제판,2018-12-11,1183000,1183000,244,244,18,20,한국,,[국내] 청소년 관람불가,에로,민이,"진시아,나영,시우"
11150,엄마 친구의 떡 선물-무삭제판,2019-03-28,1183000,1183000,244,244,20,20,한국,,[국내] 청소년 관람불가,멜로/로맨스,민이,
11151,Play It Again,,12000,12000,2,2,1,1,한국,,,,민환기,
11152,제주노트,,0,65000,0,15,1,2,한국,,,다큐멘터리,민환기,
11153,미스터 컴퍼니,2014-02-27,10000,5304300,3,822,1,4,한국,㈜인디스토리,12세이상관람가,다큐멘터리,민환기,"김진화,이미정"
11154,소규모 아카시아 밴드 이야기,2010-01-14,12000,5643500,2,791,1,1,한국,(주)이모션픽처스,12세이상관람가,다큐멘터리,"민환기,구미정","김민홍,송은지,요조,오진호,정주영,김관영"
11155,뜻밖의 수업,,1058000,1202000,218,253,1,4,한국,,,다큐멘터리,"민환기,이윤택",
11156,"님프, 피의 요정",2015-08-07,5000,5000,1,1,1,1,세르비아,브릿지웍스 엔터테인먼트(주),청소년관람불가,공포(호러),밀란 토도로빅,크리스티나 크레브
11157,달려라 희망아,,24600,24600,50,50,1,2,독일,,,드라마,밀렌 비타노프,
11158,소방수의 무도회,,540000,540000,85,85,1,3,체코,,,코미디,밀로스 포만,"얀 보스트르실,요제프 세바네크"
11159,헤어,,1156923,1156923,180,180,1,2,미국,,청소년 관람불가 ,뮤지컬,밀로스 포만,"존 세비지,트리트 윌리암스,비벌리 단젤로"
11160,짐 캐리의 맨 온 더 문,,1128000,1128000,223,223,1,2,영국,,12세 관람가 ,드라마,밀로스 포만,"짐 캐리,대니 드비토,코트니 러브"
11161,뻐꾸기둥지위로 날아간 새,1977-09-17,2287000,3201000,1091,1268,1,16,미국,,15세 관람가 ,드라마,밀로스 포만,"잭 니콜슨,루이즈 플레쳐,윌리엄 레드필드"
11162,아마데우스,1985-11-23,151000,10435500,49,1481,1,1,미국,시네마 뉴원,12세 관람가 ,드라마,밀로스 포만,"톰 헐스,F. 머레이 아브라함,엘리자베스 베리지"
