,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우,감독값
17265,숨겨진 계략,1900-01-01,324000,324000,62,62,1,3,영국,0,등급없음,드라마,켄로치,"['버나드아카드', '존벤필드', '스티븐브릭든']",0
17266,칼라송,1998-10-31,75000,491000,15,78,1,1,영국,0,등급없음,장르없음,켄로치,['0'],191
17267,내 이름은 조,1900-01-01,584000,584000,88,88,1,3,프랑스,0,등급없음,드라마,켄로치,"['피터뮬란', '루이즈구돌', '데이빗맥케이']",0
17268,네비게이터,1900-01-01,842000,842000,125,125,1,3,영국,0,등급없음,코미디,켄로치,"['딘앤드류스', '토마스크레이그', '조듀틴']",0
17269,하층민들,1900-01-01,1188000,1188000,177,177,1,3,영국,0,등급없음,코미디,켄로치,"['로버트칼라일', '에머맥코트', '리처드벨그레이브']",0
17270,랜드 앤 프리덤,1996-05-24,35000,1286000,7,191,1,1,영국,0,등급없음,전쟁,켄로치,"['이안하트', '로자나패스터', '이시아볼레인']",0
17271,케스,1900-01-01,474000,1421000,97,239,1,3,영국,0,등급없음,드라마,켄로치,"['데이빗브래들리', '프레디플레처', '린페리']",0
17272,빵과 장미,2002-05-24,316000,3244000,34,444,1,1,영국,㈜영화사백두대간,청소년관람불가,드라마,켄로치,['애드리언브로디'],467
17273,1945년의 시대정신,1900-01-01,1155000,1871000,231,448,1,3,영국,0,등급없음,다큐멘터리,켄로치,['윈스턴처칠'],0
17274,레이닝 스톤,1999-07-17,590000,2477000,118,467,1,1,영국,백두대간,12세이상관람가,드라마,켄로치,"['브루스존스', '줄리브라운', '젬마피닉스']",78
17275,자유로운 세계,2008-09-25,35000,6063000,7,937,1,1,영국,(주)영화사진진,15세이상관람가,드라마,켄로치,"['줄리엣엘리스', '레스와프쥬렉', '커스턴와렝']",8720
17276,지미스 홀,2014-10-09,999000,86802500,130,11695,1,6,영국,그린나래미디어(주),12세이상관람가,드라마,켄로치,"['배리워드', '시모네커비', '앤드류스캇']",18111
17277,보리밭을 흔드는 바람,2006-11-02,9515920,95265120,1419,14511,2,52,영국,(주)영화사진진,15세이상관람가,드라마,켄로치,"['킬리언머피', '리암커닝햄']",2930
17278,앤젤스 셰어: 천사를 위한 위스키,2013-05-16,1380500,141978171,205,18111,1,10,영국,(주)티캐스트,15세이상관람가,코미디,켄로치,"['폴프래니건', '존헨쇼', '로저알람']",0
17279,"미안해요, 리키",2019-12-19,287062580,287062580,36295,36295,69,1855,프랑스,(주)영화사진진,12세이상관람가,드라마,켄로치,"['크리스히친', '데비허니우드']",0
17280,"나, 다니엘 블레이크",2016-12-08,12489460,743684460,1782,99221,3,48,영국,(주)영화사진진,12세이상관람가,드라마,켄로치,['데이브존스'],11695
17281,해피 디 데이,2020-07-01,34349800,34349800,4176,4176,153,1122,미국,(주)영화사빅,전체관람가,코미디,0,"['바네사허진스', '핀울프하드', '에바롱고리아']",0
17282,미싱 윌리엄,2014-12-29,6000,6000,1,1,1,1,미국,페어팍스인터내셔날(주),12세이상관람가,드라마,0,"['브랜든루스', '코트니포드', '레이드스콧']",0
17283,저 너머,1900-01-01,76505,76505,108,108,1,2,기타,0,등급없음,드라마,0,['0'],0
17284,Mr.스타벅,2012-09-13,243000,39614542,44,5356,1,4,캐나다,(주)에스와이코마드,15세이상관람가,코미디,켄스콧,"['패트릭후아르드', '줄리리브리턴', '안톤베르트랑']",0
17285,이케아 옷장에서 시작된 특별난 여행,2019-07-18,127812770,127812770,15627,15627,71,1016,프랑스,(주)스마일이엔티,12세이상관람가,드라마,켄스콧,"['다누쉬', '베레니스베조', '에린모리아티']",0
17286,발지 대전투,1900-01-01,144000,144000,48,48,1,2,미국,0,등급없음,전쟁,켄아나킨,"['헨리폰다', '로버트쇼', '로버트라이언']",0
17287,지상 최대의 작전,1900-01-01,5123000,17745000,2566,8674,1,32,기타,0,등급없음,장르없음,켄아나킨,['0'],0
17288,빅 미라클,2012-02-23,344519500,344519500,51232,51232,170,3381,미국,유니버설픽쳐스인터내셔널코리아(유),전체관람가,드라마,켄콰피스,"['드류베리모어', '크리스틴벨']",0
17289,그는 당신에게 반하지 않았다,2009-02-12,6375549000,6375549000,935168,935168,354,27237,미국,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,멜로로맨스,켄콰피스,"['제니퍼코넬리', '드류베리모어', '벤애플렉']",0
17290,인생 후르츠,2018-12-06,282965180,545273530,36336,70625,64,1492,일본,(주)엣나인필름,전체관람가,다큐멘터리,0,['키키키린'],0
17291,이브의 정사,2011-02-10,30000,30000,10,10,1,1,일본,0,청소년관람불가,드라마,0,"['키리시마세나', '후지타요시아키']",0
17292,히치콕 트뤼포,2016-08-25,364000,25120100,47,3124,1,4,프랑스,(주)영화사안다미로,15세이상관람가,다큐멘터리,0,"['알프레드히치콕', '프랑수아트뤼포', '데이빗핀처']",0
17293,덫: 선동 혹은 사주,1900-01-01,81000,81000,27,27,1,5,미국,0,등급없음,다큐멘터리,0,['0'],0
17294,어둠 속에서,1900-01-01,4000,188000,4,40,1,1,미국,0,등급없음,장르없음,켈리레인하르트,['0'],0
17295,올드 조이,1900-01-01,6000,248000,6,54,1,1,미국,0,등급없음,장르없음,켈리레인하르트,['0'],0
17296,초원의 강,1900-01-01,5000,301000,5,63,1,1,미국,0,등급없음,장르없음,켈리레인하르트,['0'],0
17297,웬디와 루시,1900-01-01,5000,317000,5,68,1,1,미국,0,등급없음,장르없음,켈리레인하르트,['0'],0
17298,어떤 여인들,1900-01-01,9000,511000,9,102,1,1,미국,0,등급없음,장르없음,켈리레인하르트,['0'],0
