,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우,감독값
0,"416 프로젝트 ""공동의 기억: 트라우마""",1900-01-01,2192500,2192500,437,437,3,17,한국,0,등급없음,다큐멘터리,0,['0'],0
1,미씨카: 더 네크로맨서,2017-11-02,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,판타지,0,"['애덤존슨', '로버트제인', '케빈소르보']",0
2,월드 워 핵전쟁의 서막,2019-03-07,26000,26000,17,17,5,17,기타,주식회사풍경소리,15세이상관람가,액션,0,"['모건브래들리', '그레이엄빈센트', '캠벨루셀']",0
3,울프라이징,2016-11-17,300000,300000,60,60,1,1,미국,주식회사루믹스미디어,15세이상관람가,공포,0,['빌오버스트주니어'],0
4,제3의앵글 : 형형색색대만전,1900-01-01,1830000,1830000,305,305,1,2,기타,0,등급없음,장르없음,0,['0'],0
5,연쇄살인마의 이중생활,2020-06-18,16000,16000,7,7,5,7,스페인,주식회사마운틴픽쳐스,15세이상관람가,범죄,0,"['안나알렌', '나초프레스네다', '메르세데스카스트로']",0
6,몬스터 아일랜드,2017-10-27,3000,3000,1,1,1,1,미국,주식회사레드아이스,15세이상관람가,어드벤처,0,['존W.바우어스'],0
7,잃어버린 세계를 찾아 2015,2015-12-03,4000,4000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,12세이상관람가,어드벤처,0,"['C.토마스하우웰', '티모시바톰즈']",0
8,과부: 탐스러운 육체,2016-11-19,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,0,"['타치바나케이코', '이치죠리노']",0
9,페이스트리의 왕,1900-01-01,642000,642000,107,107,1,2,미국,0,등급없음,장르없음,0,['0'],0
10,지옥행 특급택시,2020-01-27,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,SF,0,"['지노안소니페시', '브리나켈리', '제이슨스튜어트']",0
11,텔미 하우 아이 다이,2017-09-28,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,스릴러,0,"['버지니아가드너', '윌리엄매포더', '마크롤스톤']",0
12,스탠딩 업,2015-09-24,5000,5000,1,1,1,1,미국,(주)블루브릭,12세이상관람가,가족,D.J.카루소,"['챈들러캔터베리', '라다미첼', '발킬머']",0
13,테이킹 라이브즈,2004-04-15,249467500,249467500,38736,38736,19,1551,미국,워너브러더스코리아(주),청소년관람불가,스릴러,D.J.카루소,"['에단호크', '안젤리나졸리', '키퍼서덜랜드']",0
14,트리플 엑스 리턴즈,2017-02-08,327632201,327632201,475309,475309,590,20692,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,D.J.카루소,"['빈디젤', '사무엘L.잭슨', '루비로즈']",1
15,디스터비아,2007-08-30,3790837500,3790837500,576120,576120,167,15779,미국,CJENM,12세이상관람가,스릴러,D.J.카루소,"['샤이아라보프', '사라로머']",0
16,아이 엠 넘버 포,2011-02-24,660248204,660248204,654386,654386,284,22145,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,D.J.카루소,"['티모시올리펀트', '알렉스페티퍼']",2292172
17,이글 아이,2008-10-09,14869812500,14869812500,2292172,2292172,407,59132,미국,CJENM,12세이상관람가,액션,D.J.카루소,"['샤이아라보프', '미셸모나한', '도니제프콧']",576120
18,레커스,2014-04-03,16066000,16066000,2263,2263,15,298,영국,㈜인디스토리,청소년관람불가,멜로로맨스,0,"['베네딕트컴버배치', '클레어포이', '숀에반스']",0
19,동쪽 저 멀리,1900-01-01,160000,160000,31,31,1,3,미국,0,등급없음,장르없음,0,['0'],0
20,겟 어웨이,2016-12-23,5000,5000,1,1,1,1,미국,주식회사레드아이스,청소년관람불가,스릴러,0,['캐서린아네트'],0
21,뱀파이어의 그림자,1900-01-01,101500,101500,15,15,1,2,기타,0,청소년관람불가,공포,E.엘리아스메리지,"['존말코비치', '윌렘대포', '캐리엘위스']",0
22,서스펙트 제로,2005-03-17,28196000,28196000,4918,4918,12,463,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,공포,E.엘리아스메리지,"['아론에크하트', '벤킹슬리']",0
23,네고시에이터,1998-10-24,57000,57000,19,19,1,1,미국,0,15세이상관람가,액션,F.게리그레이,"['사무엘L.잭슨', '케빈스페이시', '데이빗모스']",0
24,쿨,2005-04-08,136647000,136647000,21171,21171,48,1537,미국,이십세기폭스코아(주),15세이상관람가,코미디,F.게리그레이,"['존트라볼타', '우마서먼']",0
25,스트레이트 아웃 오브 컴턴,2015-09-10,412749800,412749800,48844,48844,185,2766,미국,유니버설픽쳐스인터내셔널코리아(유),청소년관람불가,드라마,F.게리그레이,"['오셔잭슨주니어', '코리호킨스', '제이슨미첼']",0
26,모범시민,2009-12-10,5876759500,5876759500,800006,800006,312,24611,미국,(주)시너지하우스(시너지),15세이상관람가,스릴러,F.게리그레이,"['제라드버틀러', '제이미폭스']",0
27,맨 인 블랙: 인터내셔널,2019-06-12,1125725022,1125725022,851917,851917,1151,40520,미국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,액션,F.게리그레이,"['크리스헴스워스', '테사톰슨', '리암니슨']",3659683
28,분노의 질주: 더 익스트림,2017-04-12,63421000,20193724,6445,3659683,35,972,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,액션,F.게리그레이,"['빈디젤', '드웨인존슨', '샤를리즈테론']",48844
29,노스페라투,1900-01-01,750000,750000,111,111,1,3,독일,0,등급없음,장르없음,F.W.무르나우,['0'],0
30,터부,1900-01-01,246000,584000,53,122,1,3,미국,0,등급없음,장르없음,F.W.무르나우,['0'],0
31,선라이즈,1900-01-01,133000,2837000,17,432,1,2,미국,0,등급없음,장르없음,F.W.무르나우,['0'],0
32,농부의 딸,1949-02-17,326000,326000,158,158,1,6,미국,0,등급없음,코미디,0,"['로레타영', '조셉거튼', '에델베리모어']",0
33,상간녀,2016-08-26,270000,270000,54,54,1,1,미국,(주)엘케이픽쳐스,청소년관람불가,스릴러,0,"['숀패리스', '다니엘세브리']",0
34,여닌자:음기로 가득찬 자매,2018-05-28,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,0,['0'],0
35,제 5침공,2016-02-25,1041049900,1041049900,135874,135874,312,5195,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,액션,0,"['클로이모레츠', '닉로빈슨', '알렉스로']",0
36,노예반란,1900-01-01,436000,436000,218,218,1,9,이탈리아,0,등급없음,어드벤처,J.리톰슨,['0'],0
37,맥켄나의 황금,1900-01-01,184000,497000,92,218,1,3,기타,0,등급없음,장르없음,J.리톰슨,"['그레고리펙', '텔리사바라스', '오마샤리프']",0
38,태양의 왕,1900-01-01,235000,802000,99,306,1,4,미국,0,등급없음,모험,J.리톰슨,"['율브린너', '조지샤키리스', '셜리앤필드']",0
39,케이프 피어,1900-01-01,72000,2326000,24,558,1,1,미국,0,청소년관람불가,드라마,J.리톰슨,"['그레고리펙', '로버트미첨', '폴리버겐']",0
40,페세이지,1979-07-05,1924000,5596000,962,2757,1,16,미국,0,청소년관람불가,액션,J.리톰슨,"['안소니퀸', '제임스메이슨', '말콤맥도웰']",0
41,나바론 요새,1974-07-20,4228000,23458104,2109,12032,1,49,미국,0,등급없음,액션,J.리톰슨,"['그레고리펙', '안소니퀸', '데이빗니븐']",13554
42,대장 부리바,1973-06-29,1290000,28200000,634,13554,1,19,미국,0,12세이상관람가,전쟁,J.리톰슨,"['토니커티스', '율브린너', '샘워너메이커']",0
43,데스 에브리데이,2019-09-06,1000,1000,1,1,1,1,미국,(주)알이디아이스엔터,청소년관람불가,공포,0,['0'],0
44,"마진 콜: 24시간, 조작된 진실",2013-01-03,46371500,50779500,6409,7086,30,446,미국,(주)팝파트너스,15세이상관람가,스릴러,J.C챈더,"['케빈스페이시', '데미무어', '사이먼베이커']",0
45,모스트 바이어런트,2015-04-02,79886925,79886925,10175,10175,71,1062,미국,(주)영화사진진,15세이상관람가,범죄,J.C챈더,"['오스카아이삭', '제시카차스테인']",10485
46,올 이즈 로스트,2013-11-07,102751500,102751500,13885,13885,33,857,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,드라마,J.C챈더,['로버트레드포드'],7086
47,슈퍼 에이트,2011-06-16,671828796,671828796,472157,472157,411,21884,미국,CJENM,12세이상관람가,SF,J.J.에이브럼스,"['조엘코트니', '엘르패닝']",1085447
48,스타워즈: 라이즈 오브 스카이워커,2020-01-08,417934914,417934914,507889,507889,957,28696,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,J.J.에이브럼스,"['데이지리들리', '아담드라이버', '오스카아이삭']",0
49,스타 트렉: 더 비기닝,2009-05-07,1660000,1340376092,166,1085447,1,1,미국,CJENM,12세이상관람가,SF,J.J.에이브럼스,"['크리스파인', '재커리퀸토', '칼어번']",0
50,스타트렉 다크니스,2013-05-30,101787612,101787612,1607555,1607555,607,40563,미국,CJENM,12세이상관람가,액션,J.J.에이브럼스,"['크리스파인', '칼어번', '조샐다나']",472157
51,스타워즈: 깨어난 포스,2015-12-17,1710974741,1710974741,3273879,3273879,940,69226,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,J.J.에이브럼스,"['해리슨포드', '마크해밀', '캐리피셔']",1607555
52,미션 임파서블 3,2006-05-03,318000,2090430328,44,5127047,2,11,미국,UIP코리아,15세이상관람가,액션,J.J.에이브럼스,"['톰크루즈', '필립세이모어호프만']",0
53,백악기 꼬마공룡을 찾아서,1900-01-01,350000,350000,70,70,1,7,캐나다,0,전체관람가,모험,0,"['미켈라루치', '사라초드리']",0
54,필스,2013-11-21,6434000,6434000,883,883,6,52,영국,(주)앤드플러스미디어웍스,청소년관람불가,범죄,0,"['제임스맥어보이', '이모겐푸츠', '제이미벨']",0
55,헬벤더스: 최후의 성전,2014-05-01,3792000,3792000,1801,1801,4,18,미국,(주)소나무픽쳐스,청소년관람불가,공포,0,"['클립튼콜린스주니어', '클랜시브라운']",0
56,맛있는 유부녀,2019-03-06,6000,6000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,0,['사와무라레이코'],0
57,섹스 주식회사,2012-09-27,190000,190000,42,42,4,19,미국,(주)소나무픽쳐스,청소년관람불가,코미디,0,"['카일갈너', '사라힐랜드', '제임스벨루시']",0
58,좀비 vs 헌터,2018-01-11,2000,2000,1,1,1,1,캐나다,0,청소년관람불가,액션,K.킹,"['마틴코핑', '대니트레조', '클레어니더프루엠']",0
59,터미네이터 사이보그,2018-02-02,3000,3000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,15세이상관람가,액션,K.킹,"['이브마우로', '로키마이어스', '애덤존슨']",1
60,매일 밤 엿보기: 대놓고 보여주는 불륜 유부녀,2020-10-02,2000,2000,1,1,1,1,일본,(주)씨맥스커뮤니케이션즈,청소년관람불가,드라마,K.C타케다,['카와카미나나미'],1
61,가질 수 없는 첫사랑 가정교사,2020-03-28,6000,6000,1,1,1,1,일본,(주)빅콘미디어,청소년관람불가,에로,K.C타케다,['0'],0
62,아내의 아르바이트,2017-08-30,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,0,['0'],0
63,시체를 다루는 방법,1900-01-01,80200,80200,90,90,1,1,한국,0,등급없음,장르없음,0,['0'],0
64,웨이크필드 프로젝트,2020-06-08,17811000,17811000,3881,3881,12,51,미국,(주)영화사안다미로,15세이상관람가,공포,0,"['린제이세임', '데니스안드레스', '안소니불리']",0
65,더 비지트,2015-10-15,403435581,403435581,52197,52197,279,4134,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,스릴러,M.나이트샤말란,"['디애너듀나건', '피터맥로비', '에드옥슨볼드']",537920
66,레이디 인 더 워터,2006-10-13,675177000,675177000,110267,110267,74,4435,미국,워너브러더스코리아(주),전체관람가,판타지,M.나이트샤말란,"['폴지아마티', '브라이스달라스하워드']",378950
67,해프닝,2008-06-12,2375782500,2375782500,347791,347791,245,15359,미국,이십세기폭스코리아(주),청소년관람불가,SF,M.나이트샤말란,"['마크웰버그', '주이데샤넬', '존레귀자모']",110267
68,빌리지,2004-09-24,2507016000,2507016000,378950,378950,81,9005,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,공포,M.나이트샤말란,"['와킨피닉스', '브라이스달라스하워드']",0
69,글래스,2019-01-17,17514314,17514314,466475,466475,837,24194,미국,월트디즈니컴퍼니코리아유한책임회사,15세이상관람가,드라마,M.나이트샤말란,"['제임스맥어보이', '브루스윌리스', '사무엘L.잭슨']",1676011
70,애프터 어스,2013-05-30,463111129,463111129,537920,537920,484,19867,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,SF,M.나이트샤말란,"['윌스미스', '제이든스미스']",1371164
71,라스트 에어벤더,2010-08-19,13854892500,13854892500,1371164,1371164,399,32416,미국,CJENM,전체관람가,액션,M.나이트샤말란,"['잭슨라스본', '데브파텔', '노아링어']",347791
72,23 아이덴티티,2017-02-22,1728000,726474247,192,1676011,1,1,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,스릴러,M.나이트샤말란,"['제임스맥어보이', '안야테일러조이', '헤일리루리차드슨']",52197
73,행복까지 30일,2016-06-09,500000,20249700,100,2838,1,1,기타,예지림엔터테인먼트,전체관람가,드라마,0,['아이시와리아라제시'],0
74,6솔져스,2019-05-29,1000,1000,1,1,1,1,기타,(유)조이앤컨텐츠그룹,15세이상관람가,액션,0,['케렘버신'],0
75,로그,2020-11-25,31203140,31203140,4012,4012,180,1479,미국,(주)스톰픽쳐스코리아,15세이상관람가,액션,M.J.버세트,"['메간폭스', '필립윈체스터']",0
76,솔로몬 케인,2010-03-25,940027000,940027000,124836,124836,194,10868,프랑스,(주)화앤담이엔티,청소년관람불가,액션,M.J.버세트,"['제임스퓨어포이', '레이첼허드-우드', '막스본시도우']",0
77,카마수트라: 뱀의 여인,2016-06-01,213000,213000,37,37,5,37,기타,케이티하이텔(주),청소년관람불가,드라마,M.L.반데바노프데바쿤,"['카르피찰케트마니', '사크릿얌냠']",2024
78,잔다라 더 피날레,2014-05-01,11852000,11852000,1546,1546,20,25,기타,(주)퍼스트런,청소년관람불가,드라마,M.L.반데바노프데바쿤,"['마리오마우러', '야야잉', '봉코이콩말라이']",2502
79,잔다라: 더 비기닝,2013-09-05,17946000,17946000,2502,2502,13,134,기타,(주)영화사빅,청소년관람불가,멜로로맨스,M.L.반데바노프데바쿤,"['마리오마우러', '야야잉', '봉코이콩말라이']",0
80,욕구불만 유부녀의 장난감,2017-01-20,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,0,['이케타니사나에'],0
81,김정일리아,2011-06-23,10618000,10618000,1513,1513,7,145,미국,(주)크래커픽쳐스,전체관람가,다큐멘터리,0,"['강철환', '김철웅', '변옥선']",0
82,사토미를 찾아라,2014-10-16,13164000,13164000,2595,2595,20,56,한국,브릿지웍스엔터테인먼트(주),청소년관람불가,코미디,0,"['사토미유리아', '윤설희', '안진우']",0
83,타임 이즈 일매틱,1900-01-01,17046052,17046052,1422,1422,1,12,미국,0,등급없음,다큐멘터리,0,['0'],0
84,"때리지 말아요, 제발!",1900-01-01,18000,18000,4,4,1,2,기타,0,등급없음,다큐멘터리,0,['0'],0
85,스나이퍼 3,2005-02-24,11000,11000,2,2,1,2,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,액션,0,"['톰베린저', '바이런만']",0
86,줄리아 엑스,2013-07-16,827000,827000,296,296,3,4,미국,(주)고맙습니다사랑합니다,청소년관람불가,공포,0,"['발레리아즐린', '케빈소르보']",0
87,뮤리엘의 웨딩,1995-05-20,65000,65000,21,21,1,2,기타,0,등급없음,장르없음,P.J.호건,['0'],0
88,피터 팬,2004-01-16,850564000,850564000,141716,141716,15,1668,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,어드벤처,P.J.호건,"['레이첼허드-우드', '제이슨아이삭스', '제레미섬터']",0
89,쇼퍼홀릭,2009-03-26,2073278500,2073278500,306459,306459,180,15062,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,코미디,P.J.호건,"['아일라피셔', '휴댄시', '조앤쿠삭']",0
90,아버지,1900-01-01,752000,752000,188,188,1,2,기타,0,등급없음,장르없음,0,['0'],0
91,상자,1900-01-01,2066,2066,13,13,1,2,미국,0,등급없음,장르없음,0,['0'],0
92,럼블,2017-08-22,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R.엘리스프레이저,['게리다니엘스'],1
93,멕시칸잡,2017-05-18,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R.엘리스프레이저,['돌프룬드그렌'],0
94,미스파이어,2017-07-27,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R.엘리스프레이저,['게리다니엘스'],1
95,크로스 라인,2013-04-05,1350000,1350000,90,90,1,9,미국,스크린조이,15세이상관람가,액션,R.엘리스프레이저,"['에이단퀸', '앤디가르시아', '마리오반피블스']",0
96,라스트 에너미,2014-03-06,23820000,23820000,4032,4032,20,85,미국,(주)미디어데이,15세이상관람가,액션,R.엘리스프레이저,"['루크고스', '콜하우저']",90
97,넥스트 투모로우 2,2014-11-27,1626000,1626000,381,381,4,12,미국,스크린조이,12세이상관람가,액션,0,['제프파헤이'],0
98,콜 미 킹,2016-08-18,5000,5000,1,1,1,1,미국,(주)시네마리퍼블릭,청소년관람불가,액션,0,"['아민조셉', '크리스멀키', '링바이']",0
99,로봇,2012-04-19,26607000,26607000,3617,3617,37,459,기타,프리비젼엔터테인먼트,15세이상관람가,SF,0,"['라지니칸트', '아이쉬와라라이', '대니덴종파']",0
100,대탈주: 디비전 19,2019-07-25,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,액션,0,"['앨리슨두디', '로테베르빅', '라이너스로체']",0
101,한밤의 살인자,2016-08-24,100000,100000,10,10,1,1,미국,(주)다날엔터테인먼트,15세이상관람가,공포,0,"['토니토드', '조셉밀슨']",0
102,바후발리 : 더 비기닝,2016-11-10,25209500,25209500,3068,3068,31,281,기타,0,15세이상관람가,액션,0,"['프라바스', '타만나바티아', '아누쉬카쉐티']",0
103,아사미 유마의 복상사,2016-09-21,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,['아사미유마'],10
104,남편 앞에서 당하는 아내,2017-03-17,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,['코모리아이'],7
105,흠뻑 젖은 유부녀,2017-06-14,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,['코모리아이'],5
106,어린 형수:강제로 섹스한 날,2017-10-31,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,['아사히나아카리'],3
107,업소에 팔려버린 아이돌,2017-12-25,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,['0'],3
108,전망 좋은 부동산,2017-08-17,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,['아사히나아카리'],4
109,전망 좋은 부동산 무삭제판,2017-10-14,6000,6000,1,1,1,1,일본,0,등급없음,장르없음,S.세타니,['0'],3
110,정사: 형수와 도련님,2018-01-10,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,['0'],2
111,착한 누나:다섯 남자와 섹스를,2017-08-17,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,['코모리아이'],4
112,뭐든지 해드릴게요,2016-04-17,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,"['히라이나나코', '미나미요시야']",0
113,유부녀의 사생활,2016-04-17,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,"['코모리아이', '쿠로다마사토시마사히로']",0
114,아랍국가들의 풀라인형,1900-01-01,850,850,4,4,1,1,기타,0,등급없음,애니메이션,0,['0'],0
115,신의 기적,2017-04-18,3000,3000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,15세이상관람가,드라마,0,"['나단스티븐스', '제이센웨이드', '사라켄트']",0
116,프리저베이션홀 재즈밴드,2020-04-02,6460260,6460260,855,855,30,303,미국,에스와이코마드,전체관람가,다큐멘터리,0,"['벤재프', '월터해리스', '찰리가브리엘']",0
117,썩은 우유,1900-01-01,3237,3237,14,14,1,2,미국,0,청소년관람불가,애니메이션,0,['0'],0
118,동창회:그녀와 하던 날,2018-07-31,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,0,['오츠키히비키'],0
119,Must Art,1900-01-01,68523,68523,91,91,1,1,한국,0,등급없음,장르없음,0,['0'],0
120,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,2014-01-23,405278000,405278000,59611,59611,183,1952,일본,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,액션,0,"['이노우에마사히로', '오자와료타']",0
121,나이팅게일: 폴링 인 러브,1900-01-01,93000,93000,10,10,1,1,기타,0,등급없음,장르없음,0,['0'],0
122,몬스터즈,2014-05-29,6480000,6480000,1080,1080,20,36,영국,씨네그루(주)다우기술,15세이상관람가,SF,가렛에드워즈,"['휘트니에이블', '스쿳맥네이리']",709734
123,고질라,2014-05-15,1677880667,1677880667,709734,709734,610,25335,미국,워너브러더스코리아(주),12세이상관람가,액션,가렛에드워즈,"['애런존슨', '브라이언크랜스톤', '엘리자베스올슨']",0
124,로그 원: 스타워즈 스토리,2016-12-28,374508796,458061002,422822,1019309,810,17226,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,가렛에드워즈,"['펠리시티존스', '디에고루나', '매즈미켈슨']",355407
125,메란타우,2011-09-29,325000,325000,103,103,1,9,기타,(주)소나무픽쳐스,15세이상관람가,액션,가렛에반스,['이코우웨이스'],0
126,레이드 2,2014-07-09,10000,62925400,2,8029,1,2,기타,(주)올스타엔터테인먼트,청소년관람불가,액션,가렛에반스,"['이코우웨이스', '야얀루히안', '줄리에스텔']",7320
127,레이드 : 첫번째 습격,2012-05-17,5000,163533500,1,21761,1,1,기타,CJENM,청소년관람불가,액션,가렛에반스,"['이코우웨이스', '도니알람시아', '야얀루히안']",103
128,V/H/S/2: 악마를 부르는 비디오,2013-08-14,475000,475000,97,97,1,2,미국,(주)노이에스,청소년관람불가,공포,가렛에반스,"['아담윈가드', '로렌스마이클레빈']",10932
129,오페라 자바,1900-01-01,200000,200000,36,36,1,2,기타,0,등급없음,뮤지컬,0,"['아티카사리데비', '에코수프리얀토']",0
130,잿더미에서 본 희망,1900-01-01,63750,63750,27,27,1,2,일본,0,등급없음,다큐멘터리,0,['0'],0
131,문프린세스 : 문에이커의 비밀,2009-02-19,2227357000,2227357000,360195,360195,263,16739,영국,(주)성원아이컴,전체관람가,어드벤처,가버추보,"['다코타블루리차드', '이안그루퍼드', '나타샤맥켈혼']",479124
132,비밀의 숲 테라비시아,2007-02-15,2678829000,2678829000,479124,479124,128,12008,미국,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,어드벤처,가버추보,"['조쉬허처슨', '안나소피아롭']",0
133,오토마타,2014-10-23,12157200,12157200,1738,1738,21,257,스페인,(주)지어소프트,15세이상관람가,SF,0,"['안토니오반데라스', '딜란맥더모트']",0
134,매혹의 스캔들,1900-01-01,560000,560000,112,112,1,1,기타,(주)액티버스엔터테인먼트,15세이상관람가,멜로로맨스,0,['에르빈나기'],0
135,대통령의 죽음,2006-12-28,13568000,42248500,2277,7156,29,274,영국,(주)프라임엔터테인먼트,12세이상관람가,드라마,0,"['브라이언볼랜드', '헨드아요브', '마이클레일리버크']",0
136,빌리와 용감한 녀석들: 치킨 히어로,2016-02-17,251011600,251011600,35937,35937,241,2301,미국,(주)박수엔터테인먼트,전체관람가,애니메이션,0,"['브루노비치어', '안젤리카베일', '오마카파로']",0
137,세상의 모든 괴물,1900-01-01,2225,2225,8,8,1,2,프랑스,0,15세이상관람가,애니메이션,0,['0'],0
138,600 마일,2016-12-08,413000,413000,95,95,5,62,기타,0,15세이상관람가,드라마,0,"['팀로스', '해리슨토마스', '모니카델카멘']",0
139,모래,1900-01-01,57500,57500,23,23,1,2,영국,0,등급없음,다큐멘터리,0,['0'],0
140,키스 미 어게인,2015-06-11,2290000,2290000,301,301,2,55,이탈리아,㈜영화사백두대간,청소년관람불가,드라마,가브리엘무치노,"['스테파노아코르시', '비토리아푸치니', '발레리아브루니테데쉬']",10328
141,나에게 유일한,2004-08-06,1223500,19284000,277,3002,1,3,이탈리아,(주)동숭아트센터,15세이상관람가,코미디,가브리엘무치노,"['실비오무치노', '줄리아스테게왈트']",0
142,라스트 키스,2006-07-06,618000,69741000,85,10143,2,23,이탈리아,㈜영화사백두대간,15세이상관람가,멜로로맨스,가브리엘무치노,"['스테파노아코르시', '지오바나메조기오르노']",3002
143,당신에게도 사랑이 다시 찾아올까요?,2013-10-17,70430500,70430500,10328,10328,104,1351,미국,(주)영화사빅,15세이상관람가,멜로로맨스,가브리엘무치노,"['제라드버틀러', '제시카비엘', '우마서먼']",0
144,파더 앤 도터,2015-12-10,466831100,466831100,61196,61196,352,5524,미국,(주)박수엔터테인먼트,15세이상관람가,드라마,가브리엘무치노,"['아만다사이프리드', '러셀크로우', '아론폴']",5314
145,세븐 파운즈,2009-02-05,1506896000,1506896000,229799,229799,191,10038,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,드라마,가브리엘무치노,"['윌스미스', '우디해럴슨', '로자리오도슨']",304828
146,행복을 찾아서,2007-02-28,1270000,594996296,190,599514,1,2,미국,(주)팝엔터테인먼트,전체관람가,드라마,가브리엘무치노,"['윌스미스', '탠디뉴튼']",6572
147,혹한,1900-01-01,181000,181000,29,29,1,2,스페인,0,등급없음,장르없음,0,['0'],0
148,뮤턴트 워,2018-07-05,50000,50000,10,10,1,1,이탈리아,(주)히스토리필름,15세이상관람가,SF,가브리엘살바토레,"['루도비코기라르델로', '갈라테아벨루지', '크세니야라포포트']",0
149,볼라레,1900-01-01,197000,197000,29,29,1,1,이탈리아,0,등급없음,드라마,가브리엘살바토레,"['클라우디오산타마리아', '발레리아골리노', '디에고아바탄투오노']",0
150,시베리안 에듀케이션,2014-06-04,695000,695000,92,92,5,48,이탈리아,찬란,15세이상관람가,드라마,가브리엘살바토레,"['존말코비치', '아르나스페다라비치우스', '빌리우스투마라비치우스']",0
151,지중해,1993-07-31,644000,644000,125,125,1,2,이탈리아,0,15세이상관람가,전쟁,가브리엘살바토레,"['디에고아바탄투오노', '클라우디오비가글리', '쥬세페세데르나']",0
152,도둑까치,2020-11-03,3725600,3725600,137,137,5,45,이탈리아,일미디어,전체관람가,공연,가브리엘살바토레,['0'],10
153,아임 낫 스케어드,2004-08-06,1055500,13203000,232,2074,1,2,스페인,(주)씨네진,12세이상관람가,드라마,가브리엘살바토레,['마티아디피에로'],0
154,블랙 라이더,2016-11-14,4000,4000,1,1,1,1,미국,(주)퍼스트런,청소년관람불가,액션,0,"['제임스덴튼', '케빈소르보', '로버트고셋']",0
155,리스본의 네 가지 이야기,1900-01-01,207000,207000,29,29,1,2,기타,0,등급없음,드라마,0,['0'],0
156,바베트의 만찬,1996-06-01,660000,1243000,110,177,1,2,기타,0,전체관람가,드라마,0,"['스테판오드랑', '버짓페더스피엘', '보딜카이어']",0
