영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,감독값,배급사값,배우합,배우평균
데미갓 워즈,2019-01-25,1000,1000,1,1,1,1,미국,주식회사레드아이스,12세이상관람가,액션,0,0,6,593,296
라이즈 오브 워리어 퀸: 부디카,2020-12-16,100000,100000,20,20,1,1,영국,(주)도키엔터테인먼트,15세이상관람가,액션,0,0,2,0,0
존과 맥의 요상한 우주여행,2019-12-24,3745000,3745000,1675,1675,1,13,미국,(주)영화사안다미로,12세이상관람가,SF,0,0,1471,0,0
히달고,2004-03-19,188771000,188771000,29703,29703,15,940,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,조존스톤,0,20452,233552,77850
울프맨,2010-02-11,2062933500,2062933500,265409,265409,263,13920,미국,유니버설픽쳐스인터내셔널코리아(유),청소년관람불가,공포,조존스톤,0,610447,0,0
스모킹 에이스,2007-03-08,876321500,876321500,137855,137855,137,8091,미국,유니버설픽쳐스인터내셔널코리아(유),청소년관람불가,액션,조카나한,0,216881,560494,280247
A-특공대,2010-06-10,5795794000,5795794000,777985,777985,323,26460,미국,이십세기폭스코리아(주),15세이상관람가,액션,조카나한,0,685760,1891632,630544
조쉬 그로반: 브리지스 뉴욕 매디슨스퀘어가든 콘서트,2020-05-20,6988500,6988500,395,395,20,213,영국,CJENM,전체관람가,공연,0,0,968919,0,0
핑거프린트,1900-01-01,9000,9000,2,2,1,1,한국,0,등급없음,미스터리,0,0,0,0,0
그해 여름,2006-11-30,1744090200,1744090200,290564,290564,283,13164,한국,(주)쇼박스,12세이상관람가,멜로로맨스,0,0,1019339,3844037,1281345
아이슬란드의 성기 박물관,1900-01-01,132500,132500,60,60,1,2,캐나다,0,등급없음,다큐멘터리,0,0,0,0,0
탄생,2006-08-21,213000,213000,34,34,1,7,미국,(주)태원엔터테인먼트,15세이상관람가,미스터리,0,0,0,149688,149688
미스 리틀 선샤인,2006-12-21,98876000,173187000,14842,26251,8,521,미국,이십세기폭스코리아(주),15세이상관람가,코미디,0,0,202687,18993,9496
맨츄리안 캔디데이트,2005-03-11,90074500,90074500,13826,13826,47,1399,미국,UIP코리아,15세이상관람가,스릴러,0,0,200235,156979,78489
텍사스 전기톱 연쇄살인사건 : 0,2007-02-22,575888000,575888000,94050,94050,114,5711,미국,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,공포,0,0,466024,0,0
써로게이트,2009-10-01,5925561500,5925561500,794475,794475,228,26812,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,SF,0,0,572973,1688057,844028
올 투모로우 파티,1900-01-01,52000,52000,9,9,2,3,영국,0,등급없음,다큐멘터리,조나단코우테,0,0,0,0
타네이션,1900-01-01,1747000,1747000,260,260,1,9,미국,0,등급없음,다큐멘터리,조나단코우테,0,0,0,0
퍼니셔,2004-09-10,36507500,36507500,5664,5664,10,358,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,액션,0,0,117427,11646,5823
톨 맨: 악마는 살아있다,2017-11-03,3000,3000,1,1,1,1,미국,제인앤유,15세이상관람가,장르없음,0,0,673,0,0
미쓰 루시힐,2009-04-09,527776000,527776000,78282,78282,138,6835,미국,(주)쇼박스,12세이상관람가,코미디,0,0,1114755,776577,388288
흑심모녀,2008-06-12,389374500,389374500,59695,59695,178,7043,한국,(주)쇼박스,12세이상관람가,가족,0,0,1141085,2496145,832048
우정은 결코 죽지 않는다,1900-01-01,560000,560000,112,112,1,1,기타,0,등급없음,드라마,0,0,0,0,0
샬롯: 욕망의 법칙,2020-05-01,5000,5000,1,1,1,1,미국,(주)더그레이트컴퍼니,청소년관람불가,멜로로맨스,0,0,1,0,0
중천,2006-12-21,1099843000,8581442100,174576,1421412,286,8232,한국,CJENM,12세이상관람가,액션,0,0,672441,1923530,641176
사라지는 아이들,1900-01-01,160000,160000,80,80,1,3,미국,0,등급없음,다큐멘터리,0,0,0,0,0
인종법-1938,1900-01-01,188000,188000,27,27,1,1,이탈리아,0,등급없음,다큐멘터리,0,0,0,0,0
대한민국 1%,2010-05-05,2244690500,2244690500,440372,440372,286,20352,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,조명남,0,640749,3716810,1238936
간 큰 가족,2005-06-09,8212961893,8212961893,1305518,1305518,247,31517,한국,(주)쇼박스,12세이상관람가,코미디,조명남,0,614268,3800931,1266977
강적,2006-06-22,1956841000,1956841000,318142,318142,235,12049,한국,(주)쇼박스,15세이상관람가,액션,조민호,0,894991,550261,183420
10억,2009-08-06,3107403000,3107403000,433866,433866,252,12744,한국,(주)싸이더스,15세이상관람가,스릴러,조민호,0,427796,2630007,876669
"플러스 사이즈, 새로운 아름다움",1900-01-01,60000,60000,10,10,1,2,캐나다,0,등급없음,다큐멘터리,0,0,0,0,0
양아치어조,2006-06-23,1724000,1724000,255,255,1,64,한국,영화사청어람(주),청소년관람불가,액션,조범구,0,197228,471630,157210
뚝방전설,2006-09-07,2132943200,2132943200,338737,338737,180,13465,한국,(주)쇼박스,청소년관람불가,액션,조범구,255,1030151,731085,243695
아치와 씨팍,2006-06-28,640343800,640343800,100088,100088,121,5898,한국,(주)에이원엔터테인먼트,청소년관람불가,애니메이션,0,0,1150,2253242,751080
어웨이크,2008-03-27,3265249000,3265249000,498720,498720,216,22118,미국,(주)프라임엔터테인먼트,15세이상관람가,스릴러,0,0,350018,1860601,930300
북녘의 내 형제 자매들,1900-01-01,95000,95000,20,20,1,2,독일,0,등급없음,다큐멘터리,조성형,0,0,0,0
풀메탈 빌리지,2008-08-28,120000,120000,30,30,1,2,독일,0,등급없음,다큐멘터리,조성형,0,0,0,0
버라이어티 생존 토크쇼,1900-01-01,262000,262000,71,71,1,3,한국,0,등급없음,다큐멘터리,조세영,0,0,0,0
자 이제 댄스타임,1900-01-01,566000,566000,84,84,1,4,한국,0,등급없음,장르없음,조세영,0,0,0,0
구원을 찾아서,1900-01-01,132000,132000,29,29,1,3,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
마카오,1900-01-01,153000,153000,34,34,1,3,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
악마는 여자다,1900-01-01,184000,184000,35,35,1,4,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
진홍의 여왕,1900-01-01,218000,218000,43,43,1,3,기타,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
상하이 익스프레스,1900-01-01,34000,238000,5,43,1,2,미국,0,등급없음,장르없음,조세프본스텐버그,0,0,0,0
