영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,감독값,배급사값,배우합,배우평균
"416 프로젝트 ""공동의 기억: 트라우마""",1900-01-01,2192500,2192500,437,437,3,17,한국,0,등급없음,다큐멘터리,0,0,0,0,0
미씨카: 더 네크로맨서,2017-11-02,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,판타지,0,0,40,12875,4291
월드 워 핵전쟁의 서막,2019-03-07,26000,26000,17,17,5,17,기타,주식회사풍경소리,15세이상관람가,액션,0,0,27,0,0
울프라이징,2016-11-17,300000,300000,60,60,1,1,미국,주식회사루믹스미디어,15세이상관람가,공포,0,0,47,1,1
제3의앵글 : 형형색색대만전,1900-01-01,1830000,1830000,305,305,1,2,기타,0,등급없음,장르없음,0,0,0,0,0
연쇄살인마의 이중생활,2020-06-18,16000,16000,7,7,5,7,스페인,주식회사마운틴픽쳐스,15세이상관람가,범죄,0,0,9766,0,0
몬스터 아일랜드,2017-10-27,3000,3000,1,1,1,1,미국,주식회사레드아이스,15세이상관람가,어드벤처,0,0,17,0,0
잃어버린 세계를 찾아 2015,2015-12-03,4000,4000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,12세이상관람가,어드벤처,0,0,1641,10,5
과부: 탐스러운 육체,2016-11-19,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,0,0,6,0,0
페이스트리의 왕,1900-01-01,642000,642000,107,107,1,2,미국,0,등급없음,장르없음,0,0,0,0,0
지옥행 특급택시,2020-01-27,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,SF,0,0,1,0,0
텔미 하우 아이 다이,2017-09-28,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,스릴러,0,0,45,266610,88870
스탠딩 업,2015-09-24,5000,5000,1,1,1,1,미국,(주)블루브릭,12세이상관람가,가족,D.J.카루소,0,0,53203,17734
테이킹 라이브즈,2004-04-15,249467500,249467500,38736,38736,19,1551,미국,워너브러더스코리아(주),청소년관람불가,스릴러,D.J.카루소,0,122984,3698,1232
트리플 엑스 리턴즈,2017-02-08,327632201,327632201,475309,475309,590,20692,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,D.J.카루소,1,900242,2061395,687131
디스터비아,2007-08-30,3790837500,3790837500,576120,576120,167,15779,미국,CJENM,12세이상관람가,스릴러,D.J.카루소,0,841451,3842797,1921398
아이 엠 넘버 포,2011-02-24,660248204,660248204,654386,654386,284,22145,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,D.J.카루소,2292172,764533,227359,113679
이글 아이,2008-10-09,14869812500,14869812500,2292172,2292172,407,59132,미국,CJENM,12세이상관람가,액션,D.J.카루소,576120,942974,3093366,1031122
레커스,2014-04-03,16066000,16066000,2263,2263,15,298,영국,㈜인디스토리,청소년관람불가,멜로로맨스,0,0,1895,1233251,411083
동쪽 저 멀리,1900-01-01,160000,160000,31,31,1,3,미국,0,등급없음,장르없음,0,0,0,0,0
겟 어웨이,2016-12-23,5000,5000,1,1,1,1,미국,주식회사레드아이스,청소년관람불가,스릴러,0,0,37,1,1
뱀파이어의 그림자,1900-01-01,101500,101500,15,15,1,2,기타,0,청소년관람불가,공포,E.엘리아스메리지,0,0,0,0
서스펙트 제로,2005-03-17,28196000,28196000,4918,4918,12,463,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,공포,E.엘리아스메리지,0,196329,131390,65695
네고시에이터,1998-10-24,57000,57000,19,19,1,1,미국,0,15세이상관람가,액션,F.게리그레이,0,0,7133,2377
쿨,2005-04-08,136647000,136647000,21171,21171,48,1537,미국,이십세기폭스코아(주),15세이상관람가,코미디,F.게리그레이,0,220209,121990,60995
스트레이트 아웃 오브 컴턴,2015-09-10,412749800,412749800,48844,48844,185,2766,미국,유니버설픽쳐스인터내셔널코리아(유),청소년관람불가,드라마,F.게리그레이,0,823805,0,0
모범시민,2009-12-10,5876759500,5876759500,800006,800006,312,24611,미국,(주)시너지하우스(시너지),15세이상관람가,스릴러,F.게리그레이,0,434860,1272329,636164
맨 인 블랙: 인터내셔널,2019-06-12,1125725022,1125725022,851917,851917,1151,40520,미국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,액션,F.게리그레이,3659683,1890273,8693995,2897998
분노의 질주: 더 익스트림,2017-04-12,63421000,20193724,6445,3659683,35,972,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,액션,F.게리그레이,48844,621963,2074284,691428
노스페라투,1900-01-01,750000,750000,111,111,1,3,독일,0,등급없음,장르없음,F.W.무르나우,0,0,0,0
터부,1900-01-01,246000,584000,53,122,1,3,미국,0,등급없음,장르없음,F.W.무르나우,0,0,0,0
선라이즈,1900-01-01,133000,2837000,17,432,1,2,미국,0,등급없음,장르없음,F.W.무르나우,0,0,0,0
농부의 딸,1949-02-17,326000,326000,158,158,1,6,미국,0,등급없음,코미디,0,0,0,4375,1458
상간녀,2016-08-26,270000,270000,54,54,1,1,미국,(주)엘케이픽쳐스,청소년관람불가,스릴러,0,0,27,4,2
여닌자:음기로 가득찬 자매,2018-05-28,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,0,0,0,0,0
제 5침공,2016-02-25,1041049900,1041049900,135874,135874,312,5195,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,액션,0,0,635294,49972,16657
노예반란,1900-01-01,436000,436000,218,218,1,9,이탈리아,0,등급없음,어드벤처,J.리톰슨,0,0,0,0
맥켄나의 황금,1900-01-01,184000,497000,92,218,1,3,기타,0,등급없음,장르없음,J.리톰슨,0,0,0,0
태양의 왕,1900-01-01,235000,802000,99,306,1,4,미국,0,등급없음,모험,J.리톰슨,0,0,0,0
케이프 피어,1900-01-01,72000,2326000,24,558,1,1,미국,0,청소년관람불가,드라마,J.리톰슨,0,0,0,0
페세이지,1979-07-05,1924000,5596000,962,2757,1,16,미국,0,청소년관람불가,액션,J.리톰슨,0,0,8210,2736
나바론 요새,1974-07-20,4228000,23458104,2109,12032,1,49,미국,0,등급없음,액션,J.리톰슨,13554,0,0,0
대장 부리바,1973-06-29,1290000,28200000,634,13554,1,19,미국,0,12세이상관람가,전쟁,J.리톰슨,0,0,4535,1511
데스 에브리데이,2019-09-06,1000,1000,1,1,1,1,미국,(주)알이디아이스엔터,청소년관람불가,공포,0,0,1,0,0
"마진 콜: 24시간, 조작된 진실",2013-01-03,46371500,50779500,6409,7086,30,446,미국,(주)팝파트너스,15세이상관람가,스릴러,J.C챈더,0,15785,34963,11654
모스트 바이어런트,2015-04-02,79886925,79886925,10175,10175,71,1062,미국,(주)영화사진진,15세이상관람가,범죄,J.C챈더,10485,22861,2698709,1349354
올 이즈 로스트,2013-11-07,102751500,102751500,13885,13885,33,857,미국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,드라마,J.C챈더,7086,517292,0,0
슈퍼 에이트,2011-06-16,671828796,671828796,472157,472157,411,21884,미국,CJENM,12세이상관람가,SF,J.J.에이브럼스,1085447,1120062,0,0
스타워즈: 라이즈 오브 스카이워커,2020-01-08,417934914,417934914,507889,507889,957,28696,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,J.J.에이브럼스,0,4030636,1417305,472435
스타 트렉: 더 비기닝,2009-05-07,1660000,1340376092,166,1085447,1,1,미국,CJENM,12세이상관람가,SF,J.J.에이브럼스,0,948967,31213,10404
스타트렉 다크니스,2013-05-30,101787612,101787612,1607555,1607555,607,40563,미국,CJENM,12세이상관람가,액션,J.J.에이브럼스,472157,1207302,1071780,357260
스타워즈: 깨어난 포스,2015-12-17,1710974741,1710974741,3273879,3273879,940,69226,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,J.J.에이브럼스,1607555,3416841,279314,93104
미션 임파서블 3,2006-05-03,318000,2090430328,44,5127047,2,11,미국,UIP코리아,15세이상관람가,액션,J.J.에이브럼스,0,353031,1210754,605377
백악기 꼬마공룡을 찾아서,1900-01-01,350000,350000,70,70,1,7,캐나다,0,전체관람가,모험,0,0,0,0,0
필스,2013-11-21,6434000,6434000,883,883,6,52,영국,(주)앤드플러스미디어웍스,청소년관람불가,범죄,0,0,4293,5938166,1979388
헬벤더스: 최후의 성전,2014-05-01,3792000,3792000,1801,1801,4,18,미국,(주)소나무픽쳐스,청소년관람불가,공포,0,0,1563,0,0
맛있는 유부녀,2019-03-06,6000,6000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,0,0,1,0,0
섹스 주식회사,2012-09-27,190000,190000,42,42,4,19,미국,(주)소나무픽쳐스,청소년관람불가,코미디,0,0,42,136925,45641
좀비 vs 헌터,2018-01-11,2000,2000,1,1,1,1,캐나다,0,청소년관람불가,액션,K.킹,0,0,17,5
터미네이터 사이보그,2018-02-02,3000,3000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,15세이상관람가,액션,K.킹,1,949,31,10
매일 밤 엿보기: 대놓고 보여주는 불륜 유부녀,2020-10-02,2000,2000,1,1,1,1,일본,(주)씨맥스커뮤니케이션즈,청소년관람불가,드라마,K.C타케다,1,1,1,1
가질 수 없는 첫사랑 가정교사,2020-03-28,6000,6000,1,1,1,1,일본,(주)빅콘미디어,청소년관람불가,에로,K.C타케다,0,1,0,0
아내의 아르바이트,2017-08-30,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,0,0,0,0,0
시체를 다루는 방법,1900-01-01,80200,80200,90,90,1,1,한국,0,등급없음,장르없음,0,0,0,0,0
웨이크필드 프로젝트,2020-06-08,17811000,17811000,3881,3881,12,51,미국,(주)영화사안다미로,15세이상관람가,공포,0,0,1213,0,0
더 비지트,2015-10-15,403435581,403435581,52197,52197,279,4134,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,스릴러,M.나이트샤말란,537920,803538,0,0
레이디 인 더 워터,2006-10-13,675177000,675177000,110267,110267,74,4435,미국,워너브러더스코리아(주),전체관람가,판타지,M.나이트샤말란,378950,741005,401554,200777
해프닝,2008-06-12,2375782500,2375782500,347791,347791,245,15359,미국,이십세기폭스코리아(주),청소년관람불가,SF,M.나이트샤말란,110267,467160,546036,182012
빌리지,2004-09-24,2507016000,2507016000,378950,378950,81,9005,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,공포,M.나이트샤말란,0,108943,17184,8592
글래스,2019-01-17,17514314,17514314,466475,466475,837,24194,미국,월트디즈니컴퍼니코리아유한책임회사,15세이상관람가,드라마,M.나이트샤말란,1676011,3171699,3449415,1149805
애프터 어스,2013-05-30,463111129,463111129,537920,537920,484,19867,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,SF,M.나이트샤말란,1371164,1206216,3667040,1833520
라스트 에어벤더,2010-08-19,13854892500,13854892500,1371164,1371164,399,32416,미국,CJENM,전체관람가,액션,M.나이트샤말란,347791,1106978,1118979,372993
23 아이덴티티,2017-02-22,1728000,726474247,192,1676011,1,1,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,스릴러,M.나이트샤말란,52197,586010,1463865,487955
행복까지 30일,2016-06-09,500000,20249700,100,2838,1,1,기타,예지림엔터테인먼트,전체관람가,드라마,0,0,16121,0,0
6솔져스,2019-05-29,1000,1000,1,1,1,1,기타,(유)조이앤컨텐츠그룹,15세이상관람가,액션,0,0,918,0,0
로그,2020-11-25,31203140,31203140,4012,4012,180,1479,미국,(주)스톰픽쳐스코리아,15세이상관람가,액션,M.J.버세트,0,13680,572852,286426
솔로몬 케인,2010-03-25,940027000,940027000,124836,124836,194,10868,프랑스,(주)화앤담이엔티,청소년관람불가,액션,M.J.버세트,0,189142,8,2
카마수트라: 뱀의 여인,2016-06-01,213000,213000,37,37,5,37,기타,케이티하이텔(주),청소년관람불가,드라마,M.L.반데바노프데바쿤,2024,3102,0,0
잔다라 더 피날레,2014-05-01,11852000,11852000,1546,1546,20,25,기타,(주)퍼스트런,청소년관람불가,드라마,M.L.반데바노프데바쿤,2502,3549,7506,2502
잔다라: 더 비기닝,2013-09-05,17946000,17946000,2502,2502,13,134,기타,(주)영화사빅,청소년관람불가,멜로로맨스,M.L.반데바노프데바쿤,0,42571,0,0
욕구불만 유부녀의 장난감,2017-01-20,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,0,0,6,0,0
김정일리아,2011-06-23,10618000,10618000,1513,1513,7,145,미국,(주)크래커픽쳐스,전체관람가,다큐멘터리,0,0,0,0,0
사토미를 찾아라,2014-10-16,13164000,13164000,2595,2595,20,56,한국,브릿지웍스엔터테인먼트(주),청소년관람불가,코미디,0,0,3209,2070,690
타임 이즈 일매틱,1900-01-01,17046052,17046052,1422,1422,1,12,미국,0,등급없음,다큐멘터리,0,0,0,0,0
"때리지 말아요, 제발!",1900-01-01,18000,18000,4,4,1,2,기타,0,등급없음,다큐멘터리,0,0,0,0,0
스나이퍼 3,2005-02-24,11000,11000,2,2,1,2,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,액션,0,0,184919,0,0
줄리아 엑스,2013-07-16,827000,827000,296,296,3,4,미국,(주)고맙습니다사랑합니다,청소년관람불가,공포,0,0,206,20,10
뮤리엘의 웨딩,1995-05-20,65000,65000,21,21,1,2,기타,0,등급없음,장르없음,P.J.호건,0,0,0,0
피터 팬,2004-01-16,850564000,850564000,141716,141716,15,1668,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,어드벤처,P.J.호건,0,11498,0,0
쇼퍼홀릭,2009-03-26,2073278500,2073278500,306459,306459,180,15062,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,코미디,P.J.호건,0,570001,186589,62196
아버지,1900-01-01,752000,752000,188,188,1,2,기타,0,등급없음,장르없음,0,0,0,0,0
상자,1900-01-01,2066,2066,13,13,1,2,미국,0,등급없음,장르없음,0,0,0,0,0
럼블,2017-08-22,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R.엘리스프레이저,1,80,1,1
멕시칸잡,2017-05-18,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R.엘리스프레이저,0,81,30785,30785
미스파이어,2017-07-27,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R.엘리스프레이저,1,74,1,1
크로스 라인,2013-04-05,1350000,1350000,90,90,1,9,미국,스크린조이,15세이상관람가,액션,R.엘리스프레이저,0,135,2139,713
라스트 에너미,2014-03-06,23820000,23820000,4032,4032,20,85,미국,(주)미디어데이,15세이상관람가,액션,R.엘리스프레이저,90,26593,720510,360255
넥스트 투모로우 2,2014-11-27,1626000,1626000,381,381,4,12,미국,스크린조이,12세이상관람가,액션,0,0,1394,0,0
콜 미 킹,2016-08-18,5000,5000,1,1,1,1,미국,(주)시네마리퍼블릭,청소년관람불가,액션,0,0,20,18,6
로봇,2012-04-19,26607000,26607000,3617,3617,37,459,기타,프리비젼엔터테인먼트,15세이상관람가,SF,0,0,8272,39390,13130
대탈주: 디비전 19,2019-07-25,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,액션,0,0,1,0,0
한밤의 살인자,2016-08-24,100000,100000,10,10,1,1,미국,(주)다날엔터테인먼트,15세이상관람가,공포,0,0,10,832,416
바후발리 : 더 비기닝,2016-11-10,25209500,25209500,3068,3068,31,281,기타,0,15세이상관람가,액션,0,0,0,0,0
아사미 유마의 복상사,2016-09-21,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,10,7,805,805
남편 앞에서 당하는 아내,2017-03-17,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,7,5,21,21
흠뻑 젖은 유부녀,2017-06-14,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,5,5,16,16
어린 형수:강제로 섹스한 날,2017-10-31,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,3,4,4,4
업소에 팔려버린 아이돌,2017-12-25,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,3,4,0,0
전망 좋은 부동산,2017-08-17,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,4,4,5,5
전망 좋은 부동산 무삭제판,2017-10-14,6000,6000,1,1,1,1,일본,0,등급없음,장르없음,S.세타니,3,0,0,0
정사: 형수와 도련님,2018-01-10,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,2,4,0,0
착한 누나:다섯 남자와 섹스를,2017-08-17,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,4,4,13,13
뭐든지 해드릴게요,2016-04-17,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,0,8,0,0
유부녀의 사생활,2016-04-17,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,0,8,54,27
아랍국가들의 풀라인형,1900-01-01,850,850,4,4,1,1,기타,0,등급없음,애니메이션,0,0,0,0,0
신의 기적,2017-04-18,3000,3000,1,1,1,1,미국,(유)조이앤컨텐츠그룹,15세이상관람가,드라마,0,0,1427,0,0
프리저베이션홀 재즈밴드,2020-04-02,6460260,6460260,855,855,30,303,미국,에스와이코마드,전체관람가,다큐멘터리,0,0,5715,0,0
썩은 우유,1900-01-01,3237,3237,14,14,1,2,미국,0,청소년관람불가,애니메이션,0,0,0,0,0
동창회:그녀와 하던 날,2018-07-31,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,0,0,4,5,5
Must Art,1900-01-01,68523,68523,91,91,1,1,한국,0,등급없음,장르없음,0,0,0,0,0
극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,2014-01-23,405278000,405278000,59611,59611,183,1952,일본,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,액션,0,0,844129,0,0
나이팅게일: 폴링 인 러브,1900-01-01,93000,93000,10,10,1,1,기타,0,등급없음,장르없음,0,0,0,0,0
몬스터즈,2014-05-29,6480000,6480000,1080,1080,20,36,영국,씨네그루(주)다우기술,15세이상관람가,SF,가렛에드워즈,709734,5676,0,0
고질라,2014-05-15,1677880667,1677880667,709734,709734,610,25335,미국,워너브러더스코리아(주),12세이상관람가,액션,가렛에드워즈,0,1331644,96104,32034
로그 원: 스타워즈 스토리,2016-12-28,374508796,458061002,422822,1019309,810,17226,미국,월트디즈니컴퍼니코리아유한책임회사,12세이상관람가,액션,가렛에드워즈,355407,3303736,1441957,480652
메란타우,2011-09-29,325000,325000,103,103,1,9,기타,(주)소나무픽쳐스,15세이상관람가,액션,가렛에반스,0,431,0,0
레이드 2,2014-07-09,10000,62925400,2,8029,1,2,기타,(주)올스타엔터테인먼트,청소년관람불가,액션,가렛에반스,7320,0,32693,10897
레이드 : 첫번째 습격,2012-05-17,5000,163533500,1,21761,1,1,기타,CJENM,청소년관람불가,액션,가렛에반스,103,1124095,103,34
V/H/S/2: 악마를 부르는 비디오,2013-08-14,475000,475000,97,97,1,2,미국,(주)노이에스,청소년관람불가,공포,가렛에반스,10932,106,173,86
오페라 자바,1900-01-01,200000,200000,36,36,1,2,기타,0,등급없음,뮤지컬,0,0,0,0,0
잿더미에서 본 희망,1900-01-01,63750,63750,27,27,1,2,일본,0,등급없음,다큐멘터리,0,0,0,0,0
문프린세스 : 문에이커의 비밀,2009-02-19,2227357000,2227357000,360195,360195,263,16739,영국,(주)성원아이컴,전체관람가,어드벤처,가버추보,479124,103627,321316,107105
비밀의 숲 테라비시아,2007-02-15,2678829000,2678829000,479124,479124,128,12008,미국,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,어드벤처,가버추보,0,465639,50217,25108
오토마타,2014-10-23,12157200,12157200,1738,1738,21,257,스페인,(주)지어소프트,15세이상관람가,SF,0,0,107567,374302,187151
매혹의 스캔들,1900-01-01,560000,560000,112,112,1,1,기타,(주)액티버스엔터테인먼트,15세이상관람가,멜로로맨스,0,0,0,0,0
대통령의 죽음,2006-12-28,13568000,42248500,2277,7156,29,274,영국,(주)프라임엔터테인먼트,12세이상관람가,드라마,0,0,532771,0,0
빌리와 용감한 녀석들: 치킨 히어로,2016-02-17,251011600,251011600,35937,35937,241,2301,미국,(주)박수엔터테인먼트,전체관람가,애니메이션,0,0,38697,0,0
세상의 모든 괴물,1900-01-01,2225,2225,8,8,1,2,프랑스,0,15세이상관람가,애니메이션,0,0,0,0,0
600 마일,2016-12-08,413000,413000,95,95,5,62,기타,0,15세이상관람가,드라마,0,0,0,47756,15918
모래,1900-01-01,57500,57500,23,23,1,2,영국,0,등급없음,다큐멘터리,0,0,0,0,0
키스 미 어게인,2015-06-11,2290000,2290000,301,301,2,55,이탈리아,㈜영화사백두대간,청소년관람불가,드라마,가브리엘무치노,10328,5588,0,0
나에게 유일한,2004-08-06,1223500,19284000,277,3002,1,3,이탈리아,(주)동숭아트센터,15세이상관람가,코미디,가브리엘무치노,0,629,0,0
라스트 키스,2006-07-06,618000,69741000,85,10143,2,23,이탈리아,㈜영화사백두대간,15세이상관람가,멜로로맨스,가브리엘무치노,3002,6600,0,0
당신에게도 사랑이 다시 찾아올까요?,2013-10-17,70430500,70430500,10328,10328,104,1351,미국,(주)영화사빅,15세이상관람가,멜로로맨스,가브리엘무치노,0,46218,715548,238516
파더 앤 도터,2015-12-10,466831100,466831100,61196,61196,352,5524,미국,(주)박수엔터테인먼트,15세이상관람가,드라마,가브리엘무치노,5314,39205,3594766,1198255
세븐 파운즈,2009-02-05,1506896000,1506896000,229799,229799,191,10038,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,드라마,가브리엘무치노,304828,583688,1990718,663572
행복을 찾아서,2007-02-28,1270000,594996296,190,599514,1,2,미국,(주)팝엔터테인먼트,전체관람가,드라마,가브리엘무치노,6572,623737,1160277,580138
혹한,1900-01-01,181000,181000,29,29,1,2,스페인,0,등급없음,장르없음,0,0,0,0,0
뮤턴트 워,2018-07-05,50000,50000,10,10,1,1,이탈리아,(주)히스토리필름,15세이상관람가,SF,가브리엘살바토레,0,0,0,0
볼라레,1900-01-01,197000,197000,29,29,1,1,이탈리아,0,등급없음,드라마,가브리엘살바토레,0,0,0,0
시베리안 에듀케이션,2014-06-04,695000,695000,92,92,5,48,이탈리아,찬란,15세이상관람가,드라마,가브리엘살바토레,0,8220,3598290,1199430
지중해,1993-07-31,644000,644000,125,125,1,2,이탈리아,0,15세이상관람가,전쟁,가브리엘살바토레,0,0,0,0
도둑까치,2020-11-03,3725600,3725600,137,137,5,45,이탈리아,일미디어,전체관람가,공연,가브리엘살바토레,10,334,0,0
아임 낫 스케어드,2004-08-06,1055500,13203000,232,2074,1,2,스페인,(주)씨네진,12세이상관람가,드라마,가브리엘살바토레,0,0,0,0
블랙 라이더,2016-11-14,4000,4000,1,1,1,1,미국,(주)퍼스트런,청소년관람불가,액션,0,0,221,19311,6437
리스본의 네 가지 이야기,1900-01-01,207000,207000,29,29,1,2,기타,0,등급없음,드라마,0,0,0,0,0
바베트의 만찬,1996-06-01,660000,1243000,110,177,1,2,기타,0,전체관람가,드라마,0,0,0,0,0
루드비히의 악마,1900-01-01,51130,51130,87,87,1,3,프랑스,0,등급없음,애니메이션,0,0,0,0,0
퀴리노 크리스티아니,1900-01-01,40000,40000,8,8,1,1,영국,0,등급없음,다큐멘터리,0,0,0,0,0
셰프 펑키의 특별한 파스타,1900-01-01,287000,287000,41,41,1,1,미국,0,등급없음,다큐멘터리,0,0,0,0,0
시저와 클레오파트라,1954-10-27,2090000,11169000,1045,5230,1,12,영국,0,12세이상관람가,장르없음,0,0,0,18291,6097
타폴로고,1900-01-01,68000,68000,34,34,1,2,스페인,0,등급없음,다큐멘터리,0,0,0,0,0
블랙피쉬,1900-01-01,700000,1502500,175,553,1,1,미국,0,12세이상관람가,다큐멘터리,0,0,0,0,0
더 뮬: 죽음의 질주,2014-03-13,4910000,4910000,940,940,5,48,미국,(주)에이블엔터테인먼트,15세이상관람가,스릴러,0,0,1534,20251,10125
변태학원의 미녀 수강생,1900-01-01,100000,100000,20,20,1,1,일본,(주)빅콘미디어,청소년관람불가,드라마,0,0,0,0,0
막달라 마리아: 부활의 증인,2018-03-28,214792200,214792200,30833,30833,111,2456,영국,유니버설픽쳐스인터내셔널코리아(유),12세이상관람가,드라마,가스데이비스,104439,799341,1457446,485815
라이언,2017-02-01,779680700,779680700,104439,104439,205,6325,기타,(주)이수C&E,12세이상관람가,드라마,가스데이비스,0,164215,473692,157897
은하수를 여행하는 히치하이커를 위한 안내서,2005-08-26,138314500,138314500,20292,20292,1,309,미국,브에나비스타인터내셔널코리아,전체관람가,SF,가스제닝스,0,146294,0,0
씽,2016-12-21,767350504,381273701,667598,1730773,721,17191,미국,유니버설픽쳐스인터내셔널코리아(유),전체관람가,애니메이션,가스제닝스,0,571349,7113914,2371304
돌이킬 수 없는,2003-04-04,405000,763000,45,85,1,1,프랑스,프라임픽쳐스,청소년관람불가,스릴러,가스파노에,0,0,74,37
러브,2017-11-02,678000,26226000,68,3183,1,1,프랑스,판씨네마(주),청소년관람불가,멜로로맨스,가스파노에,0,227797,0,0
습한 계절,1900-01-01,1621500,1621500,268,268,1,5,중국,0,등급없음,드라마,0,0,0,0,0
게임의 규칙,2017-06-01,754000,754000,153,153,1,16,중국,(주)컴퍼니엘,15세이상관람가,액션,0,0,295,1510,503
겨울날,1900-01-01,87000,87000,18,18,1,2,일본,0,등급없음,애니메이션,0,0,0,0,0
색광: 섹스에 미친 사람들,2016-08-18,8000,8000,1,1,1,1,일본,(주)플라이어,청소년관람불가,에로,0,0,1,4,4
관능시대,2015-05-07,5000,5000,1,1,1,1,일본,조이앤키노,청소년관람불가,멜로로맨스,가와사키히로유키,1,16,10,5
도깨비 섹스,2015-04-30,5000,5000,1,1,1,1,일본,퍼즐컷,청소년관람불가,멜로로맨스,가와사키히로유키,0,1054,0,0
사악한 정사,2015-06-11,5000,5000,1,1,1,1,일본,조이앤키노,청소년관람불가,에로,가와사키히로유키,1,14,0,0
섹시엔젤 카에데,2011-11-10,30000,30000,10,10,1,1,일본,(유)조이앤컨텐츠그룹,청소년관람불가,드라마,가와사키히로유키,10,40295,10,5
에로닌자 카즈미 2,2011-05-12,30000,30000,10,10,1,1,일본,0,청소년관람불가,에로,가와사키히로유키,0,0,0,0
에로닌자 카즈미3,2011-05-19,30000,30000,10,10,1,1,일본,0,청소년관람불가,에로,가와사키히로유키,10,0,0,0
에로닌자 카즈미4,2011-05-26,30000,30000,10,10,1,1,일본,0,청소년관람불가,멜로로맨스,가와사키히로유키,10,0,3,1
귀신전,1900-01-01,268000,268000,39,39,1,1,일본,0,등급없음,애니메이션,0,0,0,0,0
아마미,1900-01-01,91000,91000,23,23,1,2,일본,0,등급없음,다큐멘터리,가와세나오미,0,0,0,0
캬카라바아,1900-01-01,481500,481500,82,82,1,11,일본,0,등급없음,다큐멘터리,가와세나오미,0,0,0,0
출산,2008-04-01,706000,706000,122,122,1,8,일본,0,등급없음,다큐멘터리,가와세나오미,0,0,0,0
벚꽃 편지,2008-04-01,957000,957000,162,162,1,12,일본,0,등급없음,다큐멘터리,가와세나오미,0,0,0,0
달팽이: 나의 할머니,2008-04-01,1051000,1051000,169,169,1,8,일본,0,등급없음,다큐멘터리,가와세나오미,0,0,0,0
