,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독
154,우아한 나체들,,390600,390600,62,62,2,7,한국,,[국내] 청소년 관람불가,장르없음,루카스 발렌타 리너
155,파리의 지붕 밑,,288000,390000,61,81,1,4,프랑스,,,장르없음,르네 클레어
156,백만장자,,370000,422000,82,92,1,5,프랑스,,,장르없음,르네 클레어
157,죽은 사람들,,208000,208000,40,40,1,3,아르헨티나,,,장르없음,리산드로 알론소
158,판타스마,,220000,220000,43,43,1,3,아르헨티나,,,장르없음,리산드로 알론소
159,리버풀,,310000,310000,64,64,1,3,아르헨티나,,,장르없음,리산드로 알론소
160,자유,,402000,402000,78,78,1,3,아르헨티나,,,장르없음,리산드로 알론소
161,투게더,,314500,314500,83,83,1,4,중국,,,장르없음,리앙 자오
162,난폭한 토요일,,469000,469000,88,88,1,3,미국,,,장르없음,리차드 플레이셔
163,레드 소냐,1985-07-17,420000,420000,177,177,1,6,네덜란드,,,장르없음,리차드 플레이셔
164,나도 숟가락 살인마다,,32000,32000,32,32,1,1,미국,,,장르없음,리처드 게일
165,너도 숟가락 살인마가 될 수 있다,,32000,32000,32,32,1,1,미국,,,장르없음,리처드 게일
166,세계최초공개: 또 다른 대작,,32000,32000,32,32,1,1,미국,,,장르없음,리처드 게일
167,숟가락 vs 숟가락,,32000,32000,32,32,1,1,미국,,,장르없음,리처드 게일
168,잭에게 물어봐,,32000,32000,32,32,1,1,미국,,,장르없음,리처드 게일
169,잭을 구해줘,,32000,32000,32,32,1,1,미국,,,장르없음,리처드 게일
170,위대한 카루소,,276000,5360000,138,2645,1,10,미국,,,장르없음,리처드 소프
171,구름에가린별,,164000,164000,36,36,1,3,인도,,,장르없음,리트윅 가탁
172,겨울방학,,108000,108000,27,27,1,1,중국,,,장르없음,리홍치
173,매드하우스 베이징 로큰롤,,640000,640000,128,128,1,4,중국,,,장르없음,리홍치
174,파티,,126000,126000,24,24,1,3,포르투갈,,,장르없음,마누엘 데 올리베이라
175,제5제국,,145000,145000,33,33,1,3,포르투갈,,,장르없음,마누엘 데 올리베이라
176,글로리아,2015-09-09,240000,240000,34,34,1,2,포르투갈,,[국내] 15세 관람가,장르없음,마누엘라 비거스
177,새벽,,182000,182000,39,39,1,3,프랑스,,,장르없음,마르셀 카르네
178,야간문,,2680000,5083000,1340,2529,1,27,프랑스,,,장르없음,마르셀 카르네
179,웨딩 디렉터,,98000,98000,21,21,1,3,이탈리아,,,장르없음,마르코 벨로치오
180,승리,,306000,1046000,66,213,1,3,이탈리아,,,장르없음,마르코 벨로치오
181,"브라더, 시스터",,20000,20000,7,7,1,2,독일,,,장르없음,마리아 모어
182,그들이 잠자는 동안,,72471,72471,87,87,1,2,모로코,,,장르없음,마리암 투자니
183,치인의 사랑,,1128000,1128000,160,160,1,3,일본,,,장르없음,마스무라 야스조
184,뒤죽박죽,,282000,282000,55,55,1,3,영국,,,장르없음,마이크 리
185,베라 드레이크,,1510000,1740000,211,262,1,3,영국,,,장르없음,마이크 리
186,시라노,,3021000,3263000,1493,1614,1,20,미국,,,장르없음,마이클 고든
187,필로우 토크,,826000,10964000,413,5483,1,29,미국,,12세 관람가 ,장르없음,마이클 고든
188,24시간 파티하는 사람들,,1214000,1214000,149,149,1,4,영국,,,장르없음,마이클 윈터바텀
189,로잘린,,393000,393000,62,62,1,2,한국,,,장르없음,마티아스 피녜이로
190,도둑맞은남자,,147000,705000,26,113,1,3,아르헨티나,,,장르없음,마티아스 피녜이로
191,마지막 버스,,22200,22200,89,89,1,2,슬로바키아,,,장르없음,"마틴 스노펙,이바나 라우치코바"
192,입맞춤,,202000,202000,46,46,1,3,일본,,,장르없음,만다 쿠니토시
193,하이 눈,,464000,464000,232,232,1,13,홍콩,,,장르없음,맥희인
194,4시의 악마,,602000,602000,301,301,1,14,미국,,,장르없음,머빈 르로이
195,나쁜종자,,1082000,1082000,536,536,1,16,미국,,,장르없음,머빈 르로이
196,퀴리부인,1946-12-01,2432000,3210000,1216,1605,1,28,미국,,,장르없음,머빈 르로이
197,뿌양의 첫경험,,50000,50000,10,10,1,1,일본,,[국내] 청소년 관람불가,장르없음,메이케 미츠루
198,루시와 목소리의 대결,,122980,122980,175,175,1,2,멕시코,,,장르없음,모니카 에레라
199,육식계 간호사,2017-08-17,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,모치나가 히토시
200,앤티 맘,,786000,786000,393,393,1,12,미국,,,장르없음,모튼 다코스타
201,순수의 순간,,96000,96000,32,32,1,3,이란,,전체 관람가 ,장르없음,모흐센 마흐말바프
202,단란한 가족: 너무 하고싶어요,2017-09-30,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,[국내] 청소년 관람불가,장르없음,무라야마 쿄스케
203,문감독 예고편 : 40MIN,2014-01-09,25000,684000,4,137,1,2,한국,브이지 픽쳐스,[국내] 청소년 관람불가,장르없음,문병곤
204,그녀,,20500,435500,14,429,1,2,한국,,,장르없음,문성혁
205,명도 미녀환,,70000,70000,16,16,1,3,일본,,,장르없음,미조구치 겐지
206,밤의 여인들,,128000,128000,28,28,1,3,일본,,,장르없음,미조구치 겐지
207,우타마로를 둘러싼 다섯 여인들,,119000,119000,31,31,1,4,일본,,,장르없음,미조구치 겐지
208,여배우 스마코의 사랑,,164000,164000,33,33,1,3,일본,,,장르없음,미조구치 겐지
209,유키 부인의 초상,,330000,330000,66,66,1,5,일본,,,장르없음,미조구치 겐지
210,정복된 사람들,,252000,252000,41,41,1,2,이탈리아,,,장르없음,미켈란젤로 안토니오니
211,자브리스키 포인트,,294000,1706000,65,320,1,4,미국,,,장르없음,미켈란젤로 안토니오니
212,물방울 원피스의 유부녀,2018-07-30,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,미타니 유키오
213,이해할 수 없는 사랑,,107000,107000,17,17,1,1,러시아,,[국내] 15세 관람가,장르없음,미하일 루카체프스키
214,기적,,721000,721000,103,103,1,3,한국,,[국내] 12세 관람가,장르없음,민병훈
215,열병,,58500,58500,39,39,1,3,한국,,,장르없음,민용근
216,미안합니다,,78000,78000,45,45,1,4,한국,,,장르없음,박명랑
217,내사랑 제제,,10000,10000,2,2,1,1,한국,,,장르없음,박배일
218,처음엔 다 그래,2017-09-14,950000,950000,176,176,16,16,한국,,[국내] 청소년 관람불가,장르없음,박선재
219,플라잉 피그,,24400,24400,21,21,1,2,한국,,,장르없음,박성미
220,열두 살,,360000,360000,51,51,1,3,한국,,,장르없음,박성진
221,경계인들,2018-10-12,72000,228000,11,31,1,2,한국,,[국내] 12세 관람가,장르없음,"박소진,배세웅"
222,제주도 야한밤,2018-03-29,1000,1000,1,1,1,1,한국,,[국내] 청소년 관람불가,장르없음,박은석
223,"괜찮아, 임마",,26400,26400,22,22,1,2,한국,,,장르없음,박인철
224,안녕 자지,,168603,168603,157,157,1,8,한국,,,장르없음,박자은
225,"믿거나 말거나, 찬드라의 경우",,144000,144000,144,144,1,2,한국,,,장르없음,박찬욱
226,미확인 미행물체,,19839,19839,17,17,1,4,한국,,,장르없음,백의정
227,혁명 전야,,1613000,1613000,247,247,1,6,이탈리아,,,장르없음,베르나르도 베르톨루치
228,음악으로 이루어진 세계,,466000,466000,70,70,1,2,독일,,,장르없음,베르너 헤어조크
229,"1,2,3 태양",,348000,348000,72,72,1,3,프랑스,,,장르없음,베르트랑 블리에
230,통행증,,526000,559000,112,123,1,2,프랑스,,,장르없음,베르트랑 타베르니에
231,엘 모비미엔토,,30000,30000,6,6,1,1,한국,,[국내] 15세 관람가,장르없음,벤자민 나이스타트
232,아시아에서 여성으로 산다는 것,,210000,210000,42,42,1,1,한국,,,장르없음,변영주
233,유혹,1969-12-06,994000,994000,497,497,1,6,한국,,,장르없음,변장호
234,청춘극장,1975-09-20,1572000,1572000,786,786,1,15,한국,,[국내] 12세 관람가,장르없음,변장호
235,눈물의 웨딩드레스,1973-07-21,3275000,3275000,1625,1625,1,26,한국,,,장르없음,변장호
236,할리마,,48343,48343,29,29,1,2,독일,,,장르없음,보리스 샤르슈미트
237,위험한 관계,1994-11-05,279000,279000,100,100,1,3,이탈리아,,[국내] 청소년 관람불가,장르없음,브루노 가부로
238,그레이트 레이스,,40000,40000,20,20,1,1,미국,,[국내] 12세 관람가,장르없음,블레이크 에드워즈
239,밀애,1971-08-20,93000,93000,37,37,1,3,미국,,,장르없음,블레이크 에드워즈
240,버섯,,155000,155000,31,31,1,2,인도,,,장르없음,비묵티 자야순다라
241,올다,,42000,42000,10,10,1,2,슬로바키아,,,장르없음,비에라 차카뇨바
242,구두닦이,,144000,144000,48,48,1,5,이탈리아,,,장르없음,비토리오 데 시카
243,나폴리의 황금,,1617000,4625000,806,2026,1,18,이탈리아,,,장르없음,비토리오 데 시카
244,신부의 아버지,,54000,2823000,27,1138,1,6,미국,,,장르없음,빈센트 미넬리
245,디자이닝 우먼,,1874000,4405000,937,2200,1,41,미국,,,장르없음,빈센트 미넬리
246,비장의 술수,,122000,202000,61,101,1,6,미국,,,장르없음,빌리 와일더
247,시간의 흐름 속으로,,1246000,1650000,189,272,1,8,독일,,,장르없음,빔 벤더스
248,화살의 질주,,72000,72000,16,16,1,2,미국,,,장르없음,사무엘 풀러
249,철모,,96000,96000,19,19,1,2,미국,,,장르없음,사무엘 풀러
250,파크 로우,,106000,106000,21,21,1,3,미국,,,장르없음,사무엘 풀러
251,대나무집,,132000,132000,26,26,1,2,미국,,,장르없음,사무엘 풀러
252,충격의 복도,,186000,186000,38,38,1,3,미국,,,장르없음,사무엘 풀러
253,40정의 총,,194000,194000,39,39,1,3,미국,,,장르없음,사무엘 풀러
254,절름발이 악마,,505000,505000,97,97,1,8,프랑스,,[국내] 15세 관람가,장르없음,사샤 기트리
255,제주: 년의 춤,,40000,40000,10,10,1,1,한국,,,장르없음,사유진
256,망가진 아이,,31136,31136,56,56,1,3,프랑스,,,장르없음,사이몬 필리어트
257,츠바사의 알몸 연극,2018-10-19,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,사카키 히데오
258,보험왕의 육체계약,2018-10-12,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,사카타 히로키
259,실전 에로틱 작업기술,2018-10-02,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,사카타 히로키
260,유부녀 보험 영업,2018-08-09,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,사카타 히로키
261,한여름의 풍만녀들,2018-07-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,사카타 히로키
262,불륜정사,2011-02-18,30000,30000,10,10,1,1,일본,,[국내] 청소년 관람불가,장르없음,사토 히사야스
263,폭풍의 밤,,278000,278000,59,59,1,3,벨기에,,,장르없음,샹탈 애커만
264,집에서 온 소식,,344000,1734000,70,271,1,3,프랑스,,,장르없음,샹탈 애커만
265,"8월 26일, 세인트 헨리 거리",,27500,27500,8,8,1,2,캐나다,,,장르없음,섀넌 월쉬
266,전쟁과 평화 1부,,534000,534000,79,79,1,2,기타,,[국내] 전체 관람가,장르없음,세르게이 본다르추크
267,두 번째 바람,,51000,51000,51,51,1,2,러시아,,,장르없음,세르게이 치스
268,신의 말,,252000,252000,39,39,1,1,러시아,,[국내] 15세 관람가,장르없음,세르게이 포타포프
269,정력가 스님의 호색한 생활,2017-04-27,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,세키네 카즈미
270,옥시즌,,75000,75000,15,15,1,2,몽고,,,장르없음,셍게도르지 잔치브도르지
271,숀벤 라이더,,580000,2517000,84,367,1,2,일본,,,장르없음,소마이 신지
272,파라다이스 호텔,,42500,42500,9,9,1,2,불가리아,,,장르없음,소피아 차벨라
273,너무 많이 본 사나이,,80000,80000,8,8,1,1,한국,,,장르없음,손재곤
274,파마하는 날,,3200,3200,4,4,1,1,한국,,,장르없음,송상현
275,오리엔테이션,,267500,267500,214,214,1,4,한국,,,장르없음,송윤희
276,태양의 길목,,85000,85000,17,17,1,2,중국,,,장르없음,송태가
277,쿠르쿠레 몬스터포즈,,13066,13066,54,54,1,3,인도,,,장르없음,수레시 에리야트
278,퍼펙트 커플,2007-05-10,228000,1325000,47,267,1,3,일본,,[국내] 15세 관람가,장르없음,스와 노부히로
279,"항구의 건배, 승리를 나의 손에",,162000,162000,38,38,1,4,일본,,,장르없음,스즈키 세이준
280,러브레터,,177000,177000,41,41,1,4,일본,,,장르없음,스즈키 세이준
281,악마의 거리,,296000,296000,68,68,1,4,일본,,,장르없음,스즈키 세이준
282,킬링,,3210000,3284000,1590,1603,1,24,미국,,[국내] 12세 관람가,장르없음,스탠리 큐브릭
283,성전,,57500,57500,17,17,1,2,미국,,,장르없음,스티븐 마샬
284,밤으로의 긴 여로,,116000,4049000,58,2068,1,4,미국,,,장르없음,시드니 루멧
285,애마부인 미야코,2011-01-27,30000,30000,10,10,1,1,일본,,,장르없음,시모모토 사토시
286,영원,,266000,266000,34,34,1,8,태국,,[국내] 15세 관람가,장르없음,시바로지 콩사쿤
287,폭주미망인-다빌려드립니다,2018-07-30,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,시즈미 다이케이
288,만종,1970,510000,510000,255,255,1,6,한국,,,장르없음,신상옥
289,삼일천하,1973-02-15,1576000,1576000,788,788,1,23,한국,,[국내] 전체 관람가,장르없음,신상옥
290,천년호,1969,860000,2078000,430,1039,1,21,한국,,,장르없음,신상옥
291,장한몽,1969,216000,4434000,108,2217,1,6,한국,,,장르없음,신상옥
292,효녀 심청,1972-11-17,790000,5075000,395,2535,1,8,한국,,[국내] 전체 관람가,장르없음,신상옥
293,다정불심,1967,1112000,6251000,556,3123,1,15,한국,,[국내] 청소년 관람불가,장르없음,신상옥
294,강화도령,1963,1961000,7811000,980,3905,1,25,한국,,,장르없음,신상옥
295,열녀문,1962,1760000,10696000,880,5097,1,23,한국,,,장르없음,신상옥
296,라라에게,,100500,100500,41,41,1,1,한국,,[국내] 15세 관람가,장르없음,신이수
297,섹스킹,,278750,278750,223,223,1,4,한국,,,장르없음,신주환
298,기념일,,22500,22500,9,9,1,1,한국,,,장르없음,심봉건
299,껍데기,,22500,22500,9,9,1,1,한국,,,장르없음,심봉건
300,남자와 기생,1969,30000,30000,3,3,1,1,한국,,[국내] 12세 관람가,장르없음,심우섭
301,남자식모,1968,981000,981000,480,480,1,20,한국,,,장르없음,심우섭
302,미로,,7000,7000,14,14,1,2,폴란드,,,장르없음,아그니에스제카 코왈체야키
303,창조물들,,266000,266000,54,54,1,3,프랑스,,[국내] 15세 관람가,장르없음,아녜스 바르다
304,행복,,6229000,6827000,953,1072,1,31,프랑스,,15세 관람가 ,장르없음,아녜스 바르다
305,돈으로 산 그녀의 정사,2018-10-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아라키 타로
306,성인식:남자로 만들어줄게,2018-03-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아마엔보 쇼군
307,커다란 두리안,,29000,29000,10,10,1,2,말레이시아,,,장르없음,아미르 무하마드
308,포스 오브 이블,,960000,960000,151,151,1,2,미국,,,장르없음,아브라함 폴론스키
309,금지된 사랑 : 나는 친구의 아내를…,2019-01-25,2000,2000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아사기리 키요시
310,유레카,,1885000,1885000,276,276,1,3,일본,,,장르없음,아오야마 신지
311,몸으로 접대한 아내,2018-09-06,2000,2000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아카바 키쿠지로
312,실화 섹스전화상담,2018-10-02,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아카바네 류지
313,젊은 직원 맛보기,2018-10-02,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아카바네 키쿠지로
314,친애하는 당신,,1290000,1290000,185,185,1,3,태국,,,장르없음,아핏차퐁 위라세타쿤
315,세계의 욕망 : 디지털 삼인삼색 2005,,0,5237500,0,785,1,1,한국,,,장르없음,"아핏차퐁 위라세타쿤,츠카모토 신야,송일곤"
316,시라 - 초승달의 노래,,47500,47500,14,14,1,2,스위스,,,장르없음,"아흐메드 압델 모흐센,산드라 기지"
317,우결,,248750,248750,199,199,1,8,한국,,,장르없음,안기창
318,진실한 사랑,,646000,2915000,323,1440,1,8,미국,,,장르없음,안드레 드 토스
319,머나먼 서부,,1867000,3979000,916,1991,1,18,미국,,12세 관람가 ,장르없음,안소니 만
320,캠퍼스의 봄,,267500,267500,214,214,1,4,한국,,,장르없음,안승혁
321,블랙아웃,,67000,67000,67,67,1,3,한국,,,장르없음,안진우
322,재앙의 묵시록,,411000,411000,136,136,1,2,영국,,,장르없음,안토니 버츠
323,인목대비,1962,2026000,7294000,1013,3661,1,15,한국,,,장르없음,안현철
324,21세기 성자,,45000,45000,9,9,1,2,네덜란드,,,장르없음,알라드 데티거
325,때가 되었다,,81000,81000,17,17,1,3,프랑스,,,장르없음,알랭 기로디
326,르네,,197000,197000,42,42,1,2,프랑스,,[국내] 전체 관람가,장르없음,알랭 카발리에
327,필름맨,,379000,379000,79,79,1,2,프랑스,,[국내] 전체 관람가,장르없음,알랭 카발리에
328,천국,,765000,765000,160,160,1,2,프랑스,,,장르없음,알랭 카발리에
329,허수아비,,57250,57250,22,22,1,5,브라질,,[국내] 전체 관람가,장르없음,알레 아브레우
330,어머니와 아들,,1386000,1386000,215,215,1,5,독일,,,장르없음,알렉산더 소쿠로프
331,대지,,823000,823000,128,128,1,3,러시아,,,장르없음,알렉산드르 도브젠코
332,길 잃은 사람들,,287000,287000,44,44,1,1,러시아,,[국내] 15세 관람가,장르없음,알렉세이 암브로시에프
333,내 모든 것을 다주어도,1977-01-01,2352000,2352000,1176,1176,1,29,미국,,,장르없음,알렌 라이즈너
334,기사에게 경배를,,248000,248000,48,48,1,3,스페인,,,장르없음,알베르 세라
335,새들의 노래,,272000,272000,56,56,1,3,스페인,,,장르없음,알베르 세라
336,나는 비밀을 알고 있다,,80000,202000,40,88,1,6,미국,,,장르없음,알프레드 히치콕
337,지하실의 멜로디,,518000,1085000,130,216,1,4,프랑스,,,장르없음,앙리 베르누이
338,보통사람들,,318000,732000,159,366,1,8,프랑스,,,장르없음,앙리 베르누이
339,25시,1978-07-07,451000,16584000,215,8210,1,12,프랑스,,[국내] 12세 관람가,장르없음,앙리 베르누이
340,마농,,186000,232000,39,48,1,2,프랑스,,,장르없음,앙리 조르주 클루조
341,판도라,,1988000,4759711,685,1155,1,21,영국,,,장르없음,앨버트 르윈
342,외로운 미망인:시아버지와 도련님,2018-01-26,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,야노 티카라
343,하고싶은 형수님:형의 선물,2018-01-26,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,야노 티카라
344,치인의 사랑,,1128000,1128000,160,160,1,3,일본,,,장르없음,마스무라 야스조
345,뒤죽박죽,,282000,282000,55,55,1,3,영국,,,장르없음,마이크 리
346,베라 드레이크,,1510000,1740000,211,262,1,3,영국,,,장르없음,마이크 리
347,시라노,,3021000,3263000,1493,1614,1,20,미국,,,장르없음,마이클 고든
348,필로우 토크,,826000,10964000,413,5483,1,29,미국,,12세 관람가 ,장르없음,마이클 고든
349,24시간 파티하는 사람들,,1214000,1214000,149,149,1,4,영국,,,장르없음,마이클 윈터바텀
350,로잘린,,393000,393000,62,62,1,2,한국,,,장르없음,마티아스 피녜이로
351,도둑맞은남자,,147000,705000,26,113,1,3,아르헨티나,,,장르없음,마티아스 피녜이로
352,마지막 버스,,22200,22200,89,89,1,2,슬로바키아,,,장르없음,"마틴 스노펙,이바나 라우치코바"
353,입맞춤,,202000,202000,46,46,1,3,일본,,,장르없음,만다 쿠니토시
354,퍼펙트 커플,2007-05-10,228000,1325000,47,267,1,3,일본,,[국내] 15세 관람가,장르없음,스와 노부히로
355,"항구의 건배, 승리를 나의 손에",,162000,162000,38,38,1,4,일본,,,장르없음,스즈키 세이준
356,러브레터,,177000,177000,41,41,1,4,일본,,,장르없음,스즈키 세이준
357,악마의 거리,,296000,296000,68,68,1,4,일본,,,장르없음,스즈키 세이준
358,킬링,,3210000,3284000,1590,1603,1,24,미국,,[국내] 12세 관람가,장르없음,스탠리 큐브릭
359,성전,,57500,57500,17,17,1,2,미국,,,장르없음,스티븐 마샬
360,밤으로의 긴 여로,,116000,4049000,58,2068,1,4,미국,,,장르없음,시드니 루멧
361,애마부인 미야코,2011-01-27,30000,30000,10,10,1,1,일본,,,장르없음,시모모토 사토시
362,영원,,266000,266000,34,34,1,8,태국,,[국내] 15세 관람가,장르없음,시바로지 콩사쿤
363,폭주미망인-다빌려드립니다,2018-07-30,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,시즈미 다이케이
364,만종,1970,510000,510000,255,255,1,6,한국,,,장르없음,신상옥
365,삼일천하,1973-02-15,1576000,1576000,788,788,1,23,한국,,[국내] 전체 관람가,장르없음,신상옥
366,천년호,1969,860000,2078000,430,1039,1,21,한국,,,장르없음,신상옥
367,장한몽,1969,216000,4434000,108,2217,1,6,한국,,,장르없음,신상옥
368,효녀 심청,1972-11-17,790000,5075000,395,2535,1,8,한국,,[국내] 전체 관람가,장르없음,신상옥
369,다정불심,1967,1112000,6251000,556,3123,1,15,한국,,[국내] 청소년 관람불가,장르없음,신상옥
370,강화도령,1963,1961000,7811000,980,3905,1,25,한국,,,장르없음,신상옥
371,열녀문,1962,1760000,10696000,880,5097,1,23,한국,,,장르없음,신상옥
372,라라에게,,100500,100500,41,41,1,1,한국,,[국내] 15세 관람가,장르없음,신이수
373,섹스킹,,278750,278750,223,223,1,4,한국,,,장르없음,신주환
374,기념일,,22500,22500,9,9,1,1,한국,,,장르없음,심봉건
375,껍데기,,22500,22500,9,9,1,1,한국,,,장르없음,심봉건
376,남자와 기생,1969,30000,30000,3,3,1,1,한국,,[국내] 12세 관람가,장르없음,심우섭
377,남자식모,1968,981000,981000,480,480,1,20,한국,,,장르없음,심우섭
378,미로,,7000,7000,14,14,1,2,폴란드,,,장르없음,아그니에스제카 코왈체야키
379,창조물들,,266000,266000,54,54,1,3,프랑스,,[국내] 15세 관람가,장르없음,아녜스 바르다
380,행복,,6229000,6827000,953,1072,1,31,프랑스,,15세 관람가 ,장르없음,아녜스 바르다
381,돈으로 산 그녀의 정사,2018-10-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아라키 타로
382,성인식:남자로 만들어줄게,2018-03-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아마엔보 쇼군
383,커다란 두리안,,29000,29000,10,10,1,2,말레이시아,,,장르없음,아미르 무하마드
384,포스 오브 이블,,960000,960000,151,151,1,2,미국,,,장르없음,아브라함 폴론스키
385,금지된 사랑 : 나는 친구의 아내를…,2019-01-25,2000,2000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아사기리 키요시
386,유레카,,1885000,1885000,276,276,1,3,일본,,,장르없음,아오야마 신지
387,몸으로 접대한 아내,2018-09-06,2000,2000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아카바 키쿠지로
388,실화 섹스전화상담,2018-10-02,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아카바네 류지
389,젊은 직원 맛보기,2018-10-02,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,아카바네 키쿠지로
390,친애하는 당신,,1290000,1290000,185,185,1,3,태국,,,장르없음,아핏차퐁 위라세타쿤
391,세계의 욕망 : 디지털 삼인삼색 2005,,0,5237500,0,785,1,1,한국,,,장르없음,"아핏차퐁 위라세타쿤,츠카모토 신야,송일곤"
392,시라 - 초승달의 노래,,47500,47500,14,14,1,2,스위스,,,장르없음,"아흐메드 압델 모흐센,산드라 기지"
393,우결,,248750,248750,199,199,1,8,한국,,,장르없음,안기창
394,진실한 사랑,,646000,2915000,323,1440,1,8,미국,,,장르없음,안드레 드 토스
395,머나먼 서부,,1867000,3979000,916,1991,1,18,미국,,12세 관람가 ,장르없음,안소니 만
396,캠퍼스의 봄,,267500,267500,214,214,1,4,한국,,,장르없음,안승혁
397,블랙아웃,,67000,67000,67,67,1,3,한국,,,장르없음,안진우
398,재앙의 묵시록,,411000,411000,136,136,1,2,영국,,,장르없음,안토니 버츠
399,인목대비,1962,2026000,7294000,1013,3661,1,15,한국,,,장르없음,안현철
400,21세기 성자,,45000,45000,9,9,1,2,네덜란드,,,장르없음,알라드 데티거
401,때가 되었다,,81000,81000,17,17,1,3,프랑스,,,장르없음,알랭 기로디
402,르네,,197000,197000,42,42,1,2,프랑스,,[국내] 전체 관람가,장르없음,알랭 카발리에
403,필름맨,,379000,379000,79,79,1,2,프랑스,,[국내] 전체 관람가,장르없음,알랭 카발리에
404,천국,,765000,765000,160,160,1,2,프랑스,,,장르없음,알랭 카발리에
405,허수아비,,57250,57250,22,22,1,5,브라질,,[국내] 전체 관람가,장르없음,알레 아브레우
406,어머니와 아들,,1386000,1386000,215,215,1,5,독일,,,장르없음,알렉산더 소쿠로프
407,대지,,823000,823000,128,128,1,3,러시아,,,장르없음,알렉산드르 도브젠코
408,길 잃은 사람들,,287000,287000,44,44,1,1,러시아,,[국내] 15세 관람가,장르없음,알렉세이 암브로시에프
409,내 모든 것을 다주어도,1977-01-01,2352000,2352000,1176,1176,1,29,미국,,,장르없음,알렌 라이즈너
410,기사에게 경배를,,248000,248000,48,48,1,3,스페인,,,장르없음,알베르 세라
411,새들의 노래,,272000,272000,56,56,1,3,스페인,,,장르없음,알베르 세라
412,나는 비밀을 알고 있다,,80000,202000,40,88,1,6,미국,,,장르없음,알프레드 히치콕
413,지하실의 멜로디,,518000,1085000,130,216,1,4,프랑스,,,장르없음,앙리 베르누이
414,보통사람들,,318000,732000,159,366,1,8,프랑스,,,장르없음,앙리 베르누이
415,25시,1978-07-07,451000,16584000,215,8210,1,12,프랑스,,[국내] 12세 관람가,장르없음,앙리 베르누이
416,마농,,186000,232000,39,48,1,2,프랑스,,,장르없음,앙리 조르주 클루조
417,판도라,,1988000,4759711,685,1155,1,21,영국,,,장르없음,앨버트 르윈
418,외로운 미망인:시아버지와 도련님,2018-01-26,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,야노 티카라
419,하고싶은 형수님:형의 선물,2018-01-26,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,야노 티카라
420,녹색 머리의 소년,,129000,129000,25,25,1,3,미국,,,장르없음,조셉 로지
421,"힙합, 세상은 너의 것",,204500,204500,50,50,1,3,프랑스,,,장르없음,조슈아 애테시 라이틀
422,백장미,1995-01-14,114000,114000,57,57,1,1,홍콩,,[국내] 청소년 관람불가,장르없음,조양준
423,인투 포커스,,436000,436000,392,392,1,5,한국,,,장르없음,조영준
424,선생님의 애완동물,,28000,444000,14,222,1,1,미국,,,장르없음,조지 시튼
425,타임 머신,,772000,3846000,381,1917,1,24,미국,,,장르없음,조지 펄
426,신혼부부의 성생활,2018-07-12,470000,470000,69,69,20,20,한국,,[국내] 청소년 관람불가,장르없음,조태호
427,황색바람,,65000,65000,18,18,1,2,한국,,,장르없음,조현준
428,절정을 맛본 아내 이야기,2017-07-06,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,존 류지
429,후세인의 미친 노래,,194000,194000,39,39,1,2,미국,,,장르없음,존 지안비토
430,욕망의 상속자,,1200000,1200000,410,410,1,11,미국,,,장르없음,존 크롬웰
431,버드맨 오브 알카트라즈,,198000,1553000,99,548,1,5,미국,,,장르없음,존 프랑켄하이머
432,죽은자들,,446000,446000,92,92,1,3,영국,,,장르없음,존 휴스턴
