,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독
633,할리마,,48343,48343,29,29,1,2,독일,,,장르없음,보리스 샤르슈미트
634,위험한 관계,1994-11-05,279000,279000,100,100,1,3,이탈리아,,[국내] 청소년 관람불가,장르없음,브루노 가부로
635,그레이트 레이스,,40000,40000,20,20,1,1,미국,,[국내] 12세 관람가,장르없음,블레이크 에드워즈
636,밀애,1971-08-20,93000,93000,37,37,1,3,미국,,,장르없음,블레이크 에드워즈
637,버섯,,155000,155000,31,31,1,2,인도,,,장르없음,비묵티 자야순다라
638,올다,,42000,42000,10,10,1,2,슬로바키아,,,장르없음,비에라 차카뇨바
639,구두닦이,,144000,144000,48,48,1,5,이탈리아,,,장르없음,비토리오 데 시카
640,나폴리의 황금,,1617000,4625000,806,2026,1,18,이탈리아,,,장르없음,비토리오 데 시카
641,신부의 아버지,,54000,2823000,27,1138,1,6,미국,,,장르없음,빈센트 미넬리
642,디자이닝 우먼,,1874000,4405000,937,2200,1,41,미국,,,장르없음,빈센트 미넬리
643,비장의 술수,,122000,202000,61,101,1,6,미국,,,장르없음,빌리 와일더
644,시간의 흐름 속으로,,1246000,1650000,189,272,1,8,독일,,,장르없음,빔 벤더스
645,화살의 질주,,72000,72000,16,16,1,2,미국,,,장르없음,사무엘 풀러
646,철모,,96000,96000,19,19,1,2,미국,,,장르없음,사무엘 풀러
647,파크 로우,,106000,106000,21,21,1,3,미국,,,장르없음,사무엘 풀러
648,대나무집,,132000,132000,26,26,1,2,미국,,,장르없음,사무엘 풀러
649,충격의 복도,,186000,186000,38,38,1,3,미국,,,장르없음,사무엘 풀러
650,40정의 총,,194000,194000,39,39,1,3,미국,,,장르없음,사무엘 풀러
651,절름발이 악마,,505000,505000,97,97,1,8,프랑스,,[국내] 15세 관람가,장르없음,사샤 기트리
652,제주: 년의 춤,,40000,40000,10,10,1,1,한국,,,장르없음,사유진
653,망가진 아이,,31136,31136,56,56,1,3,프랑스,,,장르없음,사이몬 필리어트
654,츠바사의 알몸 연극,2018-10-19,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,사카키 히데오
655,보험왕의 육체계약,2018-10-12,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,사카타 히로키
656,실전 에로틱 작업기술,2018-10-02,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,사카타 히로키
657,유부녀 보험 영업,2018-08-09,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,사카타 히로키
658,한여름의 풍만녀들,2018-07-05,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,사카타 히로키
659,불륜정사,2011-02-18,30000,30000,10,10,1,1,일본,,[국내] 청소년 관람불가,장르없음,사토 히사야스
660,폭풍의 밤,,278000,278000,59,59,1,3,벨기에,,,장르없음,샹탈 애커만
661,집에서 온 소식,,344000,1734000,70,271,1,3,프랑스,,,장르없음,샹탈 애커만
662,"8월 26일, 세인트 헨리 거리",,27500,27500,8,8,1,2,캐나다,,,장르없음,섀넌 월쉬
663,전쟁과 평화 1부,,534000,534000,79,79,1,2,기타,,[국내] 전체 관람가,장르없음,세르게이 본다르추크
664,두 번째 바람,,51000,51000,51,51,1,2,러시아,,,장르없음,세르게이 치스
665,신의 말,,252000,252000,39,39,1,1,러시아,,[국내] 15세 관람가,장르없음,세르게이 포타포프
666,정력가 스님의 호색한 생활,2017-04-27,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,장르없음,세키네 카즈미
667,옥시즌,,75000,75000,15,15,1,2,몽고,,,장르없음,셍게도르지 잔치브도르지
668,숀벤 라이더,,580000,2517000,84,367,1,2,일본,,,장르없음,소마이 신지
669,파라다이스 호텔,,42500,42500,9,9,1,2,불가리아,,,장르없음,소피아 차벨라
670,너무 많이 본 사나이,,80000,80000,8,8,1,1,한국,,,장르없음,손재곤
671,파마하는 날,,3200,3200,4,4,1,1,한국,,,장르없음,송상현
672,오리엔테이션,,267500,267500,214,214,1,4,한국,,,장르없음,송윤희
673,태양의 길목,,85000,85000,17,17,1,2,중국,,,장르없음,송태가
674,쿠르쿠레 몬스터포즈,,13066,13066,54,54,1,3,인도,,,장르없음,수레시 에리야트
