,index,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
7345,24119,우리들의 학교,,93000,93000,31,31,1,3,미국,0,등급없음,다큐멘터리,"모나 니코아라,미루나 코카-코즈마",0
7346,21569,미아와 알렉산드라,,75000,75000,15,15,2,3,노르웨이,0,등급없음,다큐멘터리,모나 프리스 베테유센,0
7347,595,루시와 목소리의 대결,,122980,122980,175,175,1,2,멕시코,0,등급없음,장르없음,모니카 에레라,0
7348,1974,컨벤셔니어즈,,187000,187000,37,37,1,7,미국,0,등급없음,드라마,모라 스티븐스,"매튜 마베,우드윈 쿤스"
7349,1405,파워레인저매직포스&트레저포스,2007-07-17,675942000,675942000,111740,111740,46,2608,일본,대원미디어(주),전체관람가,액션,모로타 사토시,"하시모토 아츠시,마츠모토 히로야"
7350,2406,극장판파워레인저 엔진포스VS 와일드스피릿,2010-01-07,963357200,963357200,135498,135498,120,4467,일본,CJ ENM,전체관람가,SF,모로타 사토시,"후루하라 야스히사,카타오카 신와,아이자와 리나,우스이 마사히로,에비사와 켄지,토쿠야마 히데노리,스기모토 유미"
7351,24120,소리 없는 여행,,283500,283500,34,34,1,2,이란,0,등급없음,드라마,모르테자 파르샤바프,"클로마스 기티,샤라레 파샤,아미르 호세인 말레키"
7352,24121,전화로 꼬시는 여자들,2018-02-08,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 기타로,0
7353,24122,피핑 라이프 - 위 아 더 히어로,,340000,688000,50,108,1,1,일본,0,전체관람가,애니메이션,모리 료이치,0
7354,24123,거유 마사지사가 듬뿍,2018-03-15,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 시게루,0
7355,24124,눈앞에서 정사,2018-08-02,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 신이치,0
7356,24125,동창회 첫사랑과의 정사,2018-08-02,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 신이치,0
7357,24126,빨간 팬티 유부녀,2018-07-19,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 신이치,0
7358,24127,새아빠와의 불륜,2017-12-21,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 신이치,0
7359,24128,여친과 여친엄마,2018-10-19,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,모리 신이치,"시우,강한나,민주"
7360,24129,연예인 닮은 처제,2017-12-14,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 신이치,0
7361,24130,운전면허학원 여교사,2018-03-15,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 신이치,0
7362,24131,유부녀 신체면접관,2018-08-02,6000,6000,1,1,1,1,일본,0,청소년관람불가,에로,모리 신이치,0
7363,24132,리얼 av배우 면접,2017-05-04,8000,8000,1,1,1,1,일본,0,청소년관람불가,에로,모리 신이치,0
7364,24133,실은 소문난 간호사들,2017-05-18,8000,8000,1,1,1,1,일본,0,등급없음,장르없음,모리 신이치,0
7365,24134,풍속녀 리얼꼬시기,2017-11-09,24000,24000,4,4,1,1,일본,0,청소년관람불가,에로,모리 신이치,0
7366,24135,워커즈,2014-07-23,0,2982000,0,479,1,1,일본,(사)독립영화전용관 확대를 위한 시민모임,전체관람가,다큐멘터리,모리 야스유키,0
7367,1783,백팔~108,,643000,643000,136,136,1,2,일본,0,등급없음,드라마,모리 요시타카,"사이토 요시키,나카무라 아오이"
7368,1660,란도리,2006-12-14,1725000,9538500,295,1468,2,27,일본,(주)영화랑,12세이상관람가,드라마,모리 준이치,"쿠보즈카 요스케,코유키"
7369,24136,리틀 포레스트: 사계절,2018-03-22,280000,18524700,34,2396,1,3,일본,(주)영화사 진진,12세이상관람가,드라마,모리 준이치,"하시모토 아이,마츠오카 마유,미우라 타카히로"
