,index,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
0,23682,"416 프로젝트 ""공동의 기억: 트라우마""",,2192500,2192500,437,437,3,17,한국,0,등급없음,다큐멘터리,416연대 미디어위원회,0
1,22580,미씨카: 더 네크로맨서,2017-11-02,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,판타지,A. 토드 스미스,"애덤 존슨,로버트 제인,케빈 소르보"
2,3092,월드 워 핵전쟁의 서막,2019-03-07,26000,26000,17,17,5,17,뉴질랜드,(주)풍경소리,15세이상관람가,액션,A.K. 스트롬,"모건 브래들리,그레이엄 빈센트,캠벨 루셀"
3,3093,울프라이징,2016-11-17,300000,300000,60,60,1,1,미국,주식회사 루믹스미디어,15세이상관람가,공포,BC 퍼트니,빌 오버스트 주니어
4,3094,제3의앵글 : 형형색색대만전,,1830000,1830000,305,305,1,2,대만,0,등급없음,장르없음,BITO,0
5,21171,연쇄살인마의 이중생활,2020-06-18,16000,16000,7,7,5,7,스페인,주식회사 마운틴픽쳐스,15세이상관람가,범죄,C. 마틴 페레라,"안나 알렌,나초 프레스네다,메르세데스 카스트로"
6,20514,몬스터 아일랜드,2017-10-27,3000,3000,1,1,1,1,미국,주식회사 레드아이스,15세이상관람가,어드벤처,C. 블레이크 에번든,존 W. 바우어스
7,3095,잃어버린 세계를 찾아 2015,2015-12-03,4000,4000,1,1,1,1,미국,(주)케이알씨지,12세이상관람가,어드벤처,C. 토마스 하우웰,"C. 토마스 하우웰,티모시 바톰즈"
8,3096,과부: 탐스러운 육체,2016-11-19,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,C.나가후쿠,"타치바나 케이코,이치죠 리노"
9,3097,페이스트리의 왕,,642000,642000,107,107,1,2,미국,0,등급없음,장르없음,"D.A. 페네베이커,크리스 헤지더스",0
10,20795,지옥행 특급택시,2020-01-27,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,SF,D.C. 해밀턴,"지노 안소니 페시,브리나 켈리,제이슨 스튜어트"
11,22589,텔미 하우 아이 다이,2017-09-28,300000,300000,60,60,1,1,미국,(주)제이에이와이이엔터테인먼트,15세이상관람가,스릴러,D.J. 비올라,"버지니아 가드너,윌리엄 매포더,마크 롤스톤"
12,3098,스탠딩 업,2015-09-24,5000,5000,1,1,1,1,미국,(주)블루브릭,12세이상관람가,가족,D.J. 카루소,"챈들러 캔터베리,라다 미첼,발 킬머"
13,145,테이킹 라이브즈,2004-04-15,249467500,249467500,38736,38736,19,1551,미국,워너브러더스 코리아(주),청소년관람불가,스릴러,D.J. 카루소,"에단 호크,안젤리나 졸리,키퍼 서덜랜드"
14,3099,트리플 엑스 리턴즈,2017-02-08,-327632201,-327632201,475309,475309,590,20692,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,D.J. 카루소,"빈 디젤,사무엘 L. 잭슨,루비 로즈,니나 도브레브,토니 콜렛,디피카 파드콘,토니 자"
15,1246,디스터비아,2007-08-30,-2147483648,-2147483648,576120,576120,167,15779,미국,CJ ENM,12세이상관람가,스릴러,D.J. 카루소,"샤이아 라보프,사라 로머"
16,3100,아이 엠 넘버 포,2011-02-24,660248204,660248204,654386,654386,284,22145,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,D.J. 카루소,"티모시 올리펀트,알렉스 페티퍼"
17,1149,이글 아이,2008-10-09,-2147483648,-2147483648,2292172,2292172,407,59132,미국,CJ ENM,12세이상관람가,액션,D.J. 카루소,"샤이아 라보프,미셸 모나한,도니 제프콧"
18,3101,레커스,2014-04-03,16066000,16066000,2263,2263,15,298,영국,㈜인디스토리,청소년관람불가,멜로로맨스,D.R. 후드,"베네딕트 컴버배치,클레어 포이,숀 에반스"
19,3102,동쪽 저 멀리,,160000,160000,31,31,1,3,미국,0,등급없음,장르없음,D.W. 그리피스,0
20,20556,겟 어웨이,2016-12-23,5000,5000,1,1,1,1,미국,주식회사 레드아이스,청소년관람불가,스릴러,Dpyx,캐서린 아네트
21,3103,뱀파이어의 그림자,,101500,101500,15,15,1,2,룩셈부르크,0,청소년관람불가,공포,E. 엘리아스 메리지,"존 말코비치,윌렘 대포,캐리 엘위스"
22,777,서스펙트 제로,2005-03-17,28196000,28196000,4918,4918,12,463,미국,소니픽쳐스릴리징코리아,15세이상관람가,공포,E. 엘리아스 메리지,"아론 에크하트,벤 킹슬리"
23,3104,네고시에이터,1998-10-24,57000,57000,19,19,1,1,미국,0,15세이상관람가,액션,F. 게리 그레이,"사무엘 L. 잭슨,케빈 스페이시,데이빗 모스"
24,699,쿨,2005-04-08,136647000,136647000,21171,21171,48,1537,미국,이십세기폭스필름코퍼레이션,15세이상관람가,코미디,F. 게리 그레이,"존 트라볼타,우마 서먼"
25,3105,스트레이트 아웃 오브 컴턴,2015-09-10,412749800,412749800,48844,48844,185,2766,미국,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,드라마,F. 게리 그레이,"오셔 잭슨 주니어,코리 호킨스,제이슨 미첼,닐 브라운 주니어,알디스 호지,폴 지아마티"
26,2274,모범시민,2009-12-10,-2147483648,-2147483648,800006,800006,312,24611,미국,(주)시너지하우스 (시너지),15세이상관람가,스릴러,F. 게리 그레이,"제라드 버틀러,제이미 폭스"
27,3106,맨 인 블랙: 인터내셔널,2019-06-12,-1125725022,-1125725022,851917,851917,1151,40520,미국,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,액션,F. 게리 그레이,"크리스 헴스워스,테사 톰슨,리암 니슨,엠마 톰슨"
28,3107,분노의 질주: 더 익스트림,2017-04-12,63421000,-20193724,6445,3659683,35,972,미국,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,미셸 로드리게즈,엘자 패터키,에바 멘데스,헬렌 미렌,조다나 브루스터,루카스 블랙,타이레스 깁슨,루다크리스"
29,3108,노스페라투,,750000,750000,111,111,1,3,독일,0,등급없음,장르없음,F.W. 무르나우,0
30,3109,터부,,246000,584000,53,122,1,3,미국,0,등급없음,장르없음,F.W. 무르나우,0
31,3110,선라이즈,,133000,2837000,17,432,1,2,미국,0,등급없음,장르없음,F.W. 무르나우,0
32,3111,농부의 딸,1949-02-17,326000,326000,158,158,1,6,미국,0,등급없음,코미디,H.C. 포터,"로레타 영,조셉 거튼,에델 베리모어"
33,3112,상간녀,2016-08-26,270000,270000,54,54,1,1,미국,(주)엘케이픽쳐스,청소년관람불가,스릴러,H.M. 콕클리,"숀 패리스,다니엘 세브리"
34,3113,여닌자:음기로 가득찬 자매,2018-05-28,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,H.카와사키,0
35,3114,제 5침공,2016-02-25,1041049900,1041049900,135874,135874,312,5195,미국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,액션,J 블레이크슨,"클로이 모레츠,닉 로빈슨,알렉스 로"
36,23452,노예반란,,436000,436000,218,218,1,9,이탈리아,0,등급없음,어드벤처,J. 리 톰슨,0
37,23453,맥켄나의 황금,,184000,497000,92,218,1,3,,0,등급없음,장르없음,J. 리 톰슨,"그레고리 펙,텔리 사바라스,오마 샤리프"
38,3115,태양의 왕,,235000,802000,99,306,1,4,미국,0,등급없음,모험,J. 리 톰슨,"율 브린너,조지 샤키리스,셜리 앤 필드"
39,3116,케이프 피어,,72000,2326000,24,558,1,1,미국,0,청소년관람불가,드라마,J. 리 톰슨,"그레고리 펙,로버트 미첨,폴리 버겐"
40,3117,페세이지,1979-07-05,1924000,5596000,962,2757,1,16,미국,0,청소년관람불가,액션,J. 리 톰슨,"안소니 퀸,제임스 메이슨,말콤 맥도웰"
41,3118,나바론 요새,1974-07-20,4228000,23458104,2109,12032,1,49,미국,0,등급없음,액션,J. 리 톰슨,"그레고리 펙,안소니 퀸,데이빗 니븐"
42,3119,대장 부리바,1973-06-29,1290000,28200000,634,13554,1,19,미국,0,12세이상관람가,전쟁,J. 리 톰슨,"토니 커티스,율 브린너,샘 워너메이커"
43,20377,데스 에브리데이,2019-09-06,1000,1000,1,1,1,1,미국,(주)알이디아이스엔터,청소년관람불가,공포,J. 호튼,0
44,3120,"마진 콜: 24시간, 조작된 진실",2013-01-03,46371500,50779500,6409,7086,30,446,미국,(주)팝파트너스,15세이상관람가,스릴러,J.C 챈더,"케빈 스페이시,데미 무어,사이먼 베이커,재커리 퀸토,제레미 아이언스,스탠리 투치,폴 베타니,펜 바글리"
45,3121,모스트 바이어런트,2015-04-02,79886925,79886925,10175,10175,71,1062,미국,(주)영화사 진진,15세이상관람가,범죄,J.C 챈더,"오스카 아이삭,제시카 차스테인"
46,3122,올 이즈 로스트,2013-11-07,102751500,102751500,13885,13885,33,857,미국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,J.C 챈더,로버트 레드포드
47,3123,슈퍼 에이트,2011-06-16,-671828796,-671828796,472157,472157,411,21884,미국,(주)씨제이이엔엠,12세이상관람가,SF,J.J. 에이브럼스,"조엘 코트니,엘르 패닝"
48,3124,스타워즈: 라이즈 오브 스카이워커,2020-01-08,417934914,417934914,507889,507889,957,28696,미국,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,J.J. 에이브럼스,"데이지 리들리,아담 드라이버,오스카 아이삭,존 보예가"
49,3125,스타 트렉: 더 비기닝,2009-05-07,1660000,-1340376092,166,1085447,1,1,미국,CJ ENM,12세이상관람가,SF,J.J. 에이브럼스,"크리스 파인,재커리 퀸토,칼 어번"
50,3126,스타트렉 다크니스,2013-05-30,101787612,101787612,1607555,1607555,607,40563,미국,(주)씨제이이엔엠,12세이상관람가,액션,J.J. 에이브럼스,"크리스 파인,칼 어번,조 샐다나,안톤 옐친,재커리 퀸토,베네딕트 컴버배치"
51,3127,스타워즈: 깨어난 포스,2015-12-17,-1710974741,-1710974741,3273879,3273879,940,69226,미국,월트디즈니컴퍼니코리아(주),12세이상관람가,액션,J.J. 에이브럼스,"해리슨 포드,마크 해밀,캐리 피셔,사이먼 페그,오스카 아이삭,막스 본 시도우,도널 글리슨"
52,3128,미션 임파서블 3,2006-05-03,318000,2090430328,44,5127047,2,11,미국,UIP코리아,15세이상관람가,액션,J.J. 에이브럼스,"톰 크루즈,필립 세이모어 호프만"
53,3129,백악기 꼬마공룡을 찾아서,,350000,350000,70,70,1,7,캐나다,0,전체관람가,모험,J.J. 존슨,"미켈라 루치,사라 초드리"
54,3130,필스,2013-11-21,6434000,6434000,883,883,6,52,영국,(주)앤드플러스미디어웍스,청소년관람불가,범죄,J.S 베어드,"제임스 맥어보이,이모겐 푸츠,제이미 벨"
55,3131,헬벤더스: 최후의 성전,2014-05-01,3792000,3792000,1801,1801,4,18,미국,(주)소나무픽쳐스,청소년관람불가,공포,J.T. 페티,"클립튼 콜린스 주니어,클랜시 브라운"
56,3132,맛있는 유부녀,2019-03-06,6000,6000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,J.Y 타이요,사와무라 레이코
57,3133,섹스 주식회사,2012-09-27,190000,190000,42,42,4,19,미국,(주)소나무픽쳐스,청소년관람불가,코미디,K. 애셔 레빈,"카일 갈너,사라 힐랜드,제임스 벨루시"
58,3134,좀비 vs 헌터,2018-01-11,2000,2000,1,1,1,1,캐나다,0,청소년관람불가,액션,K. 킹,"마틴 코핑,대니 트레조,클레어 니더프루엠"
59,20532,터미네이터 사이보그,2018-02-02,3000,3000,1,1,1,1,미국,(유)조이앤시네마,15세이상관람가,액션,K. 킹,"이브 마우로,로키 마이어스,애덤 존슨"
60,20487,매일 밤 엿보기: 대놓고 보여주는 불륜 유부녀,2020-10-02,2000,2000,1,1,1,1,일본,(주)씨맥스커뮤니케이션즈,청소년관람불가,드라마,K.C 타케다,카와카미 나나미
61,20638,가질 수 없는 첫사랑 가정교사,2020-03-28,6000,6000,1,1,1,1,일본,(주)빅콘미디어,청소년관람불가,에로,K.C 타케다,0
62,3135,아내의 아르바이트,2017-08-30,6000,6000,1,1,1,1,일본,0,청소년관람불가,멜로로맨스,K.웨스트,0
63,22903,시체를 다루는 방법,,80200,80200,90,90,1,1,한국,0,등급없음,장르없음,L&Z,0
64,23890,웨이크필드 프로젝트,2020-06-08,17811000,17811000,3881,3881,12,51,미국,(주)영화사 안다미로,15세이상관람가,공포,L. A. 로페스,"린제이 세임,데니스 안드레스,안소니 불리"
65,3136,더 비지트,2015-10-15,403435581,403435581,52197,52197,279,4134,미국,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,스릴러,M. 나이트 샤말란,"디애너 듀나건,피터 맥로비,에드 옥슨볼드,올리비아 데종"
66,602,레이디 인 더 워터,2006-10-13,675177000,675177000,110267,110267,74,4435,미국,워너브러더스 코리아(주),전체관람가,판타지,M. 나이트 샤말란,"폴 지아마티,브라이스 달라스 하워드"
67,1286,해프닝,2008-06-12,-2147483648,-2147483648,347791,347791,245,15359,미국,이십세기폭스코리아(주),청소년관람불가,SF,M. 나이트 샤말란,"마크 웰버그,주이 데샤넬,존 레귀자모,마크 월버그"
68,55,빌리지,2004-09-24,2507016000,2507016000,378950,378950,81,9005,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,공포,M. 나이트 샤말란,"와킨 피닉스,브라이스 달라스 하워드"
69,3137,글래스,2019-01-17,-17514314,-17514314,466475,466475,837,24194,미국,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,드라마,M. 나이트 샤말란,"제임스 맥어보이,브루스 윌리스,사무엘 L. 잭슨,안야 테일러 조이,사라 폴슨"
70,3138,애프터 어스,2013-05-30,-463111129,-463111129,537920,537920,484,19867,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,SF,M. 나이트 샤말란,"윌 스미스,제이든 스미스"
71,2241,라스트 에어벤더,2010-08-19,-2147483648,-2147483648,1371164,1371164,399,32416,미국,CJ ENM,전체관람가,액션,M. 나이트 샤말란,"잭슨 라스본,데브 파텔,노아 링어,니콜라 펠츠"
72,3139,23 아이덴티티,2017-02-22,1728000,726474247,192,1676011,1,1,미국,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,스릴러,M. 나이트 샤말란,"제임스 맥어보이,안야 테일러 조이,헤일리 루 리차드슨,베티 버클리,브래드 윌리엄 헨크,킴 디렉터,스털링 K. 브라운"
73,3140,행복까지 30일,2016-06-09,500000,20249700,100,2838,1,1,인도,"예지림엔터테인먼트,미디어소프트",전체관람가,드라마,M. 마니칸단,아이시와리아 라제시
74,3141,6솔져스,2019-05-29,1000,1000,1,1,1,1,터키,(주) 케이알씨지,15세이상관람가,액션,M. 차가타이 토순,케렘 버신
75,3142,로그,2020-11-25,31203140,31203140,4012,4012,180,1479,미국,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",15세이상관람가,액션,M.J. 버세트,"메간 폭스,필립 윈체스터"
76,2417,솔로몬 케인,2010-03-25,940027000,940027000,124836,124836,194,10868,프랑스,(주)화앤담이엔티,청소년관람불가,액션,M.J. 버세트,"제임스 퓨어포이,레이첼 허드-우드,막스 본 시도우"
77,3143,카마수트라: 뱀의 여인,2016-06-01,213000,213000,37,37,5,37,태국,케이티하이텔(주),청소년관람불가,드라마,M.L. 반데바노프 데바쿤,"카르피찰 케트마니,사크릿 얌냠"
78,3144,잔다라 더 피날레,2014-05-01,11852000,11852000,1546,1546,20,25,태국,(주)퍼스트런,청소년관람불가,드라마,M.L. 반데바노프 데바쿤,"마리오 마우러,야야잉,봉코이 콩말라이"
79,3145,잔다라: 더 비기닝,2013-09-05,17946000,17946000,2502,2502,13,134,태국,(주)영화사 빅,청소년관람불가,멜로로맨스,M.L. 반데바노프 데바쿤,"마리오 마우러,야야잉,봉코이 콩말라이,니시노 쇼"
80,3146,욕구불만 유부녀의 장난감,2017-01-20,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,M.카사하라,이케타니 사나에
81,3147,김정일리아,2011-06-23,10618000,10618000,1513,1513,7,145,미국,(주)크래커픽쳐스,전체관람가,다큐멘터리,N.C. 하이킨,"강철환,김철웅,변옥선"
82,3148,사토미를 찾아라,2014-10-16,13164000,13164000,2595,2595,20,56,한국,브릿지웍스 엔터테인먼트(주),청소년관람불가,코미디,NEW PISTOL,"사토미 유리아,윤설희,안진우,조정윤,김광현,곽한구"
83,23821,타임 이즈 일매틱,,17046052,17046052,1422,1422,1,12,미국,0,등급없음,다큐멘터리,One9,0
84,3149,"때리지 말아요, 제발!",,18000,18000,4,4,1,2,인도,0,등급없음,다큐멘터리,"P. 케림 프리드만,샤시와티 딸룩다르",0
85,1110,스나이퍼 3,2005-02-24,11000,11000,2,2,1,2,미국,소니픽쳐스릴리징코리아,15세이상관람가,액션,P.J. 페스,"톰 베린저,바이런 만"
86,3150,줄리아 엑스,2013-07-16,827000,827000,296,296,3,4,미국,(주)고맙습니다 사랑합니다,청소년관람불가,공포,P.J. 페티에트,"발레리 아즐린,케빈 소르보"
87,3151,뮤리엘의 웨딩,1995-05-20,65000,65000,21,21,1,2,호주,0,등급없음,장르없음,P.J. 호건,0
88,90,피터 팬,2004-01-16,850564000,850564000,141716,141716,15,1668,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,어드벤처,P.J. 호건,"레이첼 허드-우드,제이슨 아이삭스,제레미 섬터"
89,2347,쇼퍼홀릭,2009-03-26,2073278500,2073278500,306459,306459,180,15062,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,코미디,P.J. 호건,"아일라 피셔,휴 댄시,조앤 쿠삭"
90,3152,아버지,,752000,752000,188,188,1,2,인도,0,등급없음,장르없음,R. 발키,0
91,3153,상자,,2066,2066,13,13,1,2,미국,0,등급없음,장르없음,R. 브래드 야하우스,0
92,3154,럼블,2017-08-22,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R. 엘리스 프레이저,게리 다니엘스
93,3155,멕시칸잡,2017-05-18,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R. 엘리스 프레이저,돌프 룬드그렌
94,3156,미스파이어,2017-07-27,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R. 엘리스 프레이저,게리 다니엘스
95,3157,크로스 라인,2013-04-05,1350000,1350000,90,90,1,9,미국,스크린조이,15세이상관람가,액션,R. 엘리스 프레이저,"에이단 퀸,앤디 가르시아,마리오 반 피블스"
96,3158,라스트 에너미,2014-03-06,23820000,23820000,4032,4032,20,85,미국,(주)미디어데이,15세이상관람가,액션,R. 엘리스 프레이저,"루크 고스,콜 하우저"
97,3159,넥스트 투모로우 2,2014-11-27,1626000,1626000,381,381,4,12,미국,스크린조이,12세이상관람가,액션,R.D. 브라운슈타인,제프 파헤이
98,3160,콜 미 킹,2016-08-18,5000,5000,1,1,1,1,미국,(주)시네마리퍼블릭,청소년관람불가,액션,R.L. 스콧,"아민 조셉,크리스 멀키,링 바이,빌 콥스,가브리엘 데니스"
99,3161,로봇,2012-04-19,26607000,26607000,3617,3617,37,459,인도,프리비젼엔터테인먼트,15세이상관람가,SF,S. 샹카르,"라지니 칸트,아이쉬와라 라이,대니 덴종파"
100,3162,대탈주: 디비전 19,2019-07-25,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,액션,S.A. 헤일우드,"앨리슨 두디,로테 베르빅,라이너스 로체"
101,3163,한밤의 살인자,2016-08-24,100000,100000,10,10,1,1,미국,(주)다날엔터테인먼트,15세이상관람가,공포,S.J. 에반스,"토니 토드,조셉 밀슨"
102,3164,바후발리 : 더 비기닝,2016-11-10,25209500,25209500,3068,3068,31,281,인도,팔레드시네마(주),15세이상관람가,액션,S.S. 라자몰리,"프라바스,타만나 바티아,아누쉬카 쉐티,라나 닥구바티,사티 아라즈,람야 크리쉬나"
103,3165,아사미 유마의 복상사,2016-09-21,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,아사미 유마
104,3166,남편 앞에서 당하는 아내,2017-03-17,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,코모리 아이
105,3167,흠뻑 젖은 유부녀,2017-06-14,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,코모리 아이
106,3168,어린 형수:강제로 섹스한 날,2017-10-31,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,아사히나 아카리
107,3169,업소에 팔려버린 아이돌,2017-12-25,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,0
108,3170,전망 좋은 부동산,2017-08-17,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,아사히나 아카리
109,3171,전망 좋은 부동산 무삭제판,2017-10-14,6000,6000,1,1,1,1,일본,0,등급없음,장르없음,S.세타니,0
110,3172,정사: 형수와 도련님,2018-01-10,6000,6000,1,1,1,1,일본,(주) 영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,0
111,3173,착한 누나:다섯 남자와 섹스를,2017-08-17,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,코모리 아이
112,3174,뭐든지 해드릴게요,2016-04-17,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,"히라이 나나코,미나미 요시야"
113,3175,유부녀의 사생활,2016-04-17,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,S.세타니,"코모리 아이,쿠로다 마사토시 마사히로"
114,20966,아랍국가들의 풀라인형,,850,850,4,4,1,1,이집트,0,등급없음,애니메이션,Shamel Hayder,0
115,20521,신의 기적,2017-04-18,3000,3000,1,1,1,1,미국,(유)조이앤시네마,15세이상관람가,드라마,T.C. 크리스텐슨,"나단 스티븐스,제이센 웨이드,사라 켄트"
116,3176,프리저베이션홀 재즈밴드,2020-04-02,6460260,6460260,855,855,30,303,미국,에스와이코마드,전체관람가,다큐멘터리,"T.G. 헤링턴,대니 클린치","벤 재프,월터 해리스,찰리 가브리엘"
117,21507,썩은 우유,,3237,3237,14,14,1,2,미국,0,청소년관람불가,애니메이션,T.J. 풀러,0
118,3177,동창회:그녀와 하던 날,2018-07-31,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로로맨스,Z.아라이,오츠키 히비키
119,22926,Must Art,,68523,68523,91,91,1,1,한국,0,등급없음,장르없음,thehour25,0
120,3178,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,2014-01-23,405278000,405278000,59611,59611,183,1952,일본,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,액션,가네다 오사무,"이노우에 마사히로,오자와 료타"
121,3179,나이팅게일: 폴링 인 러브,,93000,93000,10,10,1,1,아일랜드,0,등급없음,장르없음,가렛 달리,0
122,3180,몬스터즈,2014-05-29,6480000,6480000,1080,1080,20,36,영국,씨네그루(주)다우기술,15세이상관람가,SF,가렛 에드워즈,"휘트니 에이블,스쿳 맥네이리"
123,3181,고질라,2014-05-15,1677880667,1677880667,709734,709734,610,25335,미국,워너브러더스 코리아(주),12세이상관람가,액션,가렛 에드워즈,"애런 존슨,브라이언 크랜스톤,엘리자베스 올슨,줄리엣 비노쉬,와타나베 켄"
124,3182,로그 원: 스타워즈 스토리,2016-12-28,-374508796,458061002,422822,1019309,810,17226,미국,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,가렛 에드워즈,"펠리시티 존스,디에고 루나,매즈 미켈슨,리즈 아메드,포레스트 휘테커,견자단,알란 터딕,강문"
125,3183,메란타우,2011-09-29,325000,325000,103,103,1,9,인도네시아,(주)소나무픽쳐스,15세이상관람가,액션,가렛 에반스,이코 우웨이스
126,3184,레이드 2,2014-07-09,10000,62925400,2,8029,1,2,인도네시아,(주)올스타엔터테인먼트,청소년관람불가,액션,가렛 에반스,"이코 우웨이스,야얀 루히안,줄리 에스텔,도니 알람시아"
127,3185,레이드 : 첫번째 습격,2012-05-17,5000,163533500,1,21761,1,1,인도네시아,(주)씨제이이엔엠,청소년관람불가,액션,가렛 에반스,"이코 우웨이스,도니 알람시아,야얀 루히안"
128,3186,V/H/S/2: 악마를 부르는 비디오,2013-08-14,475000,475000,97,97,1,2,미국,(주)노이에스,청소년관람불가,공포,"가렛 에반스,아담 윈가드,에두아르도 산체스,그렉 헤일","아담 윈가드,로렌스 마이클 레빈"
129,2929,오페라 자바,,200000,200000,36,36,1,2,인도네시아,0,등급없음,뮤지컬,가린 누그로호,"아티카 사리 데비,에코 수프리얀토"
130,3187,잿더미에서 본 희망,,63750,63750,27,27,1,2,일본,0,등급없음,다큐멘터리,가마나카 히토미,0
131,2333,문프린세스 : 문에이커의 비밀,2009-02-19,-2147483648,-2147483648,360195,360195,263,16739,영국,(주)성원아이컴,전체관람가,어드벤처,가버 추보,"다코타 블루 리차드,이안 그루퍼드,나타샤 맥켈혼,팀 커리"
132,1263,비밀의 숲 테라비시아,2007-02-15,-2147483648,-2147483648,479124,479124,128,12008,미국,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,어드벤처,가버 추보,"조쉬 허처슨,안나소피아 롭"
133,3188,오토마타,2014-10-23,12157200,12157200,1738,1738,21,257,스페인,(주)지어소프트,15세이상관람가,SF,가베 이바네즈,"안토니오 반데라스,딜란 맥더모트"
134,3189,매혹의 스캔들,,560000,560000,112,112,1,1,헝가리,(주)액티버스엔터테인먼트,15세이상관람가,멜로로맨스,가보르 헤렌디,에르빈 나기
135,1553,대통령의 죽음,2006-12-28,13568000,42248500,2277,7156,29,274,영국,(주)프라임엔터테인먼트,12세이상관람가,드라마,가브리엘 레인지,"브라이언 볼랜드,헨드 아요브,마이클 레일리 버크"
136,3190,빌리와 용감한 녀석들: 치킨 히어로,2016-02-17,251011600,251011600,35937,35937,241,2301,미국,"(주)박수엔터테인먼트,㈜코리아스크린",전체관람가,애니메이션,"가브리엘 리바 팔라시오 알라트리스테,로돌포 리바 팔라시오 알라트리스테","브루노 비치어,안젤리카 베일,오마 카파로,이재범,김혜성,이경태"
137,21218,세상의 모든 괴물,,2225,2225,8,8,1,2,프랑스,0,15세이상관람가,애니메이션,가브리엘 리소트,0
138,3191,600 마일,2016-12-08,413000,413000,95,95,5,62,멕시코,0,15세이상관람가,드라마,가브리엘 립스테인,"팀 로스,해리슨 토마스,모니카 델 카멘"
139,3192,모래,,57500,57500,23,23,1,2,영국,0,등급없음,다큐멘터리,"가브리엘 만리케,조디 몬테베치",0
140,3193,키스 미 어게인,2015-06-11,2290000,2290000,301,301,2,55,이탈리아,㈜영화사 백두대간,청소년관람불가,드라마,가브리엘 무치노,"스테파노 아코르시,비토리아 푸치니,발레리아 브루니 테데쉬,피에르프란체스코 파비노"
141,1005,나에게 유일한,2004-08-06,1223500,19284000,277,3002,1,3,이탈리아,(주)동숭아트센터,15세이상관람가,코미디,가브리엘 무치노,"실비오 무치노,줄리아 스테게왈트"
142,3194,라스트 키스,2006-07-06,618000,69741000,85,10143,2,23,이탈리아,㈜영화사 백두대간,15세이상관람가,멜로로맨스,가브리엘 무치노,"스테파노 아코르시,지오바나 메조기오르노"
143,3195,당신에게도 사랑이 다시 찾아올까요?,2013-10-17,70430500,70430500,10328,10328,104,1351,미국,(주)영화사 빅,15세이상관람가,멜로로맨스,가브리엘 무치노,"제라드 버틀러,제시카 비엘,우마 서먼,캐서린 제타-존스"
