영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
착한 누나:다섯 남자와 섹스를,2017-08-17,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,코모리 아이
뭐든지 해드릴게요,2016-04-17,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,"히라이 나나코,미나미 요시야"
유부녀의 사생활,2016-04-17,100000,100000,10,10,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,"코모리 아이,쿠로다 마사토시 마사히로"
프리저베이션홀 재즈밴드,2020-04-02,6460260,6460260,855,855,30,303,미국,(주)에스와이코마드,전체관람가,다큐멘터리,"T.G. 헤링턴,대니 클린치",
동창회:그녀와 하던 날,2018-07-31,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,Z.아라이,오츠키 히비키
극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,2014-01-23,405278000,405278000,59611,59611,183,1952,일본,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,액션,가네다 오사무,"이노우에 마사히로,오자와 료타"
나이팅게일: 폴링 인 러브,,93000,93000,10,10,1,1,아일랜드,주식회사 디에스이이디,,드라마,가렛 달리,
몬스터즈,2014-05-29,6480000,6480000,1080,1080,20,36,영국,씨네그루(주)다우기술,15세이상관람가,SF,가렛 에드워즈,"휘트니 에이블,스쿳 맥네이리"
고질라,2014-05-15,1677880667,1677880667,709734,709734,610,25335,미국,워너브러더스 코리아(주),12세이상관람가,액션,가렛 에드워즈,"애런 존슨,브라이언 크랜스톤,엘리자베스 올슨,줄리엣 비노쉬,와타나베 켄"
로그 원: 스타워즈 스토리,2016-12-28,-374508796,458061002,422822,1019309,810,17226,미국,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,가렛 에드워즈,"펠리시티 존스,디에고 루나,매즈 미켈슨,리즈 아메드,포레스트 휘테커,견자단,알란 터딕,강문"
메란타우,2011-09-29,325000,325000,103,103,1,9,인도네시아,(주)소나무픽쳐스,15세이상관람가,액션,가렛 에반스,이코 우웨이스
레이드 2,2014-07-09,10000,62925400,2,8029,1,2,인도네시아,(주)올스타엔터테인먼트,청소년관람불가,액션,가렛 에반스,"이코 우웨이스,야얀 루히안,줄리 에스텔,도니 알람시아"
레이드 : 첫번째 습격,2012-05-17,5000,163533500,1,21761,1,1,인도네시아,(주)씨제이이엔엠,청소년관람불가,액션,가렛 에반스,"이코 우웨이스,도니 알람시아,야얀 루히안"
V/H/S/2: 악마를 부르는 비디오,2013-08-14,475000,475000,97,97,1,2,미국,(주)노이에스,청소년관람불가,공포(호러),"가렛 에반스,아담 윈가드,에두아르도 산체스,그렉 헤일","아담 윈가드,로렌스 마이클 레빈"
잿더미에서 본 희망,,63750,63750,27,27,1,2,일본,,,다큐멘터리,가마나카 히토미,
오토마타,2014-10-23,12157200,12157200,1738,1738,21,257,스페인,(주)지어소프트,15세이상관람가,SF,가베 이바네즈,"안토니오 반데라스,딜란 맥더모트"
매혹의 스캔들,,560000,560000,112,112,1,1,헝가리,(주)액티버스엔터테인먼트,15세이상관람가,멜로/로맨스,가보르 헤렌디,에르빈 나기
빌리와 용감한 녀석들: 치킨 히어로,2016-02-17,251011600,251011600,35937,35937,241,2301,미국,"(주)박수엔터테인먼트,㈜코리아스크린",전체관람가,애니메이션,"가브리엘 리바 팔라시오 알라트리스테,로돌포 리바 팔라시오 알라트리스테","브루노 비치어,안젤리카 베일,오마 카파로,이재범,김혜성,이경태"
600 마일,2016-12-08,413000,413000,95,95,5,62,멕시코,(주)무브먼트 픽쳐스,15세이상관람가,드라마,가브리엘 립스테인,
모래,,57500,57500,23,23,1,2,영국,,,다큐멘터리,"가브리엘 만리케,조디 몬테베치",
키스 미 어게인,2015-06-11,2290000,2290000,301,301,2,55,이탈리아,㈜영화사 백두대간,청소년관람불가,드라마,가브리엘 무치노,"스테파노 아코르시,비토리아 푸치니,발레리아 브루니 테데쉬,피에르프란체스코 파비노"
라스트 키스,2006-07-06,618000,69741000,85,10143,2,23,이탈리아,㈜영화사 백두대간,15세관람가,멜로/로맨스,가브리엘 무치노,"스테파노 아코르시,지오바나 메조기오르노"
당신에게도 사랑이 다시 찾아올까요?,2013-10-17,70430500,70430500,10328,10328,104,1351,미국,(주)영화사 빅,15세이상관람가,멜로/로맨스,가브리엘 무치노,"제라드 버틀러,제시카 비엘,우마 서먼,캐서린 제타-존스"
파더 앤 도터,2015-12-10,466831100,466831100,61196,61196,352,5524,미국,(주)박수엔터테인먼트,15세이상관람가,드라마,가브리엘 무치노,"아만다 사이프리드,러셀 크로우,아론 폴"
행복을 찾아서,2007-02-28,1270000,-594996296,190,599514,1,2,미국,"(주)팝엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜",전체관람가,드라마,가브리엘 무치노,"윌 스미스,탠디 뉴튼"
혹한,,181000,181000,29,29,1,2,스페인,,,드라마,가브리엘 벨라스퀘즈,
뮤턴트 워,2018-07-05,50000,50000,10,10,1,1,이탈리아,(주)히스토리필름,15세이상관람가,SF,가브리엘 살바토레,
볼라레,,197000,197000,29,29,1,1,이탈리아,,,드라마,가브리엘 살바토레,
시베리안 에듀케이션,2014-06-04,695000,695000,92,92,5,48,이탈리아,찬란,15세이상관람가,드라마,가브리엘 살바토레,"존 말코비치,아르나스 페다라비치우스,빌리우스 투마라비치우스,엘리너 톰린슨"
지중해,1993-07-31,644000,644000,125,125,1,2,이탈리아,,고등학생이상관람가,드라마,가브리엘 살바토레,"클라우디오 비가글리,디에고 아바탄투오노"
블랙 라이더,2016-11-14,4000,4000,1,1,1,1,미국,(주)퍼스트런,청소년관람불가,액션,가브리엘 세블로프,"제임스 덴튼,케빈 소르보,로버트 고셋,마이클 베일리 스미스"
바베트의 만찬,1996-06-01,660000,1243000,110,177,1,2,덴마크,,연소자관람가,드라마,가브리엘 악셀,"기타 노비,비비 안데르손"
루드비히의 악마,,51130,51130,87,87,1,3,프랑스,,,애니메이션,가브리엘 자끄엘,
시저와 클레오파트라,,2090000,11169000,1045,5230,1,12,영국,,,드라마,가브리엘 파스칼,
블랙피쉬,,700000,1502500,175,553,1,1,미국,,,다큐멘터리,가브리엘라 코우퍼스웨이트,
더 뮬: 죽음의 질주,2014-03-13,4910000,4910000,940,940,5,48,미국,(주)에이블엔터테인먼트,15세이상관람가,스릴러,가브리엘라 타글리아비니,"샤론 스톤,빌리 제인"
막달라 마리아: 부활의 증인,2018-03-28,214792200,214792200,30833,30833,111,2456,영국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,가스 데이비스,"루니 마라,호아킨 피닉스,치웨텔 에지오포,아리안 라베드"
라이언,2017-02-01,779680700,779680700,104439,104439,205,6325,호주,(주)이수C&E,12세이상관람가,드라마,가스 데이비스,"데브 파텔,루니 마라,니콜 키드먼,데이빗 웬햄,타니시타 차터제,이몬 파렌,디프티 나발"
씽,2016-12-21,767350504,381273701,667598,1730773,721,17191,미국,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,가스 제닝스,"매튜 매커너히,리즈 위더스푼,스칼렛 요한슨,태런 에저튼,세스 맥팔레인"
돌이킬 수 없는,2003-04-04,405000,763000,45,85,1,1,프랑스,프라임픽쳐스,18세관람가,스릴러,가스파 노에,"뱅상 카셀,모니카 벨루치"
러브,2017-11-02,678000,26226000,68,3183,1,1,프랑스,판씨네마(주),청소년관람불가,멜로/로맨스,가스파 노에,
게임의 규칙,2017-06-01,754000,754000,153,153,1,16,중국,(주)컴퍼니엘,15세이상관람가,액션,가오 시시,"하윤동,타오,추자현"
겨울날,,87000,87000,18,18,1,2,일본,,전체관람가,애니메이션,가와모토 기하치로,
색광: 섹스에 미친 사람들,2016-08-18,8000,8000,1,1,1,1,일본,(주)플라이어,청소년관람불가,성인물(에로),가와사키 군지,미요코
관능시대,2015-05-07,5000,5000,1,1,1,1,일본,조이앤키노,청소년관람불가,멜로/로맨스,가와사키 히로유키,"사쿠라이 유코,히메 카와"
도깨비 섹스,2015-04-30,5000,5000,1,1,1,1,일본,퍼즐컷,청소년관람불가,멜로/로맨스,가와사키 히로유키,히라이 칠채자
사악한 정사,2015-06-11,5000,5000,1,1,1,1,일본,조이앤키노,청소년관람불가,성인물(에로),가와사키 히로유키,모모이 사나에
섹시엔젤 카에데,,30000,30000,10,10,1,1,일본,(유)조이앤컨텐츠그룹,청소년관람불가,드라마,가와사키 히로유키,"나다사카 마이,이마노 유메"
에로닌자 카즈미 2,,30000,30000,10,10,1,1,일본,,청소년관람불가,멜로/로맨스,가와사키 히로유키,
에로닌자 카즈미3,,30000,30000,10,10,1,1,일본,,청소년관람불가,멜로/로맨스,가와사키 히로유키,
에로닌자 카즈미4,,30000,30000,10,10,1,1,일본,,청소년관람불가,멜로/로맨스,가와사키 히로유키,요시자와 아키호
귀신전,,268000,268000,39,39,1,1,일본,,,애니메이션,가와사키 히로츠구,
아마미,,91000,91000,23,23,1,2,일본,,,다큐멘터리,가와세 나오미,
수자쿠,,864000,2627500,127,401,1,2,일본,,,드라마,가와세 나오미,"카미무라 야스요,시바타 코타로"
빛나는,2017-11-23,41228200,41228200,5523,5523,53,616,일본,그린나래미디어(주),12세이상관람가,멜로/로맨스,가와세 나오미,"나가세 마사토시,미사키 아야메"
"소년, 소녀 그리고 바다",2014-10-09,380000,53551500,76,7157,1,1,일본,(주)티캐스트콘텐츠허브,청소년관람불가,멜로/로맨스,가와세 나오미,"무라카미 니지로,요시나가 준"
너를 보내는 숲,2008-04-24,466000,55220100,52,8053,1,1,일본,(주)영화사 진진,전체관람가,드라마,가와세 나오미,사이토 요이치로
앙: 단팥 인생 이야기,2015-09-10,2488500,224307362,309,28199,2,15,일본,그린나래미디어(주),12세이상관람가,드라마,가와세 나오미,"키키 키린,나가세 마사토시"
굿모닝 맨하탄,2014-02-06,2399800,227400800,321,31655,1,12,인도,(주)인벤트스톤,전체관람가,코미디,가우리 신드,"스리데비,아딜 후세인"
"행성, 지구",,198000,198000,43,43,1,2,영국,,,다큐멘터리,가이 리드,
젠틀맨,2020-02-26,665658710,665658710,81482,81482,586,14748,미국,"(주)영화사 빅,(주)다날엔터테인먼트",청소년관람불가,범죄,가이 리치,"매튜 매커너히,휴 그랜트,콜린 파렐,찰리 허냄,헨리 골딩,미쉘 독커리,에디 마산"
맨 프롬 UNCLE,2015-10-28,846390353,846390353,108551,108551,361,7169,미국,워너브러더스 코리아(주),12세이상관람가,액션,가이 리치,"헨리 카빌,아미 해머,알리시아 비칸데르,엘리자베스 데비키,휴 그랜트"
킹 아서: 제왕의 검,2017-05-17,-921288641,-921288641,415714,415714,588,20315,영국,워너브러더스 코리아(주),12세이상관람가,판타지,가이 리치,"찰리 허냄,주드 로,에릭 바나,에이단 길렌,디몬 하운수,아스트리드 베흐제-프리스베,애나벨 월리스,케이티 맥그라스"
셜록 홈즈,2009-12-23,6386500,-1143059684,925,2184425,1,70,미국,워너브러더스 코리아(주),12세이상관람가,미스터리,가이 리치,"로버트 다우니 주니어,주드 로"
셜록홈즈 : 그림자 게임,2011-12-21,-508955684,-508955684,2239156,2239156,370,45652,미국,워너브러더스 코리아(주),15세이상관람가,액션,가이 리치,"로버트 다우니 주니어,주드 로"
알라딘,2019-05-23,786366639,786366639,12723777,12723777,1409,282221,미국,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,어드벤처,가이 리치,"메나 마수드,윌 스미스,나오미 스콧"
나의 위니펙,,246000,305000,52,61,1,4,캐나다,,,다큐멘터리,가이 매딘,
드라큘라의 춤,,386000,386000,61,61,1,3,캐나다,,,공포(호러),가이 매딘,"웨이 퀴앙 장,타라 버트휘슬"
김리병원 이야기,,324000,324000,69,69,1,3,캐나다,,,공포(호러),가이 매딘,
겁쟁이는 무릎을 꿇는다,,831000,831000,131,131,1,3,캐나다,,,드라마,가이 매딘,
공군 대전략,,63000,63000,21,21,1,1,영국,,,전쟁,가이 해밀튼,"해리 앤드류스,마이클 케인"
나바론 2,,162000,598000,81,242,1,4,미국,,국민학생관람불가,액션,가이 해밀튼,"로버트 쇼,해리슨 포드,프랑코 네로,리차드 키엘,에드워드 폭스,알란 바델"
전선의 우정,,762000,762000,381,381,1,24,미국,,,전쟁,가이 해밀튼,"데이비드 니븐,마이클 윌딩"
007 골드핑거,,168000,1687000,56,729,1,2,영국,,,액션,가이 해밀튼,"숀 코네리,오너 블랙먼,거트 프로브"
콜디츠 스토리,,1894000,1894000,947,947,1,15,영국,,,드라마,가이 해밀튼,존 밀스
악마의 제자들,,1878000,1878000,626,626,1,12,미국,,,코미디,"가이 해밀튼,알렉산더 맥켄드릭","버트 랭커스터,커크 더글라스"
