영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
월드 워 핵전쟁의 서막,2019-03-07,26000,26000,17,17,5,17,뉴질랜드,주식회사 풍경소리,15세이상관람가,액션,A.K. 스트롬,
울프라이징,2016-11-17,300000,300000,60,60,1,1,미국,주식회사 루믹스미디어,15세이상관람가,공포(호러),BC 퍼트니,빌 오버스트 주니어
제3의앵글 : 형형색색대만전,,1830000,1830000,305,305,1,2,대만,,,애니메이션,BITO,
잃어버린 세계를 찾아 2015,2015-12-03,4000,4000,1,1,1,1,미국,(주)케이알씨지,12세이상관람가,어드벤처,C. 토마스 하우웰,"C. 토마스 하우웰,티모시 바톰즈"
과부: 탐스러운 육체,2016-11-19,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,C.나가후쿠,"타치바나 케이코,이치죠 리노"
페이스트리의 왕,,642000,642000,107,107,1,2,미국,,,다큐멘터리,"D.A. 페네베이커,크리스 헤지더스",
스탠딩 업,2015-09-24,5000,5000,1,1,1,1,미국,(주)블루브릭,12세이상관람가,가족,D.J. 카루소,"챈들러 캔터베리,라다 미첼,발 킬머"
트리플 엑스 리턴즈,2017-02-08,-327632201,-327632201,475309,475309,590,20692,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션,D.J. 카루소,"빈 디젤,사무엘 L. 잭슨,루비 로즈,니나 도브레브,토니 콜렛,디피카 파드콘,토니 자"
아이 엠 넘버 포,2011-02-24,660248204,660248204,654386,654386,284,22145,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,D.J. 카루소,"티모시 올리펀트,알렉스 페티퍼"
레커스,2014-04-03,16066000,16066000,2263,2263,15,298,영국,㈜인디스토리,청소년관람불가,멜로/로맨스,D.R. 후드,"베네딕트 컴버배치,클레어 포이,숀 에반스"
동쪽 저 멀리,,160000,160000,31,31,1,3,미국,,,드라마,D.W. 그리피스,"릴리안 기쉬,리차드 바델메스"
뱀파이어의 그림자,,101500,101500,15,15,1,2,룩셈부르크,,,공포(호러),E. 엘리아스 메리지,"윌렘 데포,존 말코비치"
네고시에이터,1998-10-24,57000,57000,19,19,1,1,미국,,15세 미만인 자는 관람할 수 없는 등급,드라마,F. 게리 그레이,"케빈 스페이시,사무엘 L. 잭슨"
스트레이트 아웃 오브 컴턴,2015-09-10,412749800,412749800,48844,48844,185,2766,미국,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,드라마,F. 게리 그레이,"오셔 잭슨 주니어,코리 호킨스,제이슨 미첼,닐 브라운 주니어,알디스 호지,폴 지아마티"
맨 인 블랙: 인터내셔널,2019-06-12,-1125725022,-1125725022,851917,851917,1151,40520,미국,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,액션,F. 게리 그레이,"크리스 헴스워스,테사 톰슨,리암 니슨,엠마 톰슨"
분노의 질주: 더 익스트림,2017-04-12,63421000,-20193724,6445,3659683,35,972,미국,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,F. 게리 그레이,"빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,스콧 이스트우드,커트 러셀,미셸 로드리게즈,엘자 패터키,에바 멘데스,헬렌 미렌,조다나 브루스터,루카스 블랙,타이레스 깁슨,루다크리스"
노스페라투,,750000,750000,111,111,1,3,독일,,,공포(호러),F.W. 무르나우,"막스 슈렉,구스타프 폰 반겐하임"
터부,,246000,584000,53,122,1,3,미국,,,어드벤처,F.W. 무르나우,
선라이즈,,133000,2837000,17,432,1,2,미국,,15세이상관람가,장르없음,F.W. 무르나우,조지 오브라이언
농부의 딸,,326000,326000,158,158,1,6,미국,,,멜로/로맨스,H.C. 포터,"로레타 영,조셉 코튼"
상간녀,2016-08-26,270000,270000,54,54,1,1,미국,(주)엘케이픽쳐스,청소년관람불가,스릴러,H.M. 콕클리,"숀 패리스,다니엘 세브리"
여닌자:음기로 가득찬 자매,2018-05-28,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,H.카와사키,
제 5침공,2016-02-25,1041049900,1041049900,135874,135874,312,5195,미국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,액션,J 블레이크슨,"클로이 모레츠,닉 로빈슨,알렉스 로"
태양의 왕,,235000,802000,99,306,1,4,미국,,,어드벤처,J. 리 톰슨,"율 브린너,조지 차키리스"
케이프 피어,,72000,2326000,24,558,1,1,미국,,,스릴러,J. 리 톰슨,"그레고리 펙,폴리 버겐,로버트 미첨"
페세이지,1979-07-05,1924000,5596000,962,2757,1,16,미국,,국민학생관람불가,액션,J. 리 톰슨,"안소니 퀸,제임스 매드슨,크리스토퍼 리,말콤 맥도웰"
나바론 요새,1974-07-20,4228000,23458104,2109,12032,1,49,미국,,12세이상관람가,드라마,J. 리 톰슨,"그레고리 펙,안소니 퀸,데이빗 니븐"
대장 부리바,1973-06-29,1290000,28200000,634,13554,1,19,미국,,12세이상관람가,전쟁,J. 리 톰슨,"토니 커티스,율 브린너"
"마진 콜: 24시간, 조작된 진실",2013-01-03,46371500,50779500,6409,7086,30,446,미국,(주)팝파트너스,15세이상관람가,스릴러,J.C 챈더,"케빈 스페이시,데미 무어,사이먼 베이커,재커리 퀸토,제레미 아이언스,스탠리 투치,폴 베타니,펜 바글리"
모스트 바이어런트,2015-04-02,79886925,79886925,10175,10175,71,1062,미국,(주)영화사 진진,15세이상관람가,범죄,J.C 챈더,"오스카 아이삭,제시카 차스테인"
올 이즈 로스트,2013-11-07,102751500,102751500,13885,13885,33,857,미국,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,J.C 챈더,로버트 레드포드
슈퍼 에이트,2011-06-16,-671828796,-671828796,472157,472157,411,21884,미국,(주)씨제이이엔엠,12세이상관람가,SF,J.J. 에이브럼스,"조엘 코트니,엘르 패닝"
스타워즈: 라이즈 오브 스카이워커,2020-01-08,417934914,417934914,507889,507889,957,28696,미국,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,J.J. 에이브럼스,"데이지 리들리,아담 드라이버,오스카 아이삭,존 보예가"
스타 트렉: 더 비기닝,2009-05-07,1660000,-1340376092,166,1085447,1,1,미국,CJ ENM,12세이상관람가,SF,J.J. 에이브럼스,"크리스 파인,재커리 퀸토,칼 어번"
스타트렉 다크니스,2013-05-30,101787612,101787612,1607555,1607555,607,40563,미국,(주)씨제이이엔엠,12세이상관람가,액션,J.J. 에이브럼스,"크리스 파인,칼 어번,조 샐다나,안톤 옐친,재커리 퀸토,베네딕트 컴버배치"
스타워즈: 깨어난 포스,2015-12-17,-1710974741,-1710974741,3273879,3273879,940,69226,미국,월트디즈니컴퍼니코리아(주),12세이상관람가,액션,J.J. 에이브럼스,"해리슨 포드,마크 해밀,캐리 피셔,사이먼 페그,오스카 아이삭,막스 본 시도우,도널 글리슨"
미션 임파서블 3,2006-05-03,318000,2090430328,44,5127047,2,11,미국,UIP코리아,15세관람가,액션,J.J. 에이브럼스,"톰 크루즈,필립 세이모어 호프만"
백악기 꼬마공룡을 찾아서,,350000,350000,70,70,1,7,캐나다,예지림엔터테인먼트,전체관람가,어드벤처,J.J. 존슨,
필스,2013-11-21,6434000,6434000,883,883,6,52,영국,(주)앤드플러스미디어웍스,청소년관람불가,범죄,J.S 베어드,"제임스 맥어보이,이모겐 푸츠,제이미 벨"
헬벤더스: 최후의 성전,2014-05-01,3792000,3792000,1801,1801,4,18,미국,(주)소나무픽쳐스,청소년관람불가,공포(호러),J.T. 페티,"클립튼 콜린스 주니어,클랜시 브라운"
맛있는 유부녀,2019-03-06,6000,6000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,J.Y 타이요,사와무라 레이코
섹스 주식회사,2012-09-27,190000,190000,42,42,4,19,미국,(주)소나무픽쳐스,청소년관람불가,코미디,K. 애셔 레빈,"카일 갈너,사라 힐랜드,제임스 벨루시"
좀비 vs 헌터,2018-01-11,2000,2000,1,1,1,1,캐나다,(주)고맙습니다 사랑합니다,,액션,K. 킹,"마틴 코핑,대니 트레조"
아내의 아르바이트,2017-08-30,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,K.웨스트,
더 비지트,2015-10-15,403435581,403435581,52197,52197,279,4134,미국,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,스릴러,M. 나이트 샤말란,"디애너 듀나건,피터 맥로비,에드 옥슨볼드,올리비아 데종"
글래스,2019-01-17,-17514314,-17514314,466475,466475,837,24194,미국,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,드라마,M. 나이트 샤말란,"제임스 맥어보이,브루스 윌리스,사무엘 L. 잭슨,안야 테일러 조이,사라 폴슨"
애프터 어스,2013-05-30,-463111129,-463111129,537920,537920,484,19867,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,SF,M. 나이트 샤말란,"윌 스미스,제이든 스미스"
23 아이덴티티,2017-02-22,1728000,726474247,192,1676011,1,1,미국,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,스릴러,M. 나이트 샤말란,"제임스 맥어보이,안야 테일러 조이,헤일리 루 리차드슨,베티 버클리,브래드 윌리엄 헨크,킴 디렉터,스털링 K. 브라운"
행복까지 30일,2016-06-09,500000,20249700,100,2838,1,1,인도,"예지림엔터테인먼트,미디어소프트",전체관람가,드라마,M. 마니칸단,아이시와리아 라제시
6솔져스,2019-05-29,1000,1000,1,1,1,1,터키,(주)케이알씨지,15세이상관람가,액션,M. 차가타이 토순,
로그,2020-11-25,31203140,31203140,4012,4012,180,1479,미국,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",15세이상관람가,액션,M.J. 버세트,"메간 폭스,필립 윈체스터"
카마수트라: 뱀의 여인,2016-06-01,213000,213000,37,37,5,37,태국,케이티하이텔(주),청소년관람불가,드라마,M.L. 반데바노프 데바쿤,"카르피찰 케트마니,사크릿 얌냠"
잔다라 더 피날레,2014-05-01,11852000,11852000,1546,1546,20,25,태국,(주)퍼스트런,청소년관람불가,드라마,M.L. 반데바노프 데바쿤,"마리오 마우러,야야잉,봉코이 콩말라이"
잔다라: 더 비기닝,2013-09-05,17946000,17946000,2502,2502,13,134,태국,(주)영화사 빅,청소년관람불가,멜로/로맨스,M.L. 반데바노프 데바쿤,"마리오 마우러,야야잉,봉코이 콩말라이,니시노 쇼"
욕구불만 유부녀의 장난감,2017-01-20,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,M.카사하라,이케타니 사나에
김정일리아,2011-06-23,10618000,10618000,1513,1513,7,145,미국,㈜크래커픽쳐스,전체관람가,다큐멘터리,N.C. 하이킨,
사토미를 찾아라,2014-10-16,13164000,13164000,2595,2595,20,56,한국,브릿지웍스 엔터테인먼트(주),청소년관람불가,코미디,NEW PISTOL,"사토미 유리아,윤설희,안진우,조정윤,김광현,곽한구"
"때리지 말아요, 제발!",,18000,18000,4,4,1,2,인도,,12세이상관람가,다큐멘터리,"P. 케림 프리드만,샤시와티 딸룩다르",
줄리아 엑스,2013-07-16,827000,827000,296,296,3,4,미국,(주)고맙습니다 사랑합니다,청소년관람불가,공포(호러),P.J. 페티에트,"발레리 아즐린,케빈 소르보"
뮤리엘의 웨딩,1995-05-20,65000,65000,21,21,1,2,호주,,고등학생이상관람가,코미디,P.J. 호건,"레이첼 그리피스,소피 리,빌 헌터"
아버지,,752000,752000,188,188,1,2,인도,,12세이상관람가,드라마,R. 발키,"아미타브 바흐찬,아비쉑 밧찬"
상자,,2066,2066,13,13,1,2,미국,,,애니메이션,R. 브래드 야하우스,
럼블,2017-08-22,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R. 엘리스 프레이저,게리 다니엘스
멕시칸잡,2017-05-18,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R. 엘리스 프레이저,돌프 룬드그렌
미스파이어,2017-07-27,5000,5000,1,1,1,1,미국,모비딕엔터테인먼트(주),15세이상관람가,액션,R. 엘리스 프레이저,게리 다니엘스
크로스 라인,2013-04-05,1350000,1350000,90,90,1,9,미국,스크린조이,15세이상관람가,액션,R. 엘리스 프레이저,"에이단 퀸,앤디 가르시아,마리오 반 피블스"
라스트 에너미,2014-03-06,23820000,23820000,4032,4032,20,85,미국,(주)미디어데이,15세이상관람가,액션,R. 엘리스 프레이저,"루크 고스,콜 하우저"
넥스트 투모로우 2,2014-11-27,1626000,1626000,381,381,4,12,미국,스크린조이,12세이상관람가,액션,R.D. 브라운슈타인,제프 파헤이
콜 미 킹,2016-08-18,5000,5000,1,1,1,1,미국,(주)시네마리퍼블릭,청소년관람불가,액션,R.L. 스콧,"아민 조셉,크리스 멀키,링 바이,빌 콥스,가브리엘 데니스"
로봇,2012-04-19,26607000,26607000,3617,3617,37,459,인도,프리비젼엔터테인먼트,15세이상관람가,SF,S. 샹카르,"라지니 칸트,아이쉬와라 라이,대니 덴종파"
대탈주: 디비전 19,2019-07-25,6000,6000,1,1,1,1,미국,(주)도키엔터테인먼트,15세이상관람가,액션,S.A. 헤일우드,"앨리슨 두디,로테 베르빅,라이너스 로체"
한밤의 살인자,2016-08-24,100000,100000,10,10,1,1,미국,(주)다날엔터테인먼트,15세이상관람가,공포(호러),S.J. 에반스,"토니 토드,조셉 밀슨"
바후발리 : 더 비기닝,2016-11-10,25209500,25209500,3068,3068,31,281,인도,팔레드시네마(주),15세이상관람가,액션,S.S. 라자몰리,"프라바스,타만나 바티아,아누쉬카 쉐티,라나 닥구바티,사티 아라즈,람야 크리쉬나"
아사미 유마의 복상사,2016-09-21,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,아사미 유마
남편 앞에서 당하는 아내,2017-03-17,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,코모리 아이
흠뻑 젖은 유부녀,2017-06-14,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,코모리 아이
어린 형수:강제로 섹스한 날,2017-10-31,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,아사히나 아카리
업소에 팔려버린 아이돌,2017-12-25,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,
전망 좋은 부동산,2017-08-17,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,아사히나 아카리
전망 좋은 부동산 무삭제판,2017-10-14,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,
정사: 형수와 도련님,2018-01-10,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,S.세타니,
