영화명,개봉일,누적관객수,배급사,감독,배우
굶주린 욕정 해결: 봉사해 드립니다,1900-01-01,18,(주)씨맥스커뮤니케이션즈,오오무라다이,코가와이오리
가상화폐 섹스: 거품처럼 사라진 부부,1900-01-01,1,0,오오사키히로코우지,0
약 서른 개의 거짓말,1900-01-01,8,0,오오타니켄타로,"시이나깃페이,나카타니미키"
마사오군이 간다!,1900-01-01,92,0,오오타니켄타로,"카토리싱고,히로스에료코,나루미리코"
9.11-8.15 일본심중,1900-01-01,28,0,오우라노부유키,0
페이첵,2004-01-22,131390,CJENM,오우삼,"벤애플렉,우마서먼,아론에크하트"
검우강호,2010-10-14,312283,(주)에스비에스콘텐츠허브,오우삼,"정우성,양자경,서희원,여문락"
적벽대전:거대한 전쟁의 시작,2008-07-10,1572064,(주)쇼박스,오우삼,"양조위,금성무,장첸,나카무라시도,호군,장풍의,조미,즈링린/임지령"
적벽대전 2 : 최후의 결전,2009-01-22,2694436,(주)쇼박스,오우삼,"금성무,양조위,조미,장풍의,장첸"
아파트 1303호,2007-11-19,200,유니코리아문예투자(주),오이카와아타루,"이타야유카,오타니나오코,하츠네에리코"
부초,1900-01-01,12,0,오즈야스지로,"나카무라간지로,쿄마키코,와카오아야코"
까불지마,2004-12-03,155308,영화사청어람(주),오지명,"오지명,최불암,노주현,김정훈,임유진,박영아,조윤진,나재욱,권창범,서명석,최길호,유희연,윤은정,정유신,이재경,김학철,정호빈,정다빈,윤서현"
시라이,2020-07-15,3305,(주)디스테이션,오츠이치,"이토요마리에,소메타니쇼타"
극장판 원피스 스탬피드,2020-02-13,22392,(주)스마일이엔티,오츠카타카시,"타나카마유미,나카이카즈야,오카무라아케미"
여상사: 오피스 레슨,2019-12-04,1,주식회사미콘,오치아이다카기,0
애처일기,2007-04-12,104,미디어소프트,"오카다아키라,토미오카타다후미","나카하라쇼코,사이토아유무,스지모토테타,이토요자부로,하야미노리코"
길고 곧은 길을 혼자 걸으며,1900-01-01,19,0,오카모토마사노리,0
소녀,2005-07-08,211,(주)액티버스엔터테인먼트,오쿠다에이지,"오쿠다에이지,오자와마유"
솔레이유의 아이들,1900-01-01,9,0,오쿠타니요이치로,0
나나,2006-03-30,71392,(주)엠케이픽처스,오타니겐타로,미야자키아오이
고스트: 보이지 않는 사랑,2010-11-25,6624,CJENM,오타니타로,"송승헌,마츠시마나나코"
소녀 독수리 사냥꾼,1900-01-01,55,0,오토벨,0
줌,2006-12-28,298,㈜영화사백두대간,오토알렉산더야히리스,"플로리안루카스,오아나솔로모네스쿠"
황금팔을 가진 사나이,1900-01-01,1687,0,오토프레밍거,"프랭크시나트라,엘레노파커,킴노박"
무시시,2007-09-20,2097,(주)스폰지이엔티,오토모가츠히로,"오다기리조,아오이유우"
스팀보이,2005-08-04,58693,대원미디어(주),오토모가츠히로,"코니시마나미,나카무라카츠오"
"학교, 밖으로",1900-01-01,224,0,오현진,0
방콕 데인저러스,2008-09-11,198159,(주)싸이더스,"옥사이드팽천,대니팽","니콜라스케이지,양채니,사크릿얌냠"
러시안 레슨,1900-01-01,69,0,"올가콘스카야,안드레이네크라소프",0
"안녕, 콰가",1900-01-01,205,0,올가폴리엑토바,0
포스 카인드,2010-02-25,224808,(주)넥스트엔터테인먼트월드(NEW),올라턴드오선샌미,"밀라요보비치,윌패튼"
비룽가,1900-01-01,17,0,올란도폰아인지델,0
월 스트리트: 머니 네버 슬립스,2010-10-21,241438,이십세기폭스코리아(주),올리버스톤,"샤이아라보프,마이클더글라스,캐리뮬리건,수잔서랜든,찰리쉰"
월드 트레이드 센터,2006-10-15,302030,UIP코리아,올리버스톤,"니콜라스케이지,마이클페나"
